"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"0 all sectors","121 Finance managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",990,1000,830,1100,1200
"0 all sectors","121 Finance managers","men","post-secondary education 3 years or more (ISCED97 5A)",4600,5200,5200,6100,6000
"0 all sectors","121 Finance managers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","121 Finance managers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","121 Finance managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","121 Finance managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","121 Finance managers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","121 Finance managers","women","upper secondary education 3 years (ISCED97 3A)",..,..,1700,..,..
"0 all sectors","121 Finance managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",1200,1400,1300,1300,1200
"0 all sectors","121 Finance managers","women","post-secondary education 3 years or more (ISCED97 5A)",3800,4100,4100,4900,5600
"0 all sectors","121 Finance managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","121 Finance managers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","122 Human resource managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","122 Human resource managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","122 Human resource managers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","122 Human resource managers","men","upper secondary education 3 years (ISCED97 3A)",470,310,330,380,..
"0 all sectors","122 Human resource managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,430,..,440
"0 all sectors","122 Human resource managers","men","post-secondary education 3 years or more (ISCED97 5A)",1100,1100,1000,970,1100
"0 all sectors","122 Human resource managers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","122 Human resource managers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","122 Human resource managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","122 Human resource managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","122 Human resource managers","women","upper secondary education, 2 years or less (ISCED97 3C)",430,..,310,..,400
"0 all sectors","122 Human resource managers","women","upper secondary education 3 years (ISCED97 3A)",650,640,400,470,420
"0 all sectors","122 Human resource managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",840,..,730,630,760
"0 all sectors","122 Human resource managers","women","post-secondary education 3 years or more (ISCED97 5A)",2500,2800,2900,2800,3200
"0 all sectors","122 Human resource managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","122 Human resource managers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","men","upper secondary education, 2 years or less (ISCED97 3C)",640,640,600,580,560
"0 all sectors","123 Administration and planning managers","men","upper secondary education 3 years (ISCED97 3A)",..,720,820,650,680
"0 all sectors","123 Administration and planning managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",1300,1300,1000,860,790
"0 all sectors","123 Administration and planning managers","men","post-secondary education 3 years or more (ISCED97 5A)",2800,2900,2500,2300,2200
"0 all sectors","123 Administration and planning managers","men","post-graduate education (ISCED97 6)",180,190,190,200,190
"0 all sectors","123 Administration and planning managers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","women","upper secondary education, 2 years or less (ISCED97 3C)",290,260,..,270,230
"0 all sectors","123 Administration and planning managers","women","upper secondary education 3 years (ISCED97 3A)",410,460,430,350,330
"0 all sectors","123 Administration and planning managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",670,610,660,640,540
"0 all sectors","123 Administration and planning managers","women","post-secondary education 3 years or more (ISCED97 5A)",2100,2100,2400,2400,2200
"0 all sectors","123 Administration and planning managers","women","post-graduate education (ISCED97 6)",140,140,150,170,170
"0 all sectors","123 Administration and planning managers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",290,..,240,..,310
"0 all sectors","124 Information, communication and public relations managers","men","post-secondary education 3 years or more (ISCED97 5A)",430,530,630,..,900
"0 all sectors","124 Information, communication and public relations managers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","women","upper secondary education 3 years (ISCED97 3A)",..,..,180,190,220
"0 all sectors","124 Information, communication and public relations managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",380,410,390,..,..
"0 all sectors","124 Information, communication and public relations managers","women","post-secondary education 3 years or more (ISCED97 5A)",870,1100,1000,1100,1500
"0 all sectors","124 Information, communication and public relations managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","125 Sales and marketing managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","125 Sales and marketing managers","men","primary and secondary education 9-10 years (ISCED97 2)",850,680,660,840,..
"0 all sectors","125 Sales and marketing managers","men","upper secondary education, 2 years or less (ISCED97 3C)",3200,2800,2700,..,3300
"0 all sectors","125 Sales and marketing managers","men","upper secondary education 3 years (ISCED97 3A)",5600,5500,4100,6000,5400
"0 all sectors","125 Sales and marketing managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",4400,4300,4400,6200,5100
"0 all sectors","125 Sales and marketing managers","men","post-secondary education 3 years or more (ISCED97 5A)",6300,6400,7200,6900,7900
"0 all sectors","125 Sales and marketing managers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","125 Sales and marketing managers","men","no information about level of educational attainment",230,230,..,280,..
"0 all sectors","125 Sales and marketing managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","125 Sales and marketing managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,160,..,..,..
"0 all sectors","125 Sales and marketing managers","women","upper secondary education, 2 years or less (ISCED97 3C)",550,650,520,..,..
"0 all sectors","125 Sales and marketing managers","women","upper secondary education 3 years (ISCED97 3A)",1500,1400,1300,..,1600
"0 all sectors","125 Sales and marketing managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",1300,1500,..,1400,..
"0 all sectors","125 Sales and marketing managers","women","post-secondary education 3 years or more (ISCED97 5A)",3700,3700,3500,3700,3300
"0 all sectors","125 Sales and marketing managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","125 Sales and marketing managers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","men","primary and secondary education 9-10 years (ISCED97 2)",360,390,350,460,470
"0 all sectors","129 Administration and service managers not elsewhere classified","men","upper secondary education, 2 years or less (ISCED97 3C)",2000,2100,1900,1800,1800
"0 all sectors","129 Administration and service managers not elsewhere classified","men","upper secondary education 3 years (ISCED97 3A)",2000,2000,2100,2000,2600
"0 all sectors","129 Administration and service managers not elsewhere classified","men","post-secondary education, less than 3 years (ISCED97 4+5B)",2200,2200,1900,2300,2100
"0 all sectors","129 Administration and service managers not elsewhere classified","men","post-secondary education 3 years or more (ISCED97 5A)",2800,2700,2900,4400,..
"0 all sectors","129 Administration and service managers not elsewhere classified","men","post-graduate education (ISCED97 6)",..,..,..,..,140
"0 all sectors","129 Administration and service managers not elsewhere classified","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","women","primary and secondary education 9-10 years (ISCED97 2)",300,340,280,..,290
"0 all sectors","129 Administration and service managers not elsewhere classified","women","upper secondary education, 2 years or less (ISCED97 3C)",1000,1200,1100,1000,1100
"0 all sectors","129 Administration and service managers not elsewhere classified","women","upper secondary education 3 years (ISCED97 3A)",1900,..,..,1900,2300
"0 all sectors","129 Administration and service managers not elsewhere classified","women","post-secondary education, less than 3 years (ISCED97 4+5B)",1200,..,..,1400,2000
"0 all sectors","129 Administration and service managers not elsewhere classified","women","post-secondary education 3 years or more (ISCED97 5A)",2600,2600,3100,3200,4200
"0 all sectors","129 Administration and service managers not elsewhere classified","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,620,780,..
"0 all sectors","131 Information and communications technology service managers","men","upper secondary education 3 years (ISCED97 3A)",1600,2000,1500,1700,2100
"0 all sectors","131 Information and communications technology service managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",2200,2500,1600,2400,2300
"0 all sectors","131 Information and communications technology service managers","men","post-secondary education 3 years or more (ISCED97 5A)",3000,3400,2700,3900,3500
"0 all sectors","131 Information and communications technology service managers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","women","upper secondary education, 2 years or less (ISCED97 3C)",270,270,130,130,130
"0 all sectors","131 Information and communications technology service managers","women","upper secondary education 3 years (ISCED97 3A)",430,470,350,340,330
"0 all sectors","131 Information and communications technology service managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",590,770,480,470,470
"0 all sectors","131 Information and communications technology service managers","women","post-secondary education 3 years or more (ISCED97 5A)",1000,1200,1000,1100,1200
"0 all sectors","131 Information and communications technology service managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,390
"0 all sectors","132 Supply, logistics and transport managers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,1600,1500,..
"0 all sectors","132 Supply, logistics and transport managers","men","upper secondary education 3 years (ISCED97 3A)",1500,1700,1500,1700,1600
"0 all sectors","132 Supply, logistics and transport managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",1400,1600,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","men","post-secondary education 3 years or more (ISCED97 5A)",1500,2100,1500,1700,1900
"0 all sectors","132 Supply, logistics and transport managers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,150,..
"0 all sectors","132 Supply, logistics and transport managers","women","upper secondary education 3 years (ISCED97 3A)",430,430,460,..,..
"0 all sectors","132 Supply, logistics and transport managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",330,360,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","women","post-secondary education 3 years or more (ISCED97 5A)",600,640,790,790,890
"0 all sectors","132 Supply, logistics and transport managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","133 Research and development managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","133 Research and development managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","133 Research and development managers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,120,150,160,140
"0 all sectors","133 Research and development managers","men","upper secondary education 3 years (ISCED97 3A)",..,150,160,230,170
"0 all sectors","133 Research and development managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",520,670,750,810,690
"0 all sectors","133 Research and development managers","men","post-secondary education 3 years or more (ISCED97 5A)",1900,2100,2400,2500,2400
"0 all sectors","133 Research and development managers","men","post-graduate education (ISCED97 6)",920,1000,1200,930,1100
"0 all sectors","133 Research and development managers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","133 Research and development managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","133 Research and development managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","133 Research and development managers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","133 Research and development managers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","133 Research and development managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,150,..,..
"0 all sectors","133 Research and development managers","women","post-secondary education 3 years or more (ISCED97 5A)",630,..,890,970,900
"0 all sectors","133 Research and development managers","women","post-graduate education (ISCED97 6)",370,390,530,430,510
"0 all sectors","133 Research and development managers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","men","primary and secondary education 9-10 years (ISCED97 2)",160,170,160,..,130
"0 all sectors","134 Architectural and engineering managers","men","upper secondary education, 2 years or less (ISCED97 3C)",740,760,720,720,800
"0 all sectors","134 Architectural and engineering managers","men","upper secondary education 3 years (ISCED97 3A)",690,670,620,670,770
"0 all sectors","134 Architectural and engineering managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",1600,2000,1800,2200,1900
"0 all sectors","134 Architectural and engineering managers","men","post-secondary education 3 years or more (ISCED97 5A)",3000,3300,3300,4000,3500
"0 all sectors","134 Architectural and engineering managers","men","post-graduate education (ISCED97 6)",..,230,300,180,180
"0 all sectors","134 Architectural and engineering managers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","women","upper secondary education 3 years (ISCED97 3A)",..,130,130,..,140
"0 all sectors","134 Architectural and engineering managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",240,290,290,320,390
"0 all sectors","134 Architectural and engineering managers","women","post-secondary education 3 years or more (ISCED97 5A)",1300,1400,1700,1600,2000
"0 all sectors","134 Architectural and engineering managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","women","no information about level of educational attainment",..,..,..,..,..
