"region","occupation (SSYK 2012)","age","sex","2017"
"SE01 Stockholm","021 Non-commissioned armed forces officers","45-49 years","women",1
"SE01 Stockholm","021 Non-commissioned armed forces officers","50-54 years","men",23
"SE01 Stockholm","021 Non-commissioned armed forces officers","50-54 years","women",0
"SE01 Stockholm","021 Non-commissioned armed forces officers","55-59 years","men",13
"SE01 Stockholm","021 Non-commissioned armed forces officers","55-59 years","women",0
"SE01 Stockholm","021 Non-commissioned armed forces officers","60-64 years","men",13
"SE01 Stockholm","021 Non-commissioned armed forces officers","60-64 years","women",0
"SE01 Stockholm","031 Armed forces occupations, other ranks","16-24 years","men",470
"SE01 Stockholm","031 Armed forces occupations, other ranks","16-24 years","women",66
"SE01 Stockholm","031 Armed forces occupations, other ranks","25-29 years","men",675
"SE01 Stockholm","031 Armed forces occupations, other ranks","25-29 years","women",80
"SE01 Stockholm","031 Armed forces occupations, other ranks","30-34 years","men",231
"SE01 Stockholm","031 Armed forces occupations, other ranks","30-34 years","women",22
"SE01 Stockholm","031 Armed forces occupations, other ranks","35-39 years","men",90
"SE01 Stockholm","031 Armed forces occupations, other ranks","35-39 years","women",5
"SE01 Stockholm","031 Armed forces occupations, other ranks","40-44 years","men",56
"SE01 Stockholm","031 Armed forces occupations, other ranks","40-44 years","women",8
"SE01 Stockholm","031 Armed forces occupations, other ranks","45-49 years","men",40
"SE01 Stockholm","031 Armed forces occupations, other ranks","45-49 years","women",5
"SE01 Stockholm","031 Armed forces occupations, other ranks","50-54 years","men",50
"SE01 Stockholm","031 Armed forces occupations, other ranks","50-54 years","women",4
"SE01 Stockholm","031 Armed forces occupations, other ranks","55-59 years","men",52
"SE01 Stockholm","031 Armed forces occupations, other ranks","55-59 years","women",3
"SE01 Stockholm","031 Armed forces occupations, other ranks","60-64 years","men",34
"SE01 Stockholm","031 Armed forces occupations, other ranks","60-64 years","women",2
"SE01 Stockholm","111 Legislators and senior officials","16-24 years","men",9
"SE01 Stockholm","111 Legislators and senior officials","16-24 years","women",4
"SE01 Stockholm","111 Legislators and senior officials","25-29 years","men",18
"SE01 Stockholm","111 Legislators and senior officials","25-29 years","women",28
"SE01 Stockholm","111 Legislators and senior officials","30-34 years","men",36
"SE01 Stockholm","111 Legislators and senior officials","30-34 years","women",38
"SE01 Stockholm","111 Legislators and senior officials","35-39 years","men",45
"SE01 Stockholm","111 Legislators and senior officials","35-39 years","women",44
"SE01 Stockholm","111 Legislators and senior officials","40-44 years","men",84
"SE01 Stockholm","111 Legislators and senior officials","40-44 years","women",85
"SE01 Stockholm","111 Legislators and senior officials","45-49 years","men",89
"SE01 Stockholm","111 Legislators and senior officials","45-49 years","women",101
"SE01 Stockholm","111 Legislators and senior officials","50-54 years","men",124
"SE01 Stockholm","111 Legislators and senior officials","50-54 years","women",154
"SE01 Stockholm","111 Legislators and senior officials","55-59 years","men",127
"SE01 Stockholm","111 Legislators and senior officials","55-59 years","women",143
"SE01 Stockholm","111 Legislators and senior officials","60-64 years","men",122
"SE01 Stockholm","111 Legislators and senior officials","60-64 years","women",123
"SE01 Stockholm","112 Managing directors and chief executives","16-24 years","men",9
"SE01 Stockholm","112 Managing directors and chief executives","16-24 years","women",4
"SE01 Stockholm","112 Managing directors and chief executives","25-29 years","men",75
"SE01 Stockholm","112 Managing directors and chief executives","25-29 years","women",29
"SE01 Stockholm","112 Managing directors and chief executives","30-34 years","men",289
"SE01 Stockholm","112 Managing directors and chief executives","30-34 years","women",63
"SE01 Stockholm","112 Managing directors and chief executives","35-39 years","men",568
"SE01 Stockholm","112 Managing directors and chief executives","35-39 years","women",177
"SE01 Stockholm","112 Managing directors and chief executives","40-44 years","men",1038
"SE01 Stockholm","112 Managing directors and chief executives","40-44 years","women",274
"SE01 Stockholm","112 Managing directors and chief executives","45-49 years","men",1386
"SE01 Stockholm","112 Managing directors and chief executives","45-49 years","women",374
"SE01 Stockholm","112 Managing directors and chief executives","50-54 years","men",1471
"SE01 Stockholm","112 Managing directors and chief executives","50-54 years","women",396
"SE01 Stockholm","112 Managing directors and chief executives","55-59 years","men",1036
"SE01 Stockholm","112 Managing directors and chief executives","55-59 years","women",256
"SE01 Stockholm","112 Managing directors and chief executives","60-64 years","men",611
"SE01 Stockholm","112 Managing directors and chief executives","60-64 years","women",149
"SE01 Stockholm","121 Finance managers","16-24 years","men",15
"SE01 Stockholm","121 Finance managers","16-24 years","women",7
"SE01 Stockholm","121 Finance managers","25-29 years","men",74
"SE01 Stockholm","121 Finance managers","25-29 years","women",85
"SE01 Stockholm","121 Finance managers","30-34 years","men",241
"SE01 Stockholm","121 Finance managers","30-34 years","women",223
"SE01 Stockholm","121 Finance managers","35-39 years","men",423
"SE01 Stockholm","121 Finance managers","35-39 years","women",441
"SE01 Stockholm","121 Finance managers","40-44 years","men",593
"SE01 Stockholm","121 Finance managers","40-44 years","women",600
"SE01 Stockholm","121 Finance managers","45-49 years","men",658
"SE01 Stockholm","121 Finance managers","45-49 years","women",778
"SE01 Stockholm","121 Finance managers","50-54 years","men",654
"SE01 Stockholm","121 Finance managers","50-54 years","women",809
"SE01 Stockholm","121 Finance managers","55-59 years","men",503
"SE01 Stockholm","121 Finance managers","55-59 years","women",526
"SE01 Stockholm","121 Finance managers","60-64 years","men",314
"SE01 Stockholm","121 Finance managers","60-64 years","women",280
"SE01 Stockholm","122 Human resource managers","16-24 years","men",5
"SE01 Stockholm","122 Human resource managers","16-24 years","women",10
"SE01 Stockholm","122 Human resource managers","25-29 years","men",38
"SE01 Stockholm","122 Human resource managers","25-29 years","women",96
"SE01 Stockholm","122 Human resource managers","30-34 years","men",83
"SE01 Stockholm","122 Human resource managers","30-34 years","women",192
"SE01 Stockholm","122 Human resource managers","35-39 years","men",102
"SE01 Stockholm","122 Human resource managers","35-39 years","women",329
"SE01 Stockholm","122 Human resource managers","40-44 years","men",149
"SE01 Stockholm","122 Human resource managers","40-44 years","women",403
"SE01 Stockholm","122 Human resource managers","45-49 years","men",172
"SE01 Stockholm","122 Human resource managers","45-49 years","women",472
"SE01 Stockholm","122 Human resource managers","50-54 years","men",179
"SE01 Stockholm","122 Human resource managers","50-54 years","women",445
"SE01 Stockholm","122 Human resource managers","55-59 years","men",114
"SE01 Stockholm","122 Human resource managers","55-59 years","women",263
"SE01 Stockholm","122 Human resource managers","60-64 years","men",72
"SE01 Stockholm","122 Human resource managers","60-64 years","women",155
"SE01 Stockholm","123 Administration and planning managers","16-24 years","men",6
"SE01 Stockholm","123 Administration and planning managers","16-24 years","women",7
"SE01 Stockholm","123 Administration and planning managers","25-29 years","men",82
"SE01 Stockholm","123 Administration and planning managers","25-29 years","women",32
"SE01 Stockholm","123 Administration and planning managers","30-34 years","men",170
"SE01 Stockholm","123 Administration and planning managers","30-34 years","women",71
"SE01 Stockholm","123 Administration and planning managers","35-39 years","men",244
"SE01 Stockholm","123 Administration and planning managers","35-39 years","women",160
"SE01 Stockholm","123 Administration and planning managers","40-44 years","men",365
"SE01 Stockholm","123 Administration and planning managers","40-44 years","women",312
"SE01 Stockholm","123 Administration and planning managers","45-49 years","men",473
"SE01 Stockholm","123 Administration and planning managers","45-49 years","women",362
"SE01 Stockholm","123 Administration and planning managers","50-54 years","men",418
"SE01 Stockholm","123 Administration and planning managers","50-54 years","women",335
"SE01 Stockholm","123 Administration and planning managers","55-59 years","men",285
"SE01 Stockholm","123 Administration and planning managers","55-59 years","women",221
"SE01 Stockholm","123 Administration and planning managers","60-64 years","men",200
"SE01 Stockholm","123 Administration and planning managers","60-64 years","women",138
"SE01 Stockholm","124 Information, communication and public relations managers","16-24 years","men",6
"SE01 Stockholm","124 Information, communication and public relations managers","16-24 years","women",5
"SE01 Stockholm","124 Information, communication and public relations managers","25-29 years","men",37
"SE01 Stockholm","124 Information, communication and public relations managers","25-29 years","women",55
"SE01 Stockholm","124 Information, communication and public relations managers","30-34 years","men",82
"SE01 Stockholm","124 Information, communication and public relations managers","30-34 years","women",121
"SE01 Stockholm","124 Information, communication and public relations managers","35-39 years","men",120
"SE01 Stockholm","124 Information, communication and public relations managers","35-39 years","women",153
"SE01 Stockholm","124 Information, communication and public relations managers","40-44 years","men",169
"SE01 Stockholm","124 Information, communication and public relations managers","40-44 years","women",248
"SE01 Stockholm","124 Information, communication and public relations managers","45-49 years","men",212
"SE01 Stockholm","124 Information, communication and public relations managers","45-49 years","women",257
"SE01 Stockholm","124 Information, communication and public relations managers","50-54 years","men",194
"SE01 Stockholm","124 Information, communication and public relations managers","50-54 years","women",247
"SE01 Stockholm","124 Information, communication and public relations managers","55-59 years","men",106
"SE01 Stockholm","124 Information, communication and public relations managers","55-59 years","women",121
"SE01 Stockholm","124 Information, communication and public relations managers","60-64 years","men",65
"SE01 Stockholm","124 Information, communication and public relations managers","60-64 years","women",52
"SE01 Stockholm","125 Sales and marketing managers","16-24 years","men",52
"SE01 Stockholm","125 Sales and marketing managers","16-24 years","women",27
"SE01 Stockholm","125 Sales and marketing managers","25-29 years","men",339
"SE01 Stockholm","125 Sales and marketing managers","25-29 years","women",228
"SE01 Stockholm","125 Sales and marketing managers","30-34 years","men",822
"SE01 Stockholm","125 Sales and marketing managers","30-34 years","women",492
"SE01 Stockholm","125 Sales and marketing managers","35-39 years","men",1246
"SE01 Stockholm","125 Sales and marketing managers","35-39 years","women",668
"SE01 Stockholm","125 Sales and marketing managers","40-44 years","men",1819
"SE01 Stockholm","125 Sales and marketing managers","40-44 years","women",887
"SE01 Stockholm","125 Sales and marketing managers","45-49 years","men",2009
"SE01 Stockholm","125 Sales and marketing managers","45-49 years","women",911
"SE01 Stockholm","125 Sales and marketing managers","50-54 years","men",1634
"SE01 Stockholm","125 Sales and marketing managers","50-54 years","women",672
"SE01 Stockholm","125 Sales and marketing managers","55-59 years","men",944
"SE01 Stockholm","125 Sales and marketing managers","55-59 years","women",299
"SE01 Stockholm","125 Sales and marketing managers","60-64 years","men",524
"SE01 Stockholm","125 Sales and marketing managers","60-64 years","women",123
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","16-24 years","men",39
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","16-24 years","women",45
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","25-29 years","men",171
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","25-29 years","women",199
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","30-34 years","men",440
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","30-34 years","women",382
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","35-39 years","men",664
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","35-39 years","women",640
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","40-44 years","men",818
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","40-44 years","women",704
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","45-49 years","men",798
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","45-49 years","women",759
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","50-54 years","men",839
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","50-54 years","women",666
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","55-59 years","men",518
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","55-59 years","women",382
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","60-64 years","men",369
"SE01 Stockholm","129 Administration and service managers not elsewhere classified","60-64 years","women",225
"SE01 Stockholm","131 Information and communications technology service managers","16-24 years","men",16
"SE01 Stockholm","131 Information and communications technology service managers","16-24 years","women",3
"SE01 Stockholm","131 Information and communications technology service managers","25-29 years","men",92
"SE01 Stockholm","131 Information and communications technology service managers","25-29 years","women",18
"SE01 Stockholm","131 Information and communications technology service managers","30-34 years","men",257
"SE01 Stockholm","131 Information and communications technology service managers","30-34 years","women",64
"SE01 Stockholm","131 Information and communications technology service managers","35-39 years","men",618
"SE01 Stockholm","131 Information and communications technology service managers","35-39 years","women",133
"SE01 Stockholm","131 Information and communications technology service managers","40-44 years","men",949
"SE01 Stockholm","131 Information and communications technology service managers","40-44 years","women",277
"SE01 Stockholm","131 Information and communications technology service managers","45-49 years","men",876
"SE01 Stockholm","131 Information and communications technology service managers","45-49 years","women",301
"SE01 Stockholm","131 Information and communications technology service managers","50-54 years","men",696
"SE01 Stockholm","131 Information and communications technology service managers","50-54 years","women",282
"SE01 Stockholm","131 Information and communications technology service managers","55-59 years","men",393
"SE01 Stockholm","131 Information and communications technology service managers","55-59 years","women",138
"SE01 Stockholm","131 Information and communications technology service managers","60-64 years","men",220
"SE01 Stockholm","131 Information and communications technology service managers","60-64 years","women",72
"SE01 Stockholm","132 Supply, logistics and transport managers","16-24 years","men",20
"SE01 Stockholm","132 Supply, logistics and transport managers","16-24 years","women",5
"SE01 Stockholm","132 Supply, logistics and transport managers","25-29 years","men",100
"SE01 Stockholm","132 Supply, logistics and transport managers","25-29 years","women",27
"SE01 Stockholm","132 Supply, logistics and transport managers","30-34 years","men",179
"SE01 Stockholm","132 Supply, logistics and transport managers","30-34 years","women",90
"SE01 Stockholm","132 Supply, logistics and transport managers","35-39 years","men",293
"SE01 Stockholm","132 Supply, logistics and transport managers","35-39 years","women",128
"SE01 Stockholm","132 Supply, logistics and transport managers","40-44 years","men",398
"SE01 Stockholm","132 Supply, logistics and transport managers","40-44 years","women",181
"SE01 Stockholm","132 Supply, logistics and transport managers","45-49 years","men",380
"SE01 Stockholm","132 Supply, logistics and transport managers","45-49 years","women",153
"SE01 Stockholm","132 Supply, logistics and transport managers","50-54 years","men",354
"SE01 Stockholm","132 Supply, logistics and transport managers","50-54 years","women",95
"SE01 Stockholm","132 Supply, logistics and transport managers","55-59 years","men",264
"SE01 Stockholm","132 Supply, logistics and transport managers","55-59 years","women",52
"SE01 Stockholm","132 Supply, logistics and transport managers","60-64 years","men",179
"SE01 Stockholm","132 Supply, logistics and transport managers","60-64 years","women",27
"SE01 Stockholm","133 Research and development managers","16-24 years","men",2
"SE01 Stockholm","133 Research and development managers","16-24 years","women",1
"SE01 Stockholm","133 Research and development managers","25-29 years","men",21
"SE01 Stockholm","133 Research and development managers","25-29 years","women",14
"SE01 Stockholm","133 Research and development managers","30-34 years","men",75
"SE01 Stockholm","133 Research and development managers","30-34 years","women",39
"SE01 Stockholm","133 Research and development managers","35-39 years","men",205
"SE01 Stockholm","133 Research and development managers","35-39 years","women",106
"SE01 Stockholm","133 Research and development managers","40-44 years","men",313
"SE01 Stockholm","133 Research and development managers","40-44 years","women",140
"SE01 Stockholm","133 Research and development managers","45-49 years","men",316
"SE01 Stockholm","133 Research and development managers","45-49 years","women",153
"SE01 Stockholm","133 Research and development managers","50-54 years","men",263
"SE01 Stockholm","133 Research and development managers","50-54 years","women",107
"SE01 Stockholm","133 Research and development managers","55-59 years","men",216
"SE01 Stockholm","133 Research and development managers","55-59 years","women",63
"SE01 Stockholm","133 Research and development managers","60-64 years","men",135
"SE01 Stockholm","133 Research and development managers","60-64 years","women",39
"SE01 Stockholm","134 Architectural and engineering managers","16-24 years","men",4
"SE01 Stockholm","134 Architectural and engineering managers","16-24 years","women",6
"SE01 Stockholm","134 Architectural and engineering managers","25-29 years","men",42
"SE01 Stockholm","134 Architectural and engineering managers","25-29 years","women",36
"SE01 Stockholm","134 Architectural and engineering managers","30-34 years","men",127
"SE01 Stockholm","134 Architectural and engineering managers","30-34 years","women",75
"SE01 Stockholm","134 Architectural and engineering managers","35-39 years","men",240
"SE01 Stockholm","134 Architectural and engineering managers","35-39 years","women",136
"SE01 Stockholm","134 Architectural and engineering managers","40-44 years","men",332
"SE01 Stockholm","134 Architectural and engineering managers","40-44 years","women",195
"SE01 Stockholm","134 Architectural and engineering managers","45-49 years","men",372
"SE01 Stockholm","134 Architectural and engineering managers","45-49 years","women",219
"SE01 Stockholm","134 Architectural and engineering managers","50-54 years","men",339
"SE01 Stockholm","134 Architectural and engineering managers","50-54 years","women",161
"SE01 Stockholm","134 Architectural and engineering managers","55-59 years","men",255
"SE01 Stockholm","134 Architectural and engineering managers","55-59 years","women",74
"SE01 Stockholm","134 Architectural and engineering managers","60-64 years","men",173
"SE01 Stockholm","134 Architectural and engineering managers","60-64 years","women",45
"SE01 Stockholm","135 Real estate and head of administration manager","16-24 years","men",3
"SE01 Stockholm","135 Real estate and head of administration manager","16-24 years","women",1
"SE01 Stockholm","135 Real estate and head of administration manager","25-29 years","men",19
"SE01 Stockholm","135 Real estate and head of administration manager","25-29 years","women",15
"SE01 Stockholm","135 Real estate and head of administration manager","30-34 years","men",53
"SE01 Stockholm","135 Real estate and head of administration manager","30-34 years","women",22
"SE01 Stockholm","135 Real estate and head of administration manager","35-39 years","men",114
"SE01 Stockholm","135 Real estate and head of administration manager","35-39 years","women",46
"SE01 Stockholm","135 Real estate and head of administration manager","40-44 years","men",139
"SE01 Stockholm","135 Real estate and head of administration manager","40-44 years","women",68
"SE01 Stockholm","135 Real estate and head of administration manager","45-49 years","men",178
"SE01 Stockholm","135 Real estate and head of administration manager","45-49 years","women",59
"SE01 Stockholm","135 Real estate and head of administration manager","50-54 years","men",168
"SE01 Stockholm","135 Real estate and head of administration manager","50-54 years","women",58
"SE01 Stockholm","135 Real estate and head of administration manager","55-59 years","men",159
"SE01 Stockholm","135 Real estate and head of administration manager","55-59 years","women",46
"SE01 Stockholm","135 Real estate and head of administration manager","60-64 years","men",104
"SE01 Stockholm","135 Real estate and head of administration manager","60-64 years","women",16
"SE01 Stockholm","136 Production managers in construction and mining","16-24 years","men",20
"SE01 Stockholm","136 Production managers in construction and mining","16-24 years","women",12
"SE01 Stockholm","136 Production managers in construction and mining","25-29 years","men",136
"SE01 Stockholm","136 Production managers in construction and mining","25-29 years","women",25
"SE01 Stockholm","136 Production managers in construction and mining","30-34 years","men",441
"SE01 Stockholm","136 Production managers in construction and mining","30-34 years","women",82
"SE01 Stockholm","136 Production managers in construction and mining","35-39 years","men",574
"SE01 Stockholm","136 Production managers in construction and mining","35-39 years","women",112
"SE01 Stockholm","136 Production managers in construction and mining","40-44 years","men",748
"SE01 Stockholm","136 Production managers in construction and mining","40-44 years","women",113
"SE01 Stockholm","136 Production managers in construction and mining","45-49 years","men",838
"SE01 Stockholm","136 Production managers in construction and mining","45-49 years","women",97
"SE01 Stockholm","136 Production managers in construction and mining","50-54 years","men",827
"SE01 Stockholm","136 Production managers in construction and mining","50-54 years","women",67
"SE01 Stockholm","136 Production managers in construction and mining","55-59 years","men",517
"SE01 Stockholm","136 Production managers in construction and mining","55-59 years","women",42
"SE01 Stockholm","136 Production managers in construction and mining","60-64 years","men",303
"SE01 Stockholm","136 Production managers in construction and mining","60-64 years","women",16
"SE01 Stockholm","137 Production managers in manufacturing","16-24 years","men",6
"SE01 Stockholm","137 Production managers in manufacturing","16-24 years","women",2
"SE01 Stockholm","137 Production managers in manufacturing","25-29 years","men",61
"SE01 Stockholm","137 Production managers in manufacturing","25-29 years","women",32
"SE01 Stockholm","137 Production managers in manufacturing","30-34 years","men",112
"SE01 Stockholm","137 Production managers in manufacturing","30-34 years","women",54
"SE01 Stockholm","137 Production managers in manufacturing","35-39 years","men",214
"SE01 Stockholm","137 Production managers in manufacturing","35-39 years","women",71
"SE01 Stockholm","137 Production managers in manufacturing","40-44 years","men",292
"SE01 Stockholm","137 Production managers in manufacturing","40-44 years","women",100
"SE01 Stockholm","137 Production managers in manufacturing","45-49 years","men",377
"SE01 Stockholm","137 Production managers in manufacturing","45-49 years","women",111
"SE01 Stockholm","137 Production managers in manufacturing","50-54 years","men",422
"SE01 Stockholm","137 Production managers in manufacturing","50-54 years","women",107
"SE01 Stockholm","137 Production managers in manufacturing","55-59 years","men",280
"SE01 Stockholm","137 Production managers in manufacturing","55-59 years","women",45
"SE01 Stockholm","137 Production managers in manufacturing","60-64 years","men",193
"SE01 Stockholm","137 Production managers in manufacturing","60-64 years","women",25
"SE01 Stockholm","138 Forestry and agricultural production managers","16-24 years","men",0
"SE01 Stockholm","138 Forestry and agricultural production managers","16-24 years","women",0
"SE01 Stockholm","138 Forestry and agricultural production managers","25-29 years","men",0
"SE01 Stockholm","138 Forestry and agricultural production managers","25-29 years","women",1
"SE01 Stockholm","138 Forestry and agricultural production managers","30-34 years","men",1
"SE01 Stockholm","138 Forestry and agricultural production managers","30-34 years","women",2
"SE01 Stockholm","138 Forestry and agricultural production managers","35-39 years","men",2
"SE01 Stockholm","138 Forestry and agricultural production managers","35-39 years","women",3
"SE01 Stockholm","138 Forestry and agricultural production managers","40-44 years","men",1
"SE01 Stockholm","138 Forestry and agricultural production managers","40-44 years","women",3
"SE01 Stockholm","138 Forestry and agricultural production managers","45-49 years","men",3
"SE01 Stockholm","138 Forestry and agricultural production managers","45-49 years","women",1
"SE01 Stockholm","138 Forestry and agricultural production managers","50-54 years","men",3
"SE01 Stockholm","138 Forestry and agricultural production managers","50-54 years","women",5
"SE01 Stockholm","138 Forestry and agricultural production managers","55-59 years","men",5
"SE01 Stockholm","138 Forestry and agricultural production managers","55-59 years","women",2
"SE01 Stockholm","138 Forestry and agricultural production managers","60-64 years","men",4
"SE01 Stockholm","138 Forestry and agricultural production managers","60-64 years","women",1
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","16-24 years","men",0
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","16-24 years","women",0
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","25-29 years","men",2
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","25-29 years","women",4
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","30-34 years","men",30
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","30-34 years","women",50
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","35-39 years","men",92
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","35-39 years","women",128
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","40-44 years","men",145
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","40-44 years","women",281
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","45-49 years","men",146
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","45-49 years","women",349
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","50-54 years","men",109
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","50-54 years","women",294
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","55-59 years","men",94
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","55-59 years","women",267
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","60-64 years","men",111
"SE01 Stockholm","141 Primary and secondary schools and adult education managers","60-64 years","women",249
"SE01 Stockholm","142 Preschool managers","16-24 years","men",0
"SE01 Stockholm","142 Preschool managers","16-24 years","women",1
"SE01 Stockholm","142 Preschool managers","25-29 years","men",1
"SE01 Stockholm","142 Preschool managers","25-29 years","women",5
"SE01 Stockholm","142 Preschool managers","30-34 years","men",8
"SE01 Stockholm","142 Preschool managers","30-34 years","women",46
"SE01 Stockholm","142 Preschool managers","35-39 years","men",12
"SE01 Stockholm","142 Preschool managers","35-39 years","women",74
"SE01 Stockholm","142 Preschool managers","40-44 years","men",18
"SE01 Stockholm","142 Preschool managers","40-44 years","women",150
"SE01 Stockholm","142 Preschool managers","45-49 years","men",10
"SE01 Stockholm","142 Preschool managers","45-49 years","women",190
"SE01 Stockholm","142 Preschool managers","50-54 years","men",16
"SE01 Stockholm","142 Preschool managers","50-54 years","women",173
"SE01 Stockholm","142 Preschool managers","55-59 years","men",14
"SE01 Stockholm","142 Preschool managers","55-59 years","women",214
"SE01 Stockholm","142 Preschool managers","60-64 years","men",20
"SE01 Stockholm","142 Preschool managers","60-64 years","women",222
"SE01 Stockholm","149 Education managers not elsewhere classified","16-24 years","men",0
"SE01 Stockholm","149 Education managers not elsewhere classified","16-24 years","women",0
"SE01 Stockholm","149 Education managers not elsewhere classified","25-29 years","men",11
"SE01 Stockholm","149 Education managers not elsewhere classified","25-29 years","women",9
"SE01 Stockholm","149 Education managers not elsewhere classified","30-34 years","men",15
"SE01 Stockholm","149 Education managers not elsewhere classified","30-34 years","women",22
"SE01 Stockholm","149 Education managers not elsewhere classified","35-39 years","men",20
"SE01 Stockholm","149 Education managers not elsewhere classified","35-39 years","women",16
"SE01 Stockholm","149 Education managers not elsewhere classified","40-44 years","men",33
"SE01 Stockholm","149 Education managers not elsewhere classified","40-44 years","women",32
"SE01 Stockholm","149 Education managers not elsewhere classified","45-49 years","men",36
"SE01 Stockholm","149 Education managers not elsewhere classified","45-49 years","women",41
"SE01 Stockholm","149 Education managers not elsewhere classified","50-54 years","men",27
"SE01 Stockholm","149 Education managers not elsewhere classified","50-54 years","women",43
"SE01 Stockholm","149 Education managers not elsewhere classified","55-59 years","men",33
"SE01 Stockholm","149 Education managers not elsewhere classified","55-59 years","women",38
"SE01 Stockholm","149 Education managers not elsewhere classified","60-64 years","men",21
"SE01 Stockholm","149 Education managers not elsewhere classified","60-64 years","women",15
"SE01 Stockholm","151 Health care managers","16-24 years","men",0
"SE01 Stockholm","151 Health care managers","16-24 years","women",3
"SE01 Stockholm","151 Health care managers","25-29 years","men",11
"SE01 Stockholm","151 Health care managers","25-29 years","women",41
"SE01 Stockholm","151 Health care managers","30-34 years","men",33
"SE01 Stockholm","151 Health care managers","30-34 years","women",138
"SE01 Stockholm","151 Health care managers","35-39 years","men",79
"SE01 Stockholm","151 Health care managers","35-39 years","women",238
"SE01 Stockholm","151 Health care managers","40-44 years","men",101
"SE01 Stockholm","151 Health care managers","40-44 years","women",337
"SE01 Stockholm","151 Health care managers","45-49 years","men",172
"SE01 Stockholm","151 Health care managers","45-49 years","women",419
"SE01 Stockholm","151 Health care managers","50-54 years","men",133
"SE01 Stockholm","151 Health care managers","50-54 years","women",488
