"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018","2019","2020"
"SE11 Stockholm","0 all sectors","131 Information and communications technology service managers","women",1200,1300,1100,1200,1200,1300,1500
"SE11 Stockholm","0 all sectors","132 Supply, logistics and transport managers","men",1900,1800,2000,1600,1800,2000,2000
"SE11 Stockholm","0 all sectors","132 Supply, logistics and transport managers","women",450,440,..,..,620,880,890
"SE11 Stockholm","0 all sectors","133 Research and development managers","men",1500,1700,1800,1600,1500,..,1500
"SE11 Stockholm","0 all sectors","133 Research and development managers","women",400,510,570,590,560,710,730
"SE11 Stockholm","0 all sectors","134 Architectural and engineering managers","men",..,2100,1700,2100,1600,..,..
"SE11 Stockholm","0 all sectors","134 Architectural and engineering managers","women",680,750,700,770,850,..,..
"SE11 Stockholm","0 all sectors","135 Real estate and head of administration manager","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","135 Real estate and head of administration manager","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","136 Production managers in construction and mining","men",3500,4000,4200,4100,4300,4200,4200
"SE11 Stockholm","0 all sectors","136 Production managers in construction and mining","women",290,430,410,440,480,500,420
"SE11 Stockholm","0 all sectors","137 Production managers in manufacturing","men",..,1700,1400,1200,1300,1500,1300
"SE11 Stockholm","0 all sectors","137 Production managers in manufacturing","women",..,..,..,440,430,390,330
"SE11 Stockholm","0 all sectors","138 Forestry and agricultural production managers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","138 Forestry and agricultural production managers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","141 Primary and secondary schools and adult education managers","men",700,620,600,580,680,720,830
"SE11 Stockholm","0 all sectors","141 Primary and secondary schools and adult education managers","women",1400,1400,1400,1400,1400,1600,1700
"SE11 Stockholm","0 all sectors","142 Preschool managers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","142 Preschool managers","women",1300,940,970,1100,1000,940,930
"SE11 Stockholm","0 all sectors","149 Education managers not elsewhere classified","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","149 Education managers not elsewhere classified","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","151 Health care managers","men",600,650,700,700,890,720,950
"SE11 Stockholm","0 all sectors","151 Health care managers","women",2300,2300,2400,2400,2700,2500,2600
"SE11 Stockholm","0 all sectors","152 Managers in social and curative care","men",170,150,200,210,..,200,240
"SE11 Stockholm","0 all sectors","152 Managers in social and curative care","women",660,780,670,770,850,990,1000
"SE11 Stockholm","0 all sectors","153 Elderly care managers","men",140,..,180,..,160,150,150
"SE11 Stockholm","0 all sectors","153 Elderly care managers","women",1100,1100,1200,1100,1000,1100,1100
"SE11 Stockholm","0 all sectors","154 Managers and leaders within religious bodies","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","154 Managers and leaders within religious bodies","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","159 Other social services managers","men",2200,2300,2500,2400,2400,2400,2600
"SE11 Stockholm","0 all sectors","159 Other social services managers","women",2000,2100,2300,2400,2300,2200,2500
"SE11 Stockholm","0 all sectors","161 Financial and insurance managers","men",1800,1600,1600,1300,1400,1600,1700
"SE11 Stockholm","0 all sectors","161 Financial and insurance managers","women",960,950,1100,1100,1100,1000,1000
"SE11 Stockholm","0 all sectors","171 Hotel and conference managers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","171 Hotel and conference managers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","172 Restaurant managers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","172 Restaurant managers","women",..,..,..,560,..,760,..
"SE11 Stockholm","0 all sectors","173 Retail and wholesale trade managers","men",..,700,1000,920,680,..,..
"SE11 Stockholm","0 all sectors","173 Retail and wholesale trade managers","women",550,560,..,..,510,..,..
"SE11 Stockholm","0 all sectors","174 Sports, leisure and wellness managers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","174 Sports, leisure and wellness managers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","179 Other services managers not elsewhere classified","men",660,760,780,800,760,790,740
"SE11 Stockholm","0 all sectors","179 Other services managers not elsewhere classified","women",310,540,650,630,670,770,680
"SE11 Stockholm","0 all sectors","211 Physicists and chemists","men",970,890,950,940,870,840,840
"SE11 Stockholm","0 all sectors","211 Physicists and chemists","women",530,550,590,640,530,470,540
"SE11 Stockholm","0 all sectors","212 Mathematicians, actuaries and statisticians","men",670,740,870,890,970,810,910
"SE11 Stockholm","0 all sectors","212 Mathematicians, actuaries and statisticians","women",450,490,580,630,640,520,600
"SE11 Stockholm","0 all sectors","213 Biologists, pharmacologists and specialists in agriculture and forestry","men",..,..,530,..,630,..,400
"SE11 Stockholm","0 all sectors","213 Biologists, pharmacologists and specialists in agriculture and forestry","women",680,1000,..,500,700,..,..
"SE11 Stockholm","0 all sectors","214 Engineering professionals","men",21400,21000,21300,21400,20800,22700,22000
"SE11 Stockholm","0 all sectors","214 Engineering professionals","women",6800,6600,7100,8100,7400,8000,7300
"SE11 Stockholm","0 all sectors","216 Architects and surveyors","men",..,..,..,2700,..,..,..
"SE11 Stockholm","0 all sectors","216 Architects and surveyors","women",1400,..,..,3300,..,2600,..
"SE11 Stockholm","0 all sectors","217 Designers","men",2600,..,3100,3000,3400,2700,2600
"SE11 Stockholm","0 all sectors","217 Designers","women",2500,3000,..,3200,2600,2600,2800
"SE11 Stockholm","0 all sectors","218 Specialists within environmental and health protection","men",600,610,460,600,550,570,750
"SE11 Stockholm","0 all sectors","218 Specialists within environmental and health protection","women",850,790,830,1100,1000,1000,..
"SE11 Stockholm","0 all sectors","221 Medical doctors","men",4600,3700,3900,3800,4300,3700,4300
"SE11 Stockholm","0 all sectors","221 Medical doctors","women",5600,4900,4700,4700,5400,5600,5900
"SE11 Stockholm","0 all sectors","222 Nursing professionals","men",2200,2000,1800,1900,2600,2000,2200
"SE11 Stockholm","0 all sectors","222 Nursing professionals","women",16300,16700,15800,16300,17100,17300,15400
"SE11 Stockholm","0 all sectors","223 Nursing professionals (cont.)","men",250,260,280,220,260,300,370
"SE11 Stockholm","0 all sectors","223 Nursing professionals (cont.)","women",3100,3600,4000,3400,3500,3800,4000
"SE11 Stockholm","0 all sectors","224 Psychologists and psychotherapists","men",520,520,600,570,820,550,570
"SE11 Stockholm","0 all sectors","224 Psychologists and psychotherapists","women",1600,1400,..,1700,2500,2200,2400
"SE11 Stockholm","0 all sectors","225 Veterinarians","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","225 Veterinarians","women",170,180,220,180,230,250,270
"SE11 Stockholm","0 all sectors","226 Dentists","men",..,..,240,250,180,..,200
"SE11 Stockholm","0 all sectors","226 Dentists","women",550,..,..,720,470,..,500
"SE11 Stockholm","0 all sectors","227 Naprapaths, physiotherapists, occupational therapists","men",440,..,410,460,..,..,..
"SE11 Stockholm","0 all sectors","227 Naprapaths, physiotherapists, occupational therapists","women",3700,2800,3000,2500,2600,2900,4000
"SE11 Stockholm","0 all sectors","228 Specialists in health care not elsewhere classified","men",..,..,320,370,510,300,380
"SE11 Stockholm","0 all sectors","228 Specialists in health care not elsewhere classified","women",..,..,2900,2600,2600,1900,2200
"SE11 Stockholm","0 all sectors","231 University and higher education teachers","men",4600,4700,4600,4500,4500,4500,4400
"SE11 Stockholm","0 all sectors","231 University and higher education teachers","women",3700,4000,4100,4000,4100,4100,4200
"SE11 Stockholm","0 all sectors","232 Vocational education teachers","men",690,..,660,640,540,..,..
"SE11 Stockholm","0 all sectors","232 Vocational education teachers","women",690,760,790,880,530,640,860
"SE11 Stockholm","0 all sectors","233 Secondary education teachers","men",2100,1900,2000,1900,1800,2600,2500
"SE11 Stockholm","0 all sectors","233 Secondary education teachers","women",2600,2400,2600,2500,2500,3200,3100
"SE11 Stockholm","0 all sectors","234 Primary- and pre-school teachers ","men",6600,7400,6900,6900,6800,6500,7900
"SE11 Stockholm","0 all sectors","234 Primary- and pre-school teachers ","women",29100,27900,26700,27000,27000,25900,27800
"SE11 Stockholm","0 all sectors","235 Teaching professionals not elsewhere classified","men",1600,2300,1900,1900,1600,1600,1700
"SE11 Stockholm","0 all sectors","235 Teaching professionals not elsewhere classified","women",4500,5100,4400,4800,4500,4600,4700
"SE11 Stockholm","0 all sectors","241 Accountants, financial analysts and fund managers","men",10000,10100,9600,11300,11200,10900,11100
"SE11 Stockholm","0 all sectors","241 Accountants, financial analysts and fund managers","women",9700,9500,9700,10700,12400,10400,11100
"SE11 Stockholm","0 all sectors","242 Organisation analysts, policy administrators and human resource specialists","men",14600,15100,16400,17600,19300,18700,19000
"SE11 Stockholm","0 all sectors","242 Organisation analysts, policy administrators and human resource specialists","women",19400,20600,22700,24500,27100,26300,27000
"SE11 Stockholm","0 all sectors","243 Marketing and public relations professionals","men",7000,6400,6800,6400,7200,8200,8200
"SE11 Stockholm","0 all sectors","243 Marketing and public relations professionals","women",9600,10600,11400,9600,12700,13400,12000
"SE11 Stockholm","0 all sectors","251 ICT architects, systems analysts and test managers","men",39300,41400,39700,44900,45000,53700,47300
"SE11 Stockholm","0 all sectors","251 ICT architects, systems analysts and test managers","women",11300,11100,11600,12500,15000,17400,16200
"SE11 Stockholm","0 all sectors","261 Legal professionals","men",3700,3700,4700,4600,4600,4600,5100
"SE11 Stockholm","0 all sectors","261 Legal professionals","women",5200,5200,5700,5500,6000,6000,6900
"SE11 Stockholm","0 all sectors","262 Museum curators and librarians and related professionals","men",860,920,910,900,1000,980,1100
"SE11 Stockholm","0 all sectors","262 Museum curators and librarians and related professionals","women",1800,1900,1900,2000,2300,2200,2400
"SE11 Stockholm","0 all sectors","264 Authors, journalists and linguists","men",3100,3000,..,3500,2800,3000,2800
"SE11 Stockholm","0 all sectors","264 Authors, journalists and linguists","women",3400,3300,4000,4100,4400,3300,3000
"SE11 Stockholm","0 all sectors","265 Creative and performing artists","men",..,1500,..,..,2800,2200,2000
"SE11 Stockholm","0 all sectors","265 Creative and performing artists","women",1500,..,1600,2100,2200,2000,1700
"SE11 Stockholm","0 all sectors","266 Social work and counselling professionals","men",900,1100,1200,1200,1400,1500,1500
"SE11 Stockholm","0 all sectors","266 Social work and counselling professionals","women",5700,6000,6500,6900,7500,7700,7700
"SE11 Stockholm","0 all sectors","267 Religious professionals and deacons","men",170,170,170,..,..,..,..
"SE11 Stockholm","0 all sectors","267 Religious professionals and deacons","women",410,390,400,..,..,..,..
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","men",17700,18700,18200,16600,19900,19900,23400
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","women",3900,4900,4600,6000,7100,5700,6400
"SE11 Stockholm","0 all sectors","312 Construction and manufacturing supervisors","men",3500,3500,5200,3800,6100,4800,4800
"SE11 Stockholm","0 all sectors","312 Construction and manufacturing supervisors","women",..,510,500,570,820,..,680
"SE11 Stockholm","0 all sectors","315 Ship and aircraft controllers and technicians","men",1500,1200,1500,1600,1400,1600,2000
"SE11 Stockholm","0 all sectors","315 Ship and aircraft controllers and technicians","women",190,160,200,220,200,190,220
"SE11 Stockholm","0 all sectors","321 Medical and pharmaceutical technicians","men",..,2000,..,..,2300,2700,3100
"SE11 Stockholm","0 all sectors","321 Medical and pharmaceutical technicians","women",4000,4300,4800,4600,4600,4700,5600
"SE11 Stockholm","0 all sectors","323 Complementary medicine therapists and associate professionals","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","323 Complementary medicine therapists and associate professionals","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","324 Veterinary assistants","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","324 Veterinary assistants","women",..,..,..,350,380,460,..
"SE11 Stockholm","0 all sectors","325 Dental hygienists","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","325 Dental hygienists","women",370,390,400,440,320,400,320
"SE11 Stockholm","0 all sectors","331 Financial and accounting associate professionals","men",6700,6900,6700,7100,7700,7800,8000
"SE11 Stockholm","0 all sectors","331 Financial and accounting associate professionals","women",13000,13000,13400,12800,13900,14700,15100
"SE11 Stockholm","0 all sectors","332 Insurance advisers, sales and purchasing agents","men",26100,24800,26800,27200,27000,26400,29100
"SE11 Stockholm","0 all sectors","332 Insurance advisers, sales and purchasing agents","women",13800,14600,15300,16200,16700,19400,16000
"SE11 Stockholm","0 all sectors","333 Business services agents","men",4600,3900,4700,4400,4700,4800,3900
"SE11 Stockholm","0 all sectors","333 Business services agents","women",4400,3900,4100,4600,4800,5300,4100
"SE11 Stockholm","0 all sectors","334 Administrative and specialized secretaries","men",..,980,1300,1100,1600,1300,1500
"SE11 Stockholm","0 all sectors","334 Administrative and specialized secretaries","women",4000,3600,3700,4400,5100,5700,5200
"SE11 Stockholm","0 all sectors","335 Tax and related government associate professionals","men",3100,3400,3400,3300,3500,..,3800
"SE11 Stockholm","0 all sectors","335 Tax and related government associate professionals","women",6200,6300,6000,6200,5700,5500,6200
"SE11 Stockholm","0 all sectors","336 Police officers ","men",3000,3200,3200,3100,3100,2900,2900
"SE11 Stockholm","0 all sectors","336 Police officers ","women",1500,1700,1600,1500,1500,1500,1500
"SE11 Stockholm","0 all sectors","341 Social work and religious associate professionals","men",..,1300,1200,1200,1000,1200,..
"SE11 Stockholm","0 all sectors","341 Social work and religious associate professionals","women",1300,2100,1600,1500,1200,1600,..
"SE11 Stockholm","0 all sectors","342 Athletes, fitness instructors and recreational workers","men",4900,3900,3200,4000,3800,4000,4000
"SE11 Stockholm","0 all sectors","342 Athletes, fitness instructors and recreational workers","women",3700,4200,4000,4700,5400,4300,4700
"SE11 Stockholm","0 all sectors","343 Photographers, interior decorators and entertainers","men",..,910,1100,..,..,1600,810
"SE11 Stockholm","0 all sectors","343 Photographers, interior decorators and entertainers","women",1300,1600,1100,..,..,1300,1300
"SE11 Stockholm","0 all sectors","344 Driving instructors and other instructors","men",250,..,..,320,..,..,..
"SE11 Stockholm","0 all sectors","344 Driving instructors and other instructors","women",310,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","345 Culinary associate professionals","men",..,..,..,..,..,..,330
"SE11 Stockholm","0 all sectors","345 Culinary associate professionals","women",..,250,210,..,330,..,..
"SE11 Stockholm","0 all sectors","351 ICT operations and user support technicians","men",..,14600,11800,13800,13100,13400,11700
"SE11 Stockholm","0 all sectors","351 ICT operations and user support technicians","women",3200,3500,3400,3600,3200,2900,3300
"SE11 Stockholm","0 all sectors","352 Broadcasting and audio-visual technicians","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","352 Broadcasting and audio-visual technicians","women",310,280,290,290,330,..,340
"SE11 Stockholm","0 all sectors","411 Office assistants and other secretaries","men",8300,8400,9900,8800,8200,7900,8900
"SE11 Stockholm","0 all sectors","411 Office assistants and other secretaries","women",36900,37000,35400,37300,38000,37600,35800
"SE11 Stockholm","0 all sectors","421 Croupiers, debt collectors and related workers","men",..,..,..,..,240,..,210
"SE11 Stockholm","0 all sectors","421 Croupiers, debt collectors and related workers","women",..,..,..,..,320,270,170
"SE11 Stockholm","0 all sectors","422 Client information clerks","men",4400,5000,6400,6800,6200,6600,6200
"SE11 Stockholm","0 all sectors","422 Client information clerks","women",10700,12800,16800,15700,14100,14500,13200
"SE11 Stockholm","0 all sectors","432 Stores and transport clerks","men",13300,12900,12400,11300,15000,12600,17300
"SE11 Stockholm","0 all sectors","432 Stores and transport clerks","women",..,3300,2800,2800,3300,3700,5800
"SE11 Stockholm","0 all sectors","441 Library and filing clerks","men",230,240,210,240,310,..,190
"SE11 Stockholm","0 all sectors","441 Library and filing clerks","women",480,460,430,440,490,440,370
"SE11 Stockholm","0 all sectors","442 Postmen and postal facility workers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","442 Postmen and postal facility workers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","443 Elected representatives","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","443 Elected representatives","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","511 Cabin crew, guides and related workers","men",2000,1900,2100,2000,2400,2200,2100
"SE11 Stockholm","0 all sectors","511 Cabin crew, guides and related workers","women",2000,1700,2000,2100,2400,2600,1900
"SE11 Stockholm","0 all sectors","512 Cooks and cold-buffet managers","men",6500,6700,3100,4600,..,..,3400
"SE11 Stockholm","0 all sectors","512 Cooks and cold-buffet managers","women",3000,..,3100,2900,3700,3100,..
"SE11 Stockholm","0 all sectors","513 Waiters and bartenders","men",..,..,..,..,..,4600,..
"SE11 Stockholm","0 all sectors","513 Waiters and bartenders","women",..,..,..,4600,..,4700,..
"SE11 Stockholm","0 all sectors","514 Hairdressers, beauty and body therapists","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","514 Hairdressers, beauty and body therapists","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","515 Building caretakers and related workers","men",4900,5500,5000,5400,5400,5700,4900
"SE11 Stockholm","0 all sectors","515 Building caretakers and related workers","women",930,1100,..,1500,1600,1600,..
"SE11 Stockholm","0 all sectors","516 Other service related workers","men",450,530,340,..,360,290,..
"SE11 Stockholm","0 all sectors","516 Other service related workers","women",..,860,..,..,440,390,..
"SE11 Stockholm","0 all sectors","522 Shop staff","men",18300,17400,18400,19700,20200,20300,20900
"SE11 Stockholm","0 all sectors","522 Shop staff","women",31700,28400,32500,31100,32800,37700,35400
"SE11 Stockholm","0 all sectors","523 Cashiers and related clerks","men",..,..,..,..,530,..,..
"SE11 Stockholm","0 all sectors","523 Cashiers and related clerks","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","524 Event seller and telemarketers","men",..,..,..,1800,1000,..,..
"SE11 Stockholm","0 all sectors","524 Event seller and telemarketers","women",2000,2300,..,..,..,..,450
"SE11 Stockholm","0 all sectors","531 Child care workers and teachers aides","men",..,5000,5700,5900,6000,6000,6300
"SE11 Stockholm","0 all sectors","531 Child care workers and teachers aides","women",29500,24600,25400,26800,26600,26100,26400
"SE11 Stockholm","0 all sectors","532 Personal care workers in health services","men",3400,3300,3900,3800,3900,4300,4200
"SE11 Stockholm","0 all sectors","532 Personal care workers in health services","women",23400,22800,25500,25100,25600,24700,24100
"SE11 Stockholm","0 all sectors","533 Health care assistants","men",4000,3600,3700,3200,3600,3800,3700
"SE11 Stockholm","0 all sectors","533 Health care assistants","women",14000,12500,11900,11000,10500,10700,10600
"SE11 Stockholm","0 all sectors","534 Attendants, personal assistants and related workers","men",9700,10600,12700,12700,13200,12700,12600
"SE11 Stockholm","0 all sectors","534 Attendants, personal assistants and related workers","women",22900,23900,27200,27300,28500,27600,26600
"SE11 Stockholm","0 all sectors","535 Dental nurses","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","535 Dental nurses","women",1300,1400,1600,..,..,..,1400
"SE11 Stockholm","0 all sectors","541 Other surveillance and security workers","men",6900,7500,7900,9100,8800,8400,8700
"SE11 Stockholm","0 all sectors","541 Other surveillance and security workers","women",2800,2900,2900,3200,3200,3300,2900
"SE11 Stockholm","0 all sectors","611 Market gardeners and crop growers","men",..,1000,..,..,..,..,..
"SE11 Stockholm","0 all sectors","611 Market gardeners and crop growers","women",..,350,..,490,..,..,..
"SE11 Stockholm","0 all sectors","612 Animal breeders and keepers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","612 Animal breeders and keepers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","613 Mixed crop and animal breeders","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","613 Mixed crop and animal breeders","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","621 Forestry and related workers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","621 Forestry and related workers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","622 Aquaculture and fishery workers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","622 Aquaculture and fishery workers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","711 Carpenters, bricklayers and construction workers","men",..,21300,..,..,24700,21200,..
"SE11 Stockholm","0 all sectors","711 Carpenters, bricklayers and construction workers","women",..,..,..,..,..,200,250
"SE11 Stockholm","0 all sectors","712 Roofers, floor layers, plumbers and pipefitters","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","712 Roofers, floor layers, plumbers and pipefitters","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","713 Painters, Lacquerers, Chimney-sweepers and related trades workers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","713 Painters, Lacquerers, Chimney-sweepers and related trades workers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","721 Sheet and structural metal workers, moulders and welders, and related workers","men",..,..,..,..,790,..,..
"SE11 Stockholm","0 all sectors","721 Sheet and structural metal workers, moulders and welders, and related workers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","722 Blacksmiths, toolmakers and related trades workers","men",..,5300,5500,..,..,..,..
"SE11 Stockholm","0 all sectors","722 Blacksmiths, toolmakers and related trades workers","women",400,390,490,150,..,150,190
"SE11 Stockholm","0 all sectors","723 Machinery mechanics and fitters","men",8300,8500,..,..,..,9700,10000
"SE11 Stockholm","0 all sectors","723 Machinery mechanics and fitters","women",140,170,150,170,630,730,710
"SE11 Stockholm","0 all sectors","731 Precision-instrument makers and handicraft workers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","731 Precision-instrument makers and handicraft workers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","732 Printing trades workers","men",1100,1300,1200,1000,..,780,660
"SE11 Stockholm","0 all sectors","732 Printing trades workers","women",..,320,420,320,..,250,200
"SE11 Stockholm","0 all sectors","741 Electrical equipment installers and repairers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","741 Electrical equipment installers and repairers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","742 Electronics and telecommunications installers and repairers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","742 Electronics and telecommunications installers and repairers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","752 Wood treaters, cabinet-makers and related trades workers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","752 Wood treaters, cabinet-makers and related trades workers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","753 Tailors, upholsterers and leather craftsmen","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","753 Tailors, upholsterers and leather craftsmen","women",..,..,270,..,..,..,..
"SE11 Stockholm","0 all sectors","761 Butchers, bakers and food processors","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","761 Butchers, bakers and food processors","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","811 Mining and mineral processing plant operators","men",..,..,1100,..,..,960,..
"SE11 Stockholm","0 all sectors","811 Mining and mineral processing plant operators","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","812 Metal processing and finishing plant operators","men",..,..,360,390,180,180,..
"SE11 Stockholm","0 all sectors","812 Metal processing and finishing plant operators","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","813 Machine operators, chemical and pharmaceutical products","men",920,980,..,1000,980,1200,1300
"SE11 Stockholm","0 all sectors","813 Machine operators, chemical and pharmaceutical products","women",770,880,..,900,830,860,870
"SE11 Stockholm","0 all sectors","814 Machine operators, rubber, plastic and paper products","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","814 Machine operators, rubber, plastic and paper products","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","815 Machine operators, textile, fur and leather products","men",..,..,..,..,..,160,170
"SE11 Stockholm","0 all sectors","815 Machine operators, textile, fur and leather products","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","816 Machine operators, food and related products","men",670,..,930,..,..,610,660
"SE11 Stockholm","0 all sectors","816 Machine operators, food and related products","women",..,..,..,..,..,220,230
"SE11 Stockholm","0 all sectors","817 Wood processing and papermaking plant operators","men",130,..,..,..,350,320,340
"SE11 Stockholm","0 all sectors","817 Wood processing and papermaking plant operators","women",..,..,..,..,110,..,..
"SE11 Stockholm","0 all sectors","818 Other stationary plant and machine operators","men",1300,1300,1300,1200,..,580,540
"SE11 Stockholm","0 all sectors","818 Other stationary plant and machine operators","women",290,..,380,370,200,210,160
"SE11 Stockholm","0 all sectors","819 Process control technicians","men",..,..,1200,1400,1200,1300,1400
"SE11 Stockholm","0 all sectors","819 Process control technicians","women",240,220,190,210,160,140,230
"SE11 Stockholm","0 all sectors","821 Assemblers","men",2500,..,..,5000,..,..,..
"SE11 Stockholm","0 all sectors","821 Assemblers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","831 Train operators and related workers","men",1200,..,..,1200,1200,1300,1200
"SE11 Stockholm","0 all sectors","831 Train operators and related workers","women",320,470,450,350,350,390,390
"SE11 Stockholm","0 all sectors","832 Car, van and motorcycle drivers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","832 Car, van and motorcycle drivers","women",..,..,..,..,..,..,160
"SE11 Stockholm","0 all sectors","833 Heavy truck and bus drivers","men",13200,14900,..,..,..,17100,14400
