"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"1-3 public sector","031 Armed forces occupations, other ranks","women","primary and secondary education 9-10 years (ISCED97 2)",21100,19800,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","upper secondary education, 2 years or less (ISCED97 3C)",25800,27200,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","upper secondary education 3 years (ISCED97 3A)",20800,21100,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","post-secondary education, less than 3 years (ISCED97 4+5B)",22100,21300,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","post-secondary education 3 years or more (ISCED97 5A)",31400,30200,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","111 Legislators and senior officials","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","111 Legislators and senior officials","men","primary and secondary education 9-10 years (ISCED97 2)",55100,73000,62900,60600,93400
"1-3 public sector","111 Legislators and senior officials","men","upper secondary education, 2 years or less (ISCED97 3C)",65700,62300,65300,68000,69500
"1-3 public sector","111 Legislators and senior officials","men","upper secondary education 3 years (ISCED97 3A)",67600,64700,68700,69500,78700
"1-3 public sector","111 Legislators and senior officials","men","post-secondary education, less than 3 years (ISCED97 4+5B)",64600,67100,69900,72800,85500
"1-3 public sector","111 Legislators and senior officials","men","post-secondary education 3 years or more (ISCED97 5A)",73900,72800,76000,77800,88200
"1-3 public sector","111 Legislators and senior officials","men","post-graduate education (ISCED97 6)",97500,99100,101100,103800,106900
"1-3 public sector","111 Legislators and senior officials","men","no information about level of educational attainment",65700,49400,..,..,..
"1-3 public sector","111 Legislators and senior officials","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","111 Legislators and senior officials","women","primary and secondary education 9-10 years (ISCED97 2)",85200,..,..,..,..
"1-3 public sector","111 Legislators and senior officials","women","upper secondary education, 2 years or less (ISCED97 3C)",67100,66200,66600,73100,105100
"1-3 public sector","111 Legislators and senior officials","women","upper secondary education 3 years (ISCED97 3A)",75400,67000,67700,74200,103000
"1-3 public sector","111 Legislators and senior officials","women","post-secondary education, less than 3 years (ISCED97 4+5B)",67400,68800,70600,73700,83100
"1-3 public sector","111 Legislators and senior officials","women","post-secondary education 3 years or more (ISCED97 5A)",71300,71200,74200,76500,88600
"1-3 public sector","111 Legislators and senior officials","women","post-graduate education (ISCED97 6)",86200,77800,87100,90400,104800
"1-3 public sector","111 Legislators and senior officials","women","no information about level of educational attainment",76400,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","post-secondary education 3 years or more (ISCED97 5A)",..,..,61200,61700,..
"1-3 public sector","112 Managing directors and chief executives","men","post-graduate education (ISCED97 6)",..,102300,101300,100100,..
"1-3 public sector","112 Managing directors and chief executives","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","post-secondary education 3 years or more (ISCED97 5A)",..,84800,75600,80300,..
"1-3 public sector","112 Managing directors and chief executives","women","post-graduate education (ISCED97 6)",..,102300,102600,110500,..
"1-3 public sector","112 Managing directors and chief executives","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","121 Finance managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","121 Finance managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","121 Finance managers","men","upper secondary education, 2 years or less (ISCED97 3C)",51400,53400,54700,56900,58400
"1-3 public sector","121 Finance managers","men","upper secondary education 3 years (ISCED97 3A)",55000,55500,59100,60200,62100
"1-3 public sector","121 Finance managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",54700,53900,54400,57600,60100
"1-3 public sector","121 Finance managers","men","post-secondary education 3 years or more (ISCED97 5A)",56800,58200,59900,61900,63800
"1-3 public sector","121 Finance managers","men","post-graduate education (ISCED97 6)",74400,65200,68600,61700,64000
"1-3 public sector","121 Finance managers","men","no information about level of educational attainment",..,..,..,55700,..
"1-3 public sector","121 Finance managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","121 Finance managers","women","primary and secondary education 9-10 years (ISCED97 2)",49500,..,..,..,..
"1-3 public sector","121 Finance managers","women","upper secondary education, 2 years or less (ISCED97 3C)",44200,45800,46600,47500,49200
"1-3 public sector","121 Finance managers","women","upper secondary education 3 years (ISCED97 3A)",50000,52500,52000,54900,51900
"1-3 public sector","121 Finance managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",50000,53200,55500,56100,57400
"1-3 public sector","121 Finance managers","women","post-secondary education 3 years or more (ISCED97 5A)",53300,54600,56300,58000,59700
"1-3 public sector","121 Finance managers","women","post-graduate education (ISCED97 6)",60400,62900,63100,65600,67100
"1-3 public sector","121 Finance managers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","122 Human resource managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","122 Human resource managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","122 Human resource managers","men","upper secondary education, 2 years or less (ISCED97 3C)",50500,50500,49600,53700,58100
"1-3 public sector","122 Human resource managers","men","upper secondary education 3 years (ISCED97 3A)",48400,53600,53100,54800,59500
"1-3 public sector","122 Human resource managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",52000,55400,51800,54000,57000
"1-3 public sector","122 Human resource managers","men","post-secondary education 3 years or more (ISCED97 5A)",55300,56200,57600,58800,60700
"1-3 public sector","122 Human resource managers","men","post-graduate education (ISCED97 6)",50400,..,..,..,..
"1-3 public sector","122 Human resource managers","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","122 Human resource managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","122 Human resource managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,41900,43100,42400,51300
"1-3 public sector","122 Human resource managers","women","upper secondary education, 2 years or less (ISCED97 3C)",49200,49500,50400,51900,52000
"1-3 public sector","122 Human resource managers","women","upper secondary education 3 years (ISCED97 3A)",49000,48200,51200,50700,49800
"1-3 public sector","122 Human resource managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",52000,54400,54100,54700,56100
"1-3 public sector","122 Human resource managers","women","post-secondary education 3 years or more (ISCED97 5A)",53800,55200,56600,58000,59300
"1-3 public sector","122 Human resource managers","women","post-graduate education (ISCED97 6)",..,..,54200,54100,57300
"1-3 public sector","122 Human resource managers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","123 Administration and planning managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","123 Administration and planning managers","men","primary and secondary education 9-10 years (ISCED97 2)",45300,40100,39500,44400,50200
"1-3 public sector","123 Administration and planning managers","men","upper secondary education, 2 years or less (ISCED97 3C)",48700,51400,55100,55800,59700
"1-3 public sector","123 Administration and planning managers","men","upper secondary education 3 years (ISCED97 3A)",42600,43900,50700,50400,51900
"1-3 public sector","123 Administration and planning managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",41200,41500,53400,54100,59300
"1-3 public sector","123 Administration and planning managers","men","post-secondary education 3 years or more (ISCED97 5A)",51000,52400,59400,59900,65300
"1-3 public sector","123 Administration and planning managers","men","post-graduate education (ISCED97 6)",72600,72300,73900,74800,77600
"1-3 public sector","123 Administration and planning managers","men","no information about level of educational attainment",93000,94800,..,..,..
"1-3 public sector","123 Administration and planning managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","123 Administration and planning managers","women","primary and secondary education 9-10 years (ISCED97 2)",42000,41700,44100,44100,44400
"1-3 public sector","123 Administration and planning managers","women","upper secondary education, 2 years or less (ISCED97 3C)",42800,43300,44200,45900,48300
"1-3 public sector","123 Administration and planning managers","women","upper secondary education 3 years (ISCED97 3A)",43800,42500,46000,47700,49300
"1-3 public sector","123 Administration and planning managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",50400,52100,53100,53500,60800
"1-3 public sector","123 Administration and planning managers","women","post-secondary education 3 years or more (ISCED97 5A)",54400,57100,56800,58100,62600
"1-3 public sector","123 Administration and planning managers","women","post-graduate education (ISCED97 6)",65000,65300,65200,66700,70300
"1-3 public sector","123 Administration and planning managers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","124 Information, communication and public relations managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","124 Information, communication and public relations managers","men","primary and secondary education 9-10 years (ISCED97 2)",60100,60100,60200,61200,59200
"1-3 public sector","124 Information, communication and public relations managers","men","upper secondary education, 2 years or less (ISCED97 3C)",49000,..,73100,63400,65300
"1-3 public sector","124 Information, communication and public relations managers","men","upper secondary education 3 years (ISCED97 3A)",52500,50700,52700,54100,59700
"1-3 public sector","124 Information, communication and public relations managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",52900,55000,56300,58600,59800
"1-3 public sector","124 Information, communication and public relations managers","men","post-secondary education 3 years or more (ISCED97 5A)",55300,54600,55400,57600,60200
"1-3 public sector","124 Information, communication and public relations managers","men","post-graduate education (ISCED97 6)",59200,58900,..,..,59000
"1-3 public sector","124 Information, communication and public relations managers","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","124 Information, communication and public relations managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","124 Information, communication and public relations managers","women","primary and secondary education 9-10 years (ISCED97 2)",45300,49400,..,..,57700
"1-3 public sector","124 Information, communication and public relations managers","women","upper secondary education, 2 years or less (ISCED97 3C)",54200,53700,55900,56200,54000
"1-3 public sector","124 Information, communication and public relations managers","women","upper secondary education 3 years (ISCED97 3A)",49200,49900,52300,52900,55200
"1-3 public sector","124 Information, communication and public relations managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",53500,55300,56500,57600,57800
"1-3 public sector","124 Information, communication and public relations managers","women","post-secondary education 3 years or more (ISCED97 5A)",51400,52800,54700,56300,57500
"1-3 public sector","124 Information, communication and public relations managers","women","post-graduate education (ISCED97 6)",50700,55300,54900,60000,61500
"1-3 public sector","124 Information, communication and public relations managers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","men","upper secondary education, 2 years or less (ISCED97 3C)",47100,47300,48700,49400,62300
"1-3 public sector","125 Sales and marketing managers","men","upper secondary education 3 years (ISCED97 3A)",52600,47900,53700,52200,57000
"1-3 public sector","125 Sales and marketing managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",57200,56200,57800,55500,56600
"1-3 public sector","125 Sales and marketing managers","men","post-secondary education 3 years or more (ISCED97 5A)",59400,62500,63500,63800,68300
"1-3 public sector","125 Sales and marketing managers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","women","upper secondary education, 2 years or less (ISCED97 3C)",45600,48400,50800,50200,48500
"1-3 public sector","125 Sales and marketing managers","women","upper secondary education 3 years (ISCED97 3A)",47900,51900,49600,50100,51700
"1-3 public sector","125 Sales and marketing managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",58400,56100,59300,61800,60300
"1-3 public sector","125 Sales and marketing managers","women","post-secondary education 3 years or more (ISCED97 5A)",55900,57100,58300,59400,61400
"1-3 public sector","125 Sales and marketing managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","primary and secondary education less than 9 years (ISCED97 1)",40000,..,..,..,..
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","primary and secondary education 9-10 years (ISCED97 2)",36700,38200,39100,40600,42800
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","upper secondary education, 2 years or less (ISCED97 3C)",36900,39000,40400,41200,44700
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","upper secondary education 3 years (ISCED97 3A)",37400,38500,39000,39700,45400
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","post-secondary education, less than 3 years (ISCED97 4+5B)",41700,43200,43500,43400,50000
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","post-secondary education 3 years or more (ISCED97 5A)",45500,45700,45000,46900,57300
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","post-graduate education (ISCED97 6)",..,..,..,..,80800
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","primary and secondary education less than 9 years (ISCED97 1)",32900,34300,38200,33000,31500
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","primary and secondary education 9-10 years (ISCED97 2)",34900,35300,35500,36600,38800
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","upper secondary education, 2 years or less (ISCED97 3C)",33700,35000,36700,37500,40900
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","upper secondary education 3 years (ISCED97 3A)",34700,35200,37200,37300,40400
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","post-secondary education, less than 3 years (ISCED97 4+5B)",37900,39500,41800,41600,48800
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","post-secondary education 3 years or more (ISCED97 5A)",39900,40900,44300,44300,54300
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","post-graduate education (ISCED97 6)",38900,40600,..,..,69000
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","131 Information and communications technology service managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","131 Information and communications technology service managers","men","primary and secondary education 9-10 years (ISCED97 2)",50900,54900,53100,53400,53900
"1-3 public sector","131 Information and communications technology service managers","men","upper secondary education, 2 years or less (ISCED97 3C)",49500,49700,51700,53100,54900
"1-3 public sector","131 Information and communications technology service managers","men","upper secondary education 3 years (ISCED97 3A)",48500,49500,52500,53000,54100
"1-3 public sector","131 Information and communications technology service managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",50600,51900,53500,54900,56800
"1-3 public sector","131 Information and communications technology service managers","men","post-secondary education 3 years or more (ISCED97 5A)",54500,54800,58000,59900,61500
"1-3 public sector","131 Information and communications technology service managers","men","post-graduate education (ISCED97 6)",57300,51300,54100,73800,64700
"1-3 public sector","131 Information and communications technology service managers","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","131 Information and communications technology service managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","131 Information and communications technology service managers","women","primary and secondary education 9-10 years (ISCED97 2)",40800,40300,44500,48300,55300
"1-3 public sector","131 Information and communications technology service managers","women","upper secondary education, 2 years or less (ISCED97 3C)",46500,47000,49000,50200,51700
"1-3 public sector","131 Information and communications technology service managers","women","upper secondary education 3 years (ISCED97 3A)",46700,48100,48900,50600,54300
"1-3 public sector","131 Information and communications technology service managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",50400,52300,53900,54300,56900
"1-3 public sector","131 Information and communications technology service managers","women","post-secondary education 3 years or more (ISCED97 5A)",53600,54400,55800,57300,59200
"1-3 public sector","131 Information and communications technology service managers","women","post-graduate education (ISCED97 6)",..,..,..,..,54200
"1-3 public sector","131 Information and communications technology service managers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","post-secondary education 3 years or more (ISCED97 5A)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","post-secondary education 3 years or more (ISCED97 5A)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","133 Research and development managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","133 Research and development managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","133 Research and development managers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","133 Research and development managers","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"1-3 public sector","133 Research and development managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",45400,45900,50400,51400,57000
"1-3 public sector","133 Research and development managers","men","post-secondary education 3 years or more (ISCED97 5A)",56000,57100,57900,58200,60000
"1-3 public sector","133 Research and development managers","men","post-graduate education (ISCED97 6)",57300,56900,56300,56400,57300
"1-3 public sector","133 Research and development managers","men","no information about level of educational attainment",56600,51000,56000,56000,58700
"1-3 public sector","133 Research and development managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","133 Research and development managers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","133 Research and development managers","women","upper secondary education, 2 years or less (ISCED97 3C)",33800,35400,39900,37900,..
"1-3 public sector","133 Research and development managers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,34700
"1-3 public sector","133 Research and development managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",38900,43000,45300,46200,46600
"1-3 public sector","133 Research and development managers","women","post-secondary education 3 years or more (ISCED97 5A)",46700,46900,46800,47400,50600
"1-3 public sector","133 Research and development managers","women","post-graduate education (ISCED97 6)",53200,53100,55000,55500,57100
"1-3 public sector","133 Research and development managers","women","no information about level of educational attainment",..,..,..,62000,57300
"1-3 public sector","134 Architectural and engineering managers","men","primary and secondary education less than 9 years (ISCED97 1)",34300,36400,41200,42000,43400
"1-3 public sector","134 Architectural and engineering managers","men","primary and secondary education 9-10 years (ISCED97 2)",37500,38600,40400,41900,44900
"1-3 public sector","134 Architectural and engineering managers","men","upper secondary education, 2 years or less (ISCED97 3C)",38200,39400,40400,42100,44400
"1-3 public sector","134 Architectural and engineering managers","men","upper secondary education 3 years (ISCED97 3A)",40100,40700,41900,44200,45300
"1-3 public sector","134 Architectural and engineering managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",44600,46100,47000,48200,49600
"1-3 public sector","134 Architectural and engineering managers","men","post-secondary education 3 years or more (ISCED97 5A)",51000,51800,53600,55300,56300
"1-3 public sector","134 Architectural and engineering managers","men","post-graduate education (ISCED97 6)",62900,65200,64500,67800,61000
"1-3 public sector","134 Architectural and engineering managers","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","134 Architectural and engineering managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","134 Architectural and engineering managers","women","primary and secondary education 9-10 years (ISCED97 2)",36300,39200,41400,40900,44700
"1-3 public sector","134 Architectural and engineering managers","women","upper secondary education, 2 years or less (ISCED97 3C)",37900,38400,41600,43400,44900
"1-3 public sector","134 Architectural and engineering managers","women","upper secondary education 3 years (ISCED97 3A)",39700,41100,43300,44800,47400
"1-3 public sector","134 Architectural and engineering managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",45200,46600,46700,49300,50600
"1-3 public sector","134 Architectural and engineering managers","women","post-secondary education 3 years or more (ISCED97 5A)",48100,49400,51700,52900,54800
"1-3 public sector","134 Architectural and engineering managers","women","post-graduate education (ISCED97 6)",52600,57300,56500,60000,62300
"1-3 public sector","134 Architectural and engineering managers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","135 Real estate and head of administration manager","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","135 Real estate and head of administration manager","men","primary and secondary education 9-10 years (ISCED97 2)",42700,..,..,..,50600
