"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","1-3 public sector","214 Engineering professionals","men",44000,45200,47100,48400,49700
"SE11 Stockholm","1-3 public sector","214 Engineering professionals","women",42500,43500,45400,46800,46900
"SE11 Stockholm","1-3 public sector","216 Architects and surveyors","men",39900,40700,42000,42700,45200
"SE11 Stockholm","1-3 public sector","216 Architects and surveyors","women",38400,39400,40600,41600,43600
"SE11 Stockholm","1-3 public sector","217 Designers","men",32500,35400,34500,35200,36500
"SE11 Stockholm","1-3 public sector","217 Designers","women",34300,33900,35800,36100,36600
"SE11 Stockholm","1-3 public sector","218 Specialists within environmental and health protection","men",35800,36600,37300,38400,39900
"SE11 Stockholm","1-3 public sector","218 Specialists within environmental and health protection","women",34600,35000,35400,36900,37900
"SE11 Stockholm","1-3 public sector","221 Medical doctors","men",58200,62000,62300,63900,66000
"SE11 Stockholm","1-3 public sector","221 Medical doctors","women",54700,58200,59000,60200,62400
"SE11 Stockholm","1-3 public sector","222 Nursing professionals","men",33500,34800,35700,37000,38700
"SE11 Stockholm","1-3 public sector","222 Nursing professionals","women",33100,34200,35200,36500,37800
"SE11 Stockholm","1-3 public sector","223 Nursing professionals (cont.)","men",35700,36300,36500,38100,39400
"SE11 Stockholm","1-3 public sector","223 Nursing professionals (cont.)","women",35000,36000,37000,38600,39800
"SE11 Stockholm","1-3 public sector","224 Psychologists and psychotherapists","men",36100,37000,37400,38200,39600
"SE11 Stockholm","1-3 public sector","224 Psychologists and psychotherapists","women",36000,36500,37400,38500,39300
"SE11 Stockholm","1-3 public sector","225 Veterinarians","men",52300,50400,56100,57100,57600
"SE11 Stockholm","1-3 public sector","225 Veterinarians","women",41900,43200,43700,44900,44500
"SE11 Stockholm","1-3 public sector","226 Dentists","men",47800,49900,45300,55700,59600
"SE11 Stockholm","1-3 public sector","226 Dentists","women",42300,45000,44000,46300,51100
"SE11 Stockholm","1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men",27600,27900,28700,29500,30500
"SE11 Stockholm","1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women",28800,29400,30100,31000,31800
"SE11 Stockholm","1-3 public sector","228 Specialists in health care not elsewhere classified","men",34700,34900,34800,35800,36000
"SE11 Stockholm","1-3 public sector","228 Specialists in health care not elsewhere classified","women",31000,31700,32600,33300,34000
"SE11 Stockholm","1-3 public sector","231 University and higher education teachers","men",39800,39500,40600,41100,41900
"SE11 Stockholm","1-3 public sector","231 University and higher education teachers","women",35100,35700,36500,37400,38400
"SE11 Stockholm","1-3 public sector","232 Vocational education teachers","men",33400,34500,36500,37800,39100
"SE11 Stockholm","1-3 public sector","232 Vocational education teachers","women",33800,34900,37100,38000,38900
"SE11 Stockholm","1-3 public sector","233 Secondary education teachers","men",34100,35400,37700,39100,40200
"SE11 Stockholm","1-3 public sector","233 Secondary education teachers","women",34100,35300,37700,39100,40200
"SE11 Stockholm","1-3 public sector","234 Primary- and pre-school teachers ","men",30700,31800,33900,35200,36400
"SE11 Stockholm","1-3 public sector","234 Primary- and pre-school teachers ","women",31100,32200,34400,35700,36800
"SE11 Stockholm","1-3 public sector","235 Teaching professionals not elsewhere classified","men",30700,31900,32700,33500,34600
"SE11 Stockholm","1-3 public sector","235 Teaching professionals not elsewhere classified","women",32700,33600,35200,36400,38000
"SE11 Stockholm","1-3 public sector","241 Accountants, financial analysts and fund managers","men",43500,44400,45400,46100,47200
"SE11 Stockholm","1-3 public sector","241 Accountants, financial analysts and fund managers","women",40200,41400,42200,43100,44300
"SE11 Stockholm","1-3 public sector","242 Organisation analysts, policy administrators and human resource specialists","men",42200,42800,43300,44300,45500
"SE11 Stockholm","1-3 public sector","242 Organisation analysts, policy administrators and human resource specialists","women",38700,39500,40200,41300,42500
"SE11 Stockholm","1-3 public sector","243 Marketing and public relations professionals","men",38800,39800,40100,41300,42500
"SE11 Stockholm","1-3 public sector","243 Marketing and public relations professionals","women",37200,38400,39300,40400,41500
"SE11 Stockholm","1-3 public sector","251 ICT architects, systems analysts and test managers","men",41000,41900,42600,44300,45400
"SE11 Stockholm","1-3 public sector","251 ICT architects, systems analysts and test managers","women",39900,40800,41600,43100,44400
"SE11 Stockholm","1-3 public sector","261 Legal professionals","men",45200,46500,47900,48600,49300
"SE11 Stockholm","1-3 public sector","261 Legal professionals","women",40600,41800,42500,43300,44500
"SE11 Stockholm","1-3 public sector","262 Museum curators and librarians and related professionals","men",33400,33800,34700,35200,35800
"SE11 Stockholm","1-3 public sector","262 Museum curators and librarians and related professionals","women",31700,32200,33000,33800,34500
"SE11 Stockholm","1-3 public sector","264 Authors, journalists and linguists","men",35800,36600,40100,37500,38400
"SE11 Stockholm","1-3 public sector","264 Authors, journalists and linguists","women",34400,35500,37400,38300,38500
"SE11 Stockholm","1-3 public sector","265 Creative and performing artists","men",28800,29100,28200,27700,31200
"SE11 Stockholm","1-3 public sector","265 Creative and performing artists","women",28300,28800,31300,32000,32300
"SE11 Stockholm","1-3 public sector","266 Social work and counselling professionals","men",31100,31900,33000,34000,34900
"SE11 Stockholm","1-3 public sector","266 Social work and counselling professionals","women",31000,32000,33100,34300,35300
"SE11 Stockholm","1-3 public sector","267 Religious professionals and deacons","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","267 Religious professionals and deacons","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","311 Physical and engineering science technicians","men",38800,39800,41500,41300,42200
"SE11 Stockholm","1-3 public sector","311 Physical and engineering science technicians","women",36900,38000,39400,40700,41100
"SE11 Stockholm","1-3 public sector","312 Construction and manufacturing supervisors","men",39600,37000,36300,37600,38500
"SE11 Stockholm","1-3 public sector","312 Construction and manufacturing supervisors","women",..,..,37400,39000,38700
"SE11 Stockholm","1-3 public sector","315 Ship and aircraft controllers and technicians","men",53800,54900,59200,59600,59800
"SE11 Stockholm","1-3 public sector","315 Ship and aircraft controllers and technicians","women",68500,70600,67100,69000,71800
"SE11 Stockholm","1-3 public sector","321 Medical and pharmaceutical technicians","men",30300,31400,31900,32600,33800
"SE11 Stockholm","1-3 public sector","321 Medical and pharmaceutical technicians","women",29000,30200,30700,31300,32500
"SE11 Stockholm","1-3 public sector","323 Complementary medicine therapists and associate professionals","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","323 Complementary medicine therapists and associate professionals","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","324 Veterinary assistants","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","324 Veterinary assistants","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","325 Dental hygienists","men",31600,..,..,..,..
"SE11 Stockholm","1-3 public sector","325 Dental hygienists","women",34400,33700,34500,34300,34600
"SE11 Stockholm","1-3 public sector","331 Financial and accounting associate professionals","men",30600,30400,29800,31100,32800
"SE11 Stockholm","1-3 public sector","331 Financial and accounting associate professionals","women",29700,30400,31000,31900,32800
"SE11 Stockholm","1-3 public sector","332 Insurance advisers, sales and purchasing agents","men",41300,42800,43200,44500,44800
"SE11 Stockholm","1-3 public sector","332 Insurance advisers, sales and purchasing agents","women",37200,37900,39200,40500,41000
"SE11 Stockholm","1-3 public sector","333 Business services agents","men",30400,31100,31600,32500,33800
"SE11 Stockholm","1-3 public sector","333 Business services agents","women",29300,30000,30700,31700,32200
"SE11 Stockholm","1-3 public sector","334 Administrative and specialized secretaries","men",35500,35100,36800,37100,34600
"SE11 Stockholm","1-3 public sector","334 Administrative and specialized secretaries","women",29500,30400,31400,32300,33500
"SE11 Stockholm","1-3 public sector","335 Tax and related government associate professionals","men",32900,34100,34100,35200,35700
"SE11 Stockholm","1-3 public sector","335 Tax and related government associate professionals","women",29900,30900,31200,31900,32800
"SE11 Stockholm","1-3 public sector","336 Police officers ","men",33400,33400,34200,35600,37900
"SE11 Stockholm","1-3 public sector","336 Police officers ","women",31700,31900,32800,33900,36100
"SE11 Stockholm","1-3 public sector","341 Social work and religious associate professionals","men",28600,28400,29600,30500,31100
"SE11 Stockholm","1-3 public sector","341 Social work and religious associate professionals","women",28100,28000,29200,30100,30800
"SE11 Stockholm","1-3 public sector","342 Athletes, fitness instructors and recreational workers","men",24700,25300,26000,26700,27500
"SE11 Stockholm","1-3 public sector","342 Athletes, fitness instructors and recreational workers","women",25100,25700,26200,27000,27600
"SE11 Stockholm","1-3 public sector","343 Photographers, interior decorators and entertainers","men",29700,31400,32500,34300,34000
"SE11 Stockholm","1-3 public sector","343 Photographers, interior decorators and entertainers","women",29700,30000,30500,31900,33100
"SE11 Stockholm","1-3 public sector","344 Driving instructors and other instructors","men",27600,29300,28700,..,..
"SE11 Stockholm","1-3 public sector","344 Driving instructors and other instructors","women",28400,26300,26500,32200,33100
"SE11 Stockholm","1-3 public sector","345 Culinary associate professionals","men",30700,31700,35100,34100,34800
"SE11 Stockholm","1-3 public sector","345 Culinary associate professionals","women",33700,34900,35600,36400,36700
"SE11 Stockholm","1-3 public sector","351 ICT operations and user support technicians","men",31200,31700,35200,36300,37600
"SE11 Stockholm","1-3 public sector","351 ICT operations and user support technicians","women",32400,32500,35500,36500,37700
"SE11 Stockholm","1-3 public sector","352 Broadcasting and audio-visual technicians","men",29800,29100,30500,31700,32900
"SE11 Stockholm","1-3 public sector","352 Broadcasting and audio-visual technicians","women",27900,29100,28200,30000,30300
"SE11 Stockholm","1-3 public sector","411 Office assistants and other secretaries","men",28600,28800,29700,30900,30900
"SE11 Stockholm","1-3 public sector","411 Office assistants and other secretaries","women",27800,28400,29300,30100,30500
"SE11 Stockholm","1-3 public sector","421 Croupiers, debt collectors and related workers","men",26800,27400,27200,28600,28900
"SE11 Stockholm","1-3 public sector","421 Croupiers, debt collectors and related workers","women",26700,27000,28300,29000,29200
"SE11 Stockholm","1-3 public sector","422 Client information clerks","men",25600,26000,26800,27400,28200
"SE11 Stockholm","1-3 public sector","422 Client information clerks","women",24500,25100,26100,27200,27900
"SE11 Stockholm","1-3 public sector","432 Stores and transport clerks","men",30200,31800,30800,31300,32100
"SE11 Stockholm","1-3 public sector","432 Stores and transport clerks","women",32700,34200,30900,30900,31800
"SE11 Stockholm","1-3 public sector","441 Library and filing clerks","men",24300,24900,25300,26100,26200
"SE11 Stockholm","1-3 public sector","441 Library and filing clerks","women",24600,25400,26000,26600,27200
"SE11 Stockholm","1-3 public sector","442 Postmen and postal facility workers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","442 Postmen and postal facility workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","443 Elected representatives","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","443 Elected representatives","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","511 Cabin crew, guides and related workers","men",27400,29200,28000,27000,27300
"SE11 Stockholm","1-3 public sector","511 Cabin crew, guides and related workers","women",29000,28700,26800,26600,25700
"SE11 Stockholm","1-3 public sector","512 Cooks and cold-buffet managers","men",26000,26900,27400,28300,28900
"SE11 Stockholm","1-3 public sector","512 Cooks and cold-buffet managers","women",24900,25700,26200,26800,27400
"SE11 Stockholm","1-3 public sector","513 Waiters and bartenders","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","513 Waiters and bartenders","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","514 Hairdressers, beauty and body therapists","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","514 Hairdressers, beauty and body therapists","women",26500,26700,27500,..,..
"SE11 Stockholm","1-3 public sector","515 Building caretakers and related workers","men",25400,25900,26700,27500,27900
"SE11 Stockholm","1-3 public sector","515 Building caretakers and related workers","women",24100,24700,26000,26700,26900
"SE11 Stockholm","1-3 public sector","516 Other service related workers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","516 Other service related workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","522 Shop staff","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","522 Shop staff","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","523 Cashiers and related clerks","men",25100,25300,..,..,26300
"SE11 Stockholm","1-3 public sector","523 Cashiers and related clerks","women",23400,24400,23900,25400,26200
"SE11 Stockholm","1-3 public sector","524 Event seller and telemarketers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","524 Event seller and telemarketers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","531 Child care workers and teachers aides","men",21400,22300,23000,23700,24100
"SE11 Stockholm","1-3 public sector","531 Child care workers and teachers aides","women",22200,22900,23500,24100,24600
"SE11 Stockholm","1-3 public sector","532 Personal care workers in health services","men",26200,26900,27900,28400,28800
"SE11 Stockholm","1-3 public sector","532 Personal care workers in health services","women",26000,26600,27600,28100,28600
"SE11 Stockholm","1-3 public sector","533 Health care assistants","men",24200,24700,25400,25800,26100
"SE11 Stockholm","1-3 public sector","533 Health care assistants","women",24000,24500,25200,25500,25700
"SE11 Stockholm","1-3 public sector","534 Attendants, personal assistants and related workers","men",25900,26500,27300,27800,28400
"SE11 Stockholm","1-3 public sector","534 Attendants, personal assistants and related workers","women",25600,26400,27100,27700,28300
"SE11 Stockholm","1-3 public sector","535 Dental nurses","men",24500,25400,29000,..,..
"SE11 Stockholm","1-3 public sector","535 Dental nurses","women",26400,27300,27300,28300,29300
"SE11 Stockholm","1-3 public sector","541 Other surveillance and security workers","men",28000,28400,29000,29600,30500
"SE11 Stockholm","1-3 public sector","541 Other surveillance and security workers","women",25000,25600,25900,26600,27600
"SE11 Stockholm","1-3 public sector","611 Market gardeners and crop growers","men",24800,25800,26700,26800,27600
"SE11 Stockholm","1-3 public sector","611 Market gardeners and crop growers","women",23400,23700,25600,25100,25600
"SE11 Stockholm","1-3 public sector","612 Animal breeders and keepers","men",24200,24700,23900,25600,25300
"SE11 Stockholm","1-3 public sector","612 Animal breeders and keepers","women",23900,24400,24600,25400,26200
"SE11 Stockholm","1-3 public sector","613 Mixed crop and animal breeders","men",27300,27400,28500,30100,30700
"SE11 Stockholm","1-3 public sector","613 Mixed crop and animal breeders","women",20900,23800,23700,25000,26700
"SE11 Stockholm","1-3 public sector","621 Forestry and related workers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","621 Forestry and related workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","622 Aquaculture and fishery workers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","622 Aquaculture and fishery workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","711 Carpenters, bricklayers and construction workers","men",27700,28500,29000,29700,30300
"SE11 Stockholm","1-3 public sector","711 Carpenters, bricklayers and construction workers","women",24800,26500,25500,26600,28300
"SE11 Stockholm","1-3 public sector","712 Roofers, floor layers, plumbers and pipefitters","men",32200,32700,..,..,..
"SE11 Stockholm","1-3 public sector","712 Roofers, floor layers, plumbers and pipefitters","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","713 Painters, Lacquerers, Chimney-sweepers and related trades workers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","713 Painters, Lacquerers, Chimney-sweepers and related trades workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","721 Sheet and structural metal workers, moulders and welders, and related workers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","721 Sheet and structural metal workers, moulders and welders, and related workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","722 Blacksmiths, toolmakers and related trades workers","men",28900,29200,30800,31600,32800
"SE11 Stockholm","1-3 public sector","722 Blacksmiths, toolmakers and related trades workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","723 Machinery mechanics and fitters","men",27300,27900,29500,30400,30600
"SE11 Stockholm","1-3 public sector","723 Machinery mechanics and fitters","women",30400,30300,..,27000,..
"SE11 Stockholm","1-3 public sector","731 Precision-instrument makers and handicraft workers","men",28400,28700,30200,30000,32100
"SE11 Stockholm","1-3 public sector","731 Precision-instrument makers and handicraft workers","women",26000,..,27000,..,28900
"SE11 Stockholm","1-3 public sector","732 Printing trades workers","men",28500,29600,31000,30600,30700
"SE11 Stockholm","1-3 public sector","732 Printing trades workers","women",29700,30700,32100,32300,32400
"SE11 Stockholm","1-3 public sector","741 Electrical equipment installers and repairers","men",32600,32700,32600,35400,36100
"SE11 Stockholm","1-3 public sector","741 Electrical equipment installers and repairers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","742 Electronics and telecommunications installers and repairers","men",27900,28000,28300,30700,31400
"SE11 Stockholm","1-3 public sector","742 Electronics and telecommunications installers and repairers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","752 Wood treaters, cabinet-makers and related trades workers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","752 Wood treaters, cabinet-makers and related trades workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","753 Tailors, upholsterers and leather craftsmen","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","753 Tailors, upholsterers and leather craftsmen","women",..,..,25500,26300,..
"SE11 Stockholm","1-3 public sector","761 Butchers, bakers and food processors","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","761 Butchers, bakers and food processors","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","811 Mining and mineral processing plant operators","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","811 Mining and mineral processing plant operators","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","812 Metal processing and finishing plant operators","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","812 Metal processing and finishing plant operators","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","813 Machine operators, chemical and pharmaceutical products","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","813 Machine operators, chemical and pharmaceutical products","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","814 Machine operators, rubber, plastic and paper products","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","814 Machine operators, rubber, plastic and paper products","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","815 Machine operators, textile, fur and leather products","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","815 Machine operators, textile, fur and leather products","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","816 Machine operators, food and related products","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","816 Machine operators, food and related products","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","817 Wood processing and papermaking plant operators","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","817 Wood processing and papermaking plant operators","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","818 Other stationary plant and machine operators","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","818 Other stationary plant and machine operators","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","819 Process control technicians","men",31700,32300,32600,33800,33300
"SE11 Stockholm","1-3 public sector","819 Process control technicians","women",30800,32100,32500,33700,31900
"SE11 Stockholm","1-3 public sector","821 Assemblers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","821 Assemblers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","831 Train operators and related workers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","831 Train operators and related workers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","832 Car, van and motorcycle drivers","men",24900,25400,25800,26400,26900
"SE11 Stockholm","1-3 public sector","832 Car, van and motorcycle drivers","women",25200,24900,26600,26200,26400
"SE11 Stockholm","1-3 public sector","833 Heavy truck and bus drivers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","833 Heavy truck and bus drivers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","834 Mobile plant operators","men",23700,25800,26000,26900,26400
"SE11 Stockholm","1-3 public sector","834 Mobile plant operators","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","835 Ships deck crews and related workers","men",30900,31500,34000,34200,34400
"SE11 Stockholm","1-3 public sector","835 Ships deck crews and related workers","women",27900,28500,31200,31000,33700
"SE11 Stockholm","1-3 public sector","911 Cleaners and helpers","men",21300,21700,22200,22700,23300
"SE11 Stockholm","1-3 public sector","911 Cleaners and helpers","women",21300,22000,22500,23000,23400
"SE11 Stockholm","1-3 public sector","912 Washers, window cleaners and other cleaning workers","men",21100,21600,21700,..,..
"SE11 Stockholm","1-3 public sector","912 Washers, window cleaners and other cleaning workers","women",..,24300,23900,..,23100
"SE11 Stockholm","1-3 public sector","921 Berry pickers and planters","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","921 Berry pickers and planters","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","931 Construction labourers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","931 Construction labourers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","932 Manufacturing labourers","men",24300,24500,26500,27400,28100
"SE11 Stockholm","1-3 public sector","932 Manufacturing labourers","women",25000,25800,27700,28600,28800
