"sector","occuptional  (SSYK 2012)","sex","age","2014","2015","2016","2017","2018"
"1-3 public sector","021 Non-commissioned armed forces officers","women","65-66 years",..,..,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","18-24 years",21000,20900,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","25-34 years",22400,22900,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","35-44 years",23800,24600,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","45-54 years",26000,27600,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","55-64 years",32800,38900,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","65-66 years",..,..,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","18-24 years",20600,20700,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","25-34 years",22200,21700,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","35-44 years",29800,26700,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","45-54 years",41100,46000,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","55-64 years",42400,40400,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","65-66 years",..,..,..,..,..
"1-3 public sector","111 Legislators and senior officials","men","18-24 years",..,..,..,..,..
"1-3 public sector","111 Legislators and senior officials","men","25-34 years",47000,57900,55000,58000,..
"1-3 public sector","111 Legislators and senior officials","men","35-44 years",64800,63900,67000,69700,79200
"1-3 public sector","111 Legislators and senior officials","men","45-54 years",73200,71100,74700,77200,87000
"1-3 public sector","111 Legislators and senior officials","men","55-64 years",74200,74700,77200,79000,91400
"1-3 public sector","111 Legislators and senior officials","men","65-66 years",82500,73200,76900,82500,89900
"1-3 public sector","111 Legislators and senior officials","women","18-24 years",..,..,..,..,..
"1-3 public sector","111 Legislators and senior officials","women","25-34 years",57100,45800,52300,54600,..
"1-3 public sector","111 Legislators and senior officials","women","35-44 years",61900,63200,66700,70300,75200
"1-3 public sector","111 Legislators and senior officials","women","45-54 years",71000,71400,73200,74900,84700
"1-3 public sector","111 Legislators and senior officials","women","55-64 years",73700,72900,76500,79400,94300
"1-3 public sector","111 Legislators and senior officials","women","65-66 years",78500,73300,82700,88100,82700
"1-3 public sector","112 Managing directors and chief executives","men","18-24 years",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","25-34 years",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","35-44 years",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","men","45-54 years",..,..,87900,87900,..
"1-3 public sector","112 Managing directors and chief executives","men","55-64 years",..,103200,100300,101600,..
"1-3 public sector","112 Managing directors and chief executives","men","65-66 years",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","18-24 years",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","25-34 years",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","35-44 years",..,..,..,..,..
"1-3 public sector","112 Managing directors and chief executives","women","45-54 years",..,91900,92000,79600,79800
"1-3 public sector","112 Managing directors and chief executives","women","55-64 years",..,98600,98000,108300,..
"1-3 public sector","112 Managing directors and chief executives","women","65-66 years",..,..,..,..,..
"1-3 public sector","121 Finance managers","men","18-24 years",..,24900,..,..,..
"1-3 public sector","121 Finance managers","men","25-34 years",46300,43400,44700,47300,50000
"1-3 public sector","121 Finance managers","men","35-44 years",53700,54200,55200,57000,58400
"1-3 public sector","121 Finance managers","men","45-54 years",57700,59800,61600,63100,65400
"1-3 public sector","121 Finance managers","men","55-64 years",57700,59400,60400,63000,65500
"1-3 public sector","121 Finance managers","men","65-66 years",52300,58700,75200,72500,59700
"1-3 public sector","121 Finance managers","women","18-24 years",..,46700,..,..,..
"1-3 public sector","121 Finance managers","women","25-34 years",38700,39500,45000,47900,46800
"1-3 public sector","121 Finance managers","women","35-44 years",49000,50100,52600,54000,54600
"1-3 public sector","121 Finance managers","women","45-54 years",54400,55900,57200,58400,60000
"1-3 public sector","121 Finance managers","women","55-64 years",53300,55500,57000,59500,61100
"1-3 public sector","121 Finance managers","women","65-66 years",47900,53100,55100,59400,56900
"1-3 public sector","122 Human resource managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","122 Human resource managers","men","25-34 years",40200,40000,41600,40900,44200
"1-3 public sector","122 Human resource managers","men","35-44 years",49600,51300,52400,53800,55500
"1-3 public sector","122 Human resource managers","men","45-54 years",56000,57400,57400,58900,62900
"1-3 public sector","122 Human resource managers","men","55-64 years",55700,56600,58200,60300,61100
"1-3 public sector","122 Human resource managers","men","65-66 years",54200,61600,60100,63100,66400
"1-3 public sector","122 Human resource managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","122 Human resource managers","women","25-34 years",39500,42700,44600,43000,45800
"1-3 public sector","122 Human resource managers","women","35-44 years",49400,50800,52100,53500,54200
"1-3 public sector","122 Human resource managers","women","45-54 years",53100,55800,56700,57600,58300
"1-3 public sector","122 Human resource managers","women","55-64 years",55900,56200,57600,59900,60700
"1-3 public sector","122 Human resource managers","women","65-66 years",57500,55900,60900,58300,61500
"1-3 public sector","123 Administration and planning managers","men","18-24 years",25300,25000,..,28900,..
"1-3 public sector","123 Administration and planning managers","men","25-34 years",30900,30500,38400,38000,39000
"1-3 public sector","123 Administration and planning managers","men","35-44 years",45600,46800,54600,55500,58000
"1-3 public sector","123 Administration and planning managers","men","45-54 years",55600,57000,61500,61500,66500
"1-3 public sector","123 Administration and planning managers","men","55-64 years",58700,60800,62600,64000,69900
"1-3 public sector","123 Administration and planning managers","men","65-66 years",64400,70200,67700,67700,73000
"1-3 public sector","123 Administration and planning managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","123 Administration and planning managers","women","25-34 years",35800,37000,42400,42000,44200
"1-3 public sector","123 Administration and planning managers","women","35-44 years",48400,50900,51300,51600,55100
"1-3 public sector","123 Administration and planning managers","women","45-54 years",55100,57400,57200,58900,63100
"1-3 public sector","123 Administration and planning managers","women","55-64 years",55700,58500,58300,59800,67100
"1-3 public sector","123 Administration and planning managers","women","65-66 years",53400,57000,59600,59800,62900
"1-3 public sector","124 Information, communication and public relations managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","124 Information, communication and public relations managers","men","25-34 years",..,37700,44100,39900,45100
"1-3 public sector","124 Information, communication and public relations managers","men","35-44 years",50000,50700,50800,52000,54700
"1-3 public sector","124 Information, communication and public relations managers","men","45-54 years",57200,57800,59500,60300,60900
"1-3 public sector","124 Information, communication and public relations managers","men","55-64 years",54800,55400,56400,59000,64700
"1-3 public sector","124 Information, communication and public relations managers","men","65-66 years",..,..,..,..,..
"1-3 public sector","124 Information, communication and public relations managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","124 Information, communication and public relations managers","women","25-34 years",38700,39700,41700,42700,38500
"1-3 public sector","124 Information, communication and public relations managers","women","35-44 years",49200,49900,50600,51900,53000
"1-3 public sector","124 Information, communication and public relations managers","women","45-54 years",53400,55300,56600,57700,58400
"1-3 public sector","124 Information, communication and public relations managers","women","55-64 years",54300,56200,58100,60700,61300
"1-3 public sector","124 Information, communication and public relations managers","women","65-66 years",..,..,57400,53100,49000
"1-3 public sector","125 Sales and marketing managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","men","25-34 years",..,..,..,..,42400
"1-3 public sector","125 Sales and marketing managers","men","35-44 years",54200,51900,55400,55800,59900
"1-3 public sector","125 Sales and marketing managers","men","45-54 years",55200,59000,60900,63500,69200
"1-3 public sector","125 Sales and marketing managers","men","55-64 years",61300,61400,62600,60300,60400
"1-3 public sector","125 Sales and marketing managers","men","65-66 years",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","125 Sales and marketing managers","women","25-34 years",..,44600,50900,52400,55900
"1-3 public sector","125 Sales and marketing managers","women","35-44 years",53300,53300,54100,54200,56600
"1-3 public sector","125 Sales and marketing managers","women","45-54 years",55600,57900,57800,60800,60500
"1-3 public sector","125 Sales and marketing managers","women","55-64 years",55800,56800,60000,56600,58000
"1-3 public sector","125 Sales and marketing managers","women","65-66 years",..,..,..,..,..
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","18-24 years",..,..,..,..,..
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","25-34 years",34900,36000,35400,35800,41400
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","35-44 years",37500,37600,40100,40700,49200
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","45-54 years",41800,42800,43500,42800,55900
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","55-64 years",38900,41300,43400,45500,54600
"1-3 public sector","129 Administration and service managers not elsewhere classified","men","65-66 years",36600,36600,34900,43900,61900
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","18-24 years",..,..,..,..,29000
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","25-34 years",34200,31700,35300,35300,38400
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","35-44 years",35000,35500,37600,39200,46700
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","45-54 years",35600,36800,39200,39100,49800
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","55-64 years",36000,37300,40200,40500,50800
"1-3 public sector","129 Administration and service managers not elsewhere classified","women","65-66 years",33600,..,43300,41100,56700
"1-3 public sector","131 Information and communications technology service managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","131 Information and communications technology service managers","men","25-34 years",43300,45000,45400,46800,48300
"1-3 public sector","131 Information and communications technology service managers","men","35-44 years",50500,51100,52900,54200,54100
"1-3 public sector","131 Information and communications technology service managers","men","45-54 years",52800,53500,55400,57400,59400
"1-3 public sector","131 Information and communications technology service managers","men","55-64 years",51500,52100,57000,57600,59200
"1-3 public sector","131 Information and communications technology service managers","men","65-66 years",51200,53500,49200,59600,92000
"1-3 public sector","131 Information and communications technology service managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","131 Information and communications technology service managers","women","25-34 years",..,..,42900,43100,47200
"1-3 public sector","131 Information and communications technology service managers","women","35-44 years",49000,51200,51800,53300,55600
"1-3 public sector","131 Information and communications technology service managers","women","45-54 years",51700,52700,55100,56200,58200
"1-3 public sector","131 Information and communications technology service managers","women","55-64 years",53500,53200,54400,55300,58400
"1-3 public sector","131 Information and communications technology service managers","women","65-66 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","25-34 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","35-44 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","45-54 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","55-64 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","men","65-66 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","25-34 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","35-44 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","45-54 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","55-64 years",..,..,..,..,..
"1-3 public sector","132 Supply, logistics and transport managers","women","65-66 years",..,..,..,..,..
"1-3 public sector","133 Research and development managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","133 Research and development managers","men","25-34 years",..,..,..,..,..
"1-3 public sector","133 Research and development managers","men","35-44 years",51200,50900,51700,50700,52300
"1-3 public sector","133 Research and development managers","men","45-54 years",57400,56800,56900,57100,57900
"1-3 public sector","133 Research and development managers","men","55-64 years",57500,59700,59600,61300,63500
"1-3 public sector","133 Research and development managers","men","65-66 years",69100,69800,..,64300,58600
"1-3 public sector","133 Research and development managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","133 Research and development managers","women","25-34 years",35300,36200,35300,34900,38400
"1-3 public sector","133 Research and development managers","women","35-44 years",44600,43900,46200,49100,51800
"1-3 public sector","133 Research and development managers","women","45-54 years",52600,53400,52400,52800,55400
"1-3 public sector","133 Research and development managers","women","55-64 years",55300,59700,60100,60500,65100
"1-3 public sector","133 Research and development managers","women","65-66 years",56300,..,..,..,46300
"1-3 public sector","134 Architectural and engineering managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","134 Architectural and engineering managers","men","25-34 years",38200,39900,40300,42700,43900
"1-3 public sector","134 Architectural and engineering managers","men","35-44 years",43400,44800,45800,47400,49200
"1-3 public sector","134 Architectural and engineering managers","men","45-54 years",44800,45900,46900,49000,51000
"1-3 public sector","134 Architectural and engineering managers","men","55-64 years",44800,45700,47500,49500,50700
"1-3 public sector","134 Architectural and engineering managers","men","65-66 years",44100,50300,47900,47400,48700
"1-3 public sector","134 Architectural and engineering managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","134 Architectural and engineering managers","women","25-34 years",38100,39900,41600,44900,47000
"1-3 public sector","134 Architectural and engineering managers","women","35-44 years",45700,46400,48200,49000,51800
"1-3 public sector","134 Architectural and engineering managers","women","45-54 years",46600,48900,50700,52500,54700
"1-3 public sector","134 Architectural and engineering managers","women","55-64 years",47400,47900,50200,51700,53700
"1-3 public sector","134 Architectural and engineering managers","women","65-66 years",..,51000,..,..,54100
"1-3 public sector","135 Real estate and head of administration manager","men","18-24 years",..,..,..,..,..
"1-3 public sector","135 Real estate and head of administration manager","men","25-34 years",..,..,..,..,..
"1-3 public sector","135 Real estate and head of administration manager","men","35-44 years",43900,45000,50400,51000,51400
"1-3 public sector","135 Real estate and head of administration manager","men","45-54 years",46800,49400,52600,52400,54200
"1-3 public sector","135 Real estate and head of administration manager","men","55-64 years",49600,52300,56800,55500,59100
"1-3 public sector","135 Real estate and head of administration manager","men","65-66 years",54300,..,..,..,..
"1-3 public sector","135 Real estate and head of administration manager","women","18-24 years",..,..,..,..,..
"1-3 public sector","135 Real estate and head of administration manager","women","25-34 years",..,..,..,..,..
"1-3 public sector","135 Real estate and head of administration manager","women","35-44 years",51600,53200,53200,52900,54400
"1-3 public sector","135 Real estate and head of administration manager","women","45-54 years",56200,57000,61800,59700,62700
"1-3 public sector","135 Real estate and head of administration manager","women","55-64 years",60500,58200,56900,60800,68300
"1-3 public sector","135 Real estate and head of administration manager","women","65-66 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","men","18-24 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","men","25-34 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","men","35-44 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","men","45-54 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","men","55-64 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","men","65-66 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","women","18-24 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","women","25-34 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","women","35-44 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","women","45-54 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","women","55-64 years",..,..,..,..,..
"1-3 public sector","136 Production managers in construction and mining","women","65-66 years",..,..,..,..,..
"1-3 public sector","137 Production managers in manufacturing","men","18-24 years",..,..,..,..,..
"1-3 public sector","137 Production managers in manufacturing","men","25-34 years",28900,30200,33800,35800,43700
"1-3 public sector","137 Production managers in manufacturing","men","35-44 years",46500,49000,50200,52000,53700
"1-3 public sector","137 Production managers in manufacturing","men","45-54 years",43800,46600,51700,53700,55100
"1-3 public sector","137 Production managers in manufacturing","men","55-64 years",49600,51300,55700,55600,57000
"1-3 public sector","137 Production managers in manufacturing","men","65-66 years",..,..,..,..,..
"1-3 public sector","137 Production managers in manufacturing","women","18-24 years",..,..,..,..,..
"1-3 public sector","137 Production managers in manufacturing","women","25-34 years",..,..,..,..,45300
"1-3 public sector","137 Production managers in manufacturing","women","35-44 years",52800,57200,49300,51900,56700
"1-3 public sector","137 Production managers in manufacturing","women","45-54 years",49200,48400,53500,56100,57900
"1-3 public sector","137 Production managers in manufacturing","women","55-64 years",..,..,..,74200,67200
"1-3 public sector","137 Production managers in manufacturing","women","65-66 years",..,..,..,..,..
"1-3 public sector","138 Forestry and agricultural production managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","138 Forestry and agricultural production managers","men","25-34 years",..,..,..,..,..
"1-3 public sector","138 Forestry and agricultural production managers","men","35-44 years",..,..,..,..,..
"1-3 public sector","138 Forestry and agricultural production managers","men","45-54 years",..,..,..,..,..
"1-3 public sector","138 Forestry and agricultural production managers","men","55-64 years",..,..,59500,60800,66000
"1-3 public sector","138 Forestry and agricultural production managers","men","65-66 years",..,..,..,..,..
"1-3 public sector","138 Forestry and agricultural production managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","138 Forestry and agricultural production managers","women","25-34 years",..,..,29900,..,..
"1-3 public sector","138 Forestry and agricultural production managers","women","35-44 years",36300,36400,43900,41500,46100
"1-3 public sector","138 Forestry and agricultural production managers","women","45-54 years",..,..,31900,..,39400
"1-3 public sector","138 Forestry and agricultural production managers","women","55-64 years",..,..,..,..,..
"1-3 public sector","138 Forestry and agricultural production managers","women","65-66 years",..,..,..,..,..
"1-3 public sector","141 Primary and secondary schools and adult education managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","141 Primary and secondary schools and adult education managers","men","25-34 years",39900,40900,42000,44500,44800
"1-3 public sector","141 Primary and secondary schools and adult education managers","men","35-44 years",43300,44600,46000,48000,49600
"1-3 public sector","141 Primary and secondary schools and adult education managers","men","45-54 years",45300,47000,48000,50200,52200
"1-3 public sector","141 Primary and secondary schools and adult education managers","men","55-64 years",47000,48700,50100,52100,54100
"1-3 public sector","141 Primary and secondary schools and adult education managers","men","65-66 years",47400,47800,49600,52300,54100
"1-3 public sector","141 Primary and secondary schools and adult education managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","141 Primary and secondary schools and adult education managers","women","25-34 years",39600,40200,41600,42900,45000
"1-3 public sector","141 Primary and secondary schools and adult education managers","women","35-44 years",41400,43000,44700,46700,48300
"1-3 public sector","141 Primary and secondary schools and adult education managers","women","45-54 years",43800,45100,46800,48700,50500
"1-3 public sector","141 Primary and secondary schools and adult education managers","women","55-64 years",45900,47300,48900,50800,52400
"1-3 public sector","141 Primary and secondary schools and adult education managers","women","65-66 years",47100,48800,49900,52400,52700
"1-3 public sector","142 Preschool managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","142 Preschool managers","men","25-34 years",36600,37900,38800,39000,38900
"1-3 public sector","142 Preschool managers","men","35-44 years",39400,40900,42500,44600,46200
"1-3 public sector","142 Preschool managers","men","45-54 years",42400,43600,46100,46500,48400
"1-3 public sector","142 Preschool managers","men","55-64 years",42400,44100,46000,48100,49900
"1-3 public sector","142 Preschool managers","men","65-66 years",45300,43100,40700,43700,46800
"1-3 public sector","142 Preschool managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","142 Preschool managers","women","25-34 years",36500,37800,38500,40600,41200
"1-3 public sector","142 Preschool managers","women","35-44 years",38700,39800,41100,42500,44000
"1-3 public sector","142 Preschool managers","women","45-54 years",40500,41700,43100,44500,45800
"1-3 public sector","142 Preschool managers","women","55-64 years",42800,44300,45700,47400,48800
"1-3 public sector","142 Preschool managers","women","65-66 years",43600,46200,47100,49000,52600
"1-3 public sector","149 Education managers not elsewhere classified","men","18-24 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","men","25-34 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","men","35-44 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","men","45-54 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","men","55-64 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","men","65-66 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","women","18-24 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","women","25-34 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","women","35-44 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","women","45-54 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","women","55-64 years",..,..,..,..,..
"1-3 public sector","149 Education managers not elsewhere classified","women","65-66 years",..,..,..,..,..
"1-3 public sector","151 Health care managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","151 Health care managers","men","25-34 years",42100,42500,42500,42900,44300
"1-3 public sector","151 Health care managers","men","35-44 years",50300,52400,55100,55300,56000
"1-3 public sector","151 Health care managers","men","45-54 years",62200,63600,64700,66200,67000
"1-3 public sector","151 Health care managers","men","55-64 years",66600,67100,68000,70800,74300
"1-3 public sector","151 Health care managers","men","65-66 years",74100,77500,78900,86400,82500
"1-3 public sector","151 Health care managers","women","18-24 years",..,..,..,..,..
"1-3 public sector","151 Health care managers","women","25-34 years",36900,38400,39500,40800,42000
"1-3 public sector","151 Health care managers","women","35-44 years",42000,43300,45100,46500,47500
"1-3 public sector","151 Health care managers","women","45-54 years",45900,47300,48600,50600,51900
"1-3 public sector","151 Health care managers","women","55-64 years",48600,49300,51400,53200,54600
"1-3 public sector","151 Health care managers","women","65-66 years",51300,55200,53300,56600,57300
"1-3 public sector","152 Managers in social and curative care","men","18-24 years",..,..,..,..,..
"1-3 public sector","152 Managers in social and curative care","men","25-34 years",36800,38000,39300,39300,41600
"1-3 public sector","152 Managers in social and curative care","men","35-44 years",40300,41300,41900,44400,46600
"1-3 public sector","152 Managers in social and curative care","men","45-54 years",42000,44100,45300,46400,48500
"1-3 public sector","152 Managers in social and curative care","men","55-64 years",44200,45200,46500,47800,49700
"1-3 public sector","152 Managers in social and curative care","men","65-66 years",44500,47500,48400,49500,53000
"1-3 public sector","152 Managers in social and curative care","women","18-24 years",..,..,..,..,..
"1-3 public sector","152 Managers in social and curative care","women","25-34 years",35900,37000,38700,41000,42400
"1-3 public sector","152 Managers in social and curative care","women","35-44 years",40000,41600,42500,44500,46300
"1-3 public sector","152 Managers in social and curative care","women","45-54 years",42200,43200,44700,46400,48600
"1-3 public sector","152 Managers in social and curative care","women","55-64 years",44900,45800,47200,49100,51000
"1-3 public sector","152 Managers in social and curative care","women","65-66 years",45500,49600,49000,47800,50500
"1-3 public sector","153 Elderly care managers","men","18-24 years",33400,31200,30300,32500,34000
"1-3 public sector","153 Elderly care managers","men","25-34 years",33900,34800,36500,38200,39900
"1-3 public sector","153 Elderly care managers","men","35-44 years",37000,38800,40000,41100,42300
"1-3 public sector","153 Elderly care managers","men","45-54 years",39800,41300,42100,43000,44400
"1-3 public sector","153 Elderly care managers","men","55-64 years",40500,41600,43300,45100,46100
"1-3 public sector","153 Elderly care managers","men","65-66 years",38000,43400,42900,45800,47800
"1-3 public sector","153 Elderly care managers","women","18-24 years",29500,30700,32500,34300,34400
"1-3 public sector","153 Elderly care managers","women","25-34 years",33200,34700,36200,37600,38900
"1-3 public sector","153 Elderly care managers","women","35-44 years",36600,38100,39400,40900,42400
"1-3 public sector","153 Elderly care managers","women","45-54 years",38500,39900,41200,42700,44100
"1-3 public sector","153 Elderly care managers","women","55-64 years",39900,41300,42700,44200,45600
"1-3 public sector","153 Elderly care managers","women","65-66 years",40500,41700,43200,46000,46600
"1-3 public sector","154 Managers and leaders within religious bodies","men","18-24 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","men","25-34 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","men","35-44 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","men","45-54 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","men","55-64 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","men","65-66 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","women","18-24 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","women","25-34 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","women","35-44 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","women","45-54 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","women","55-64 years",..,..,..,..,..
"1-3 public sector","154 Managers and leaders within religious bodies","women","65-66 years",..,..,..,..,..
"1-3 public sector","159 Other social services managers","men","18-24 years",..,28100,..,28700,23400
"1-3 public sector","159 Other social services managers","men","25-34 years",37600,38300,38800,40100,40800
"1-3 public sector","159 Other social services managers","men","35-44 years",42600,43600,43500,44600,45800
"1-3 public sector","159 Other social services managers","men","45-54 years",47400,48900,48900,50500,52300
"1-3 public sector","159 Other social services managers","men","55-64 years",48200,49700,51200,53300,54900
"1-3 public sector","159 Other social services managers","men","65-66 years",53700,56500,58700,57900,60300
"1-3 public sector","159 Other social services managers","women","18-24 years",27000,26800,..,29500,29200
"1-3 public sector","159 Other social services managers","women","25-34 years",36300,37200,38200,39100,39400
"1-3 public sector","159 Other social services managers","women","35-44 years",42000,43300,43800,44700,45900
"1-3 public sector","159 Other social services managers","women","45-54 years",45200,46400,47400,48700,50400
"1-3 public sector","159 Other social services managers","women","55-64 years",45800,47300,48300,49900,51400
"1-3 public sector","159 Other social services managers","women","65-66 years",45300,50900,50300,53400,55700
"1-3 public sector","161 Financial and insurance managers","men","18-24 years",..,..,..,..,..
"1-3 public sector","161 Financial and insurance managers","men","25-34 years",..,..,..,..,..
