"sector","occuptional  (SSYK 2012)","sex","age","2014","2015","2016","2017","2018"
"0 all sectors","131 Information and communications technology service managers","women","25-34 years",35300,38000,..,..,..
"0 all sectors","131 Information and communications technology service managers","women","35-44 years",53700,52300,58100,61500,64100
"0 all sectors","131 Information and communications technology service managers","women","45-54 years",55500,57400,62300,65400,66500
"0 all sectors","131 Information and communications technology service managers","women","55-64 years",48500,51400,57600,61500,68300
"0 all sectors","131 Information and communications technology service managers","women","65-66 years",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","men","18-24 years",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","men","25-34 years",41200,41200,40700,38600,40600
"0 all sectors","132 Supply, logistics and transport managers","men","35-44 years",52200,49200,54200,54200,58500
"0 all sectors","132 Supply, logistics and transport managers","men","45-54 years",..,51100,55000,57600,55400
"0 all sectors","132 Supply, logistics and transport managers","men","55-64 years",..,50300,52200,53400,58800
"0 all sectors","132 Supply, logistics and transport managers","men","65-66 years",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","women","18-24 years",..,..,..,..,..
"0 all sectors","132 Supply, logistics and transport managers","women","25-34 years",42300,40800,38200,40100,43100
"0 all sectors","132 Supply, logistics and transport managers","women","35-44 years",51100,50700,49300,49300,54000
"0 all sectors","132 Supply, logistics and transport managers","women","45-54 years",55100,56900,51900,53900,..
"0 all sectors","132 Supply, logistics and transport managers","women","55-64 years",..,..,..,54600,60400
"0 all sectors","132 Supply, logistics and transport managers","women","65-66 years",..,..,..,..,..
"0 all sectors","133 Research and development managers","men","18-24 years",..,..,..,..,..
"0 all sectors","133 Research and development managers","men","25-34 years",50100,48800,..,50400,52700
"0 all sectors","133 Research and development managers","men","35-44 years",56000,61500,62600,60800,62100
"0 all sectors","133 Research and development managers","men","45-54 years",71400,70800,70900,68900,72100
"0 all sectors","133 Research and development managers","men","55-64 years",76200,74100,77200,74600,81900
"0 all sectors","133 Research and development managers","men","65-66 years",..,..,..,..,..
"0 all sectors","133 Research and development managers","women","18-24 years",..,..,..,..,..
"0 all sectors","133 Research and development managers","women","25-34 years",..,..,..,..,..
"0 all sectors","133 Research and development managers","women","35-44 years",55800,58100,56200,58000,59200
"0 all sectors","133 Research and development managers","women","45-54 years",65500,64700,69300,66400,67200
"0 all sectors","133 Research and development managers","women","55-64 years",72600,73000,72800,85000,78100
"0 all sectors","133 Research and development managers","women","65-66 years",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","men","18-24 years",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","men","25-34 years",46700,42600,42900,44300,46500
"0 all sectors","134 Architectural and engineering managers","men","35-44 years",51900,54000,55100,56600,57700
"0 all sectors","134 Architectural and engineering managers","men","45-54 years",58000,56900,60000,58700,63100
"0 all sectors","134 Architectural and engineering managers","men","55-64 years",53800,56100,56800,56400,63300
"0 all sectors","134 Architectural and engineering managers","men","65-66 years",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","women","18-24 years",..,..,..,..,..
"0 all sectors","134 Architectural and engineering managers","women","25-34 years",..,41300,43800,43300,45300
"0 all sectors","134 Architectural and engineering managers","women","35-44 years",51000,51500,50700,53600,55800
"0 all sectors","134 Architectural and engineering managers","women","45-54 years",50100,54200,55400,53000,58900
"0 all sectors","134 Architectural and engineering managers","women","55-64 years",50700,53200,53700,54700,59400
"0 all sectors","134 Architectural and engineering managers","women","65-66 years",..,..,..,..,..
"0 all sectors","135 Real estate and head of administration manager","men","18-24 years",..,..,..,..,..
"0 all sectors","135 Real estate and head of administration manager","men","25-34 years",..,..,..,..,..
"0 all sectors","135 Real estate and head of administration manager","men","35-44 years",61200,..,..,..,55900
"0 all sectors","135 Real estate and head of administration manager","men","45-54 years",45400,..,..,53600,56800
"0 all sectors","135 Real estate and head of administration manager","men","55-64 years",44900,54600,..,..,45700
"0 all sectors","135 Real estate and head of administration manager","men","65-66 years",..,..,..,..,..
"0 all sectors","135 Real estate and head of administration manager","women","18-24 years",..,..,..,..,..
"0 all sectors","135 Real estate and head of administration manager","women","25-34 years",..,..,..,..,..
"0 all sectors","135 Real estate and head of administration manager","women","35-44 years",..,..,..,..,..
"0 all sectors","135 Real estate and head of administration manager","women","45-54 years",..,55300,46400,49900,55400
"0 all sectors","135 Real estate and head of administration manager","women","55-64 years",..,..,..,..,..
"0 all sectors","135 Real estate and head of administration manager","women","65-66 years",..,..,..,..,..
"0 all sectors","136 Production managers in construction and mining","men","18-24 years",..,..,..,..,..
"0 all sectors","136 Production managers in construction and mining","men","25-34 years",42600,42600,39700,42100,42100
"0 all sectors","136 Production managers in construction and mining","men","35-44 years",45400,50800,52300,53400,53900
"0 all sectors","136 Production managers in construction and mining","men","45-54 years",49600,52300,52200,54300,58000
"0 all sectors","136 Production managers in construction and mining","men","55-64 years",47300,46300,44900,46800,61800
"0 all sectors","136 Production managers in construction and mining","men","65-66 years",..,55600,..,..,..
"0 all sectors","136 Production managers in construction and mining","women","18-24 years",..,..,..,..,..
"0 all sectors","136 Production managers in construction and mining","women","25-34 years",41400,41100,42500,42600,45300
"0 all sectors","136 Production managers in construction and mining","women","35-44 years",55900,52100,55400,55500,59000
"0 all sectors","136 Production managers in construction and mining","women","45-54 years",55700,56800,57100,62700,61800
"0 all sectors","136 Production managers in construction and mining","women","55-64 years",..,..,..,..,..
"0 all sectors","136 Production managers in construction and mining","women","65-66 years",..,..,..,..,..
"0 all sectors","137 Production managers in manufacturing","men","18-24 years",..,..,..,..,..
"0 all sectors","137 Production managers in manufacturing","men","25-34 years",39100,41100,37000,38900,42000
"0 all sectors","137 Production managers in manufacturing","men","35-44 years",47100,46500,45000,48300,50200
"0 all sectors","137 Production managers in manufacturing","men","45-54 years",49100,49300,48500,49700,54300
"0 all sectors","137 Production managers in manufacturing","men","55-64 years",44800,46900,48300,52100,53300
"0 all sectors","137 Production managers in manufacturing","men","65-66 years",..,..,..,..,..
"0 all sectors","137 Production managers in manufacturing","women","18-24 years",..,..,..,..,..
"0 all sectors","137 Production managers in manufacturing","women","25-34 years",..,38300,38400,38300,42400
"0 all sectors","137 Production managers in manufacturing","women","35-44 years",43800,46000,48700,49000,49900
"0 all sectors","137 Production managers in manufacturing","women","45-54 years",48300,45600,48100,50600,..
"0 all sectors","137 Production managers in manufacturing","women","55-64 years",..,..,..,52900,54500
"0 all sectors","137 Production managers in manufacturing","women","65-66 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","men","18-24 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","men","25-34 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","men","35-44 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","men","45-54 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","men","55-64 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","men","65-66 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","women","18-24 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","women","25-34 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","women","35-44 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","women","45-54 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","women","55-64 years",..,..,..,..,..
"0 all sectors","138 Forestry and agricultural production managers","women","65-66 years",..,..,..,..,..
"0 all sectors","141 Primary and secondary schools and adult education managers","men","18-24 years",..,..,..,..,..
"0 all sectors","141 Primary and secondary schools and adult education managers","men","25-34 years",39000,..,..,..,..
"0 all sectors","141 Primary and secondary schools and adult education managers","men","35-44 years",43200,44400,46000,47200,49500
"0 all sectors","141 Primary and secondary schools and adult education managers","men","45-54 years",45000,46500,48100,50000,51800
"0 all sectors","141 Primary and secondary schools and adult education managers","men","55-64 years",47100,48700,50300,51300,54700
"0 all sectors","141 Primary and secondary schools and adult education managers","men","65-66 years",..,..,..,..,..
"0 all sectors","141 Primary and secondary schools and adult education managers","women","18-24 years",..,..,..,..,..
"0 all sectors","141 Primary and secondary schools and adult education managers","women","25-34 years",..,39400,41700,42700,43600
"0 all sectors","141 Primary and secondary schools and adult education managers","women","35-44 years",41400,42400,44700,46500,48000
"0 all sectors","141 Primary and secondary schools and adult education managers","women","45-54 years",43600,45100,46200,48400,50300
"0 all sectors","141 Primary and secondary schools and adult education managers","women","55-64 years",45300,47200,48700,50200,52500
"0 all sectors","141 Primary and secondary schools and adult education managers","women","65-66 years",47300,47000,50000,52500,52800
"0 all sectors","142 Preschool managers","men","18-24 years",..,..,..,..,..
"0 all sectors","142 Preschool managers","men","25-34 years",..,..,..,..,..
"0 all sectors","142 Preschool managers","men","35-44 years",..,..,..,..,..
"0 all sectors","142 Preschool managers","men","45-54 years",..,..,..,..,..
"0 all sectors","142 Preschool managers","men","55-64 years",42000,..,..,..,..
"0 all sectors","142 Preschool managers","men","65-66 years",..,..,..,..,..
"0 all sectors","142 Preschool managers","women","18-24 years",..,..,..,..,..
"0 all sectors","142 Preschool managers","women","25-34 years",..,..,..,..,36300
"0 all sectors","142 Preschool managers","women","35-44 years",35100,37000,39100,38300,43600
"0 all sectors","142 Preschool managers","women","45-54 years",37400,38200,40100,40800,42700
"0 all sectors","142 Preschool managers","women","55-64 years",41600,42800,42400,43800,47100
"0 all sectors","142 Preschool managers","women","65-66 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","men","18-24 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","men","25-34 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","men","35-44 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","men","45-54 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","men","55-64 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","men","65-66 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","women","18-24 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","women","25-34 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","women","35-44 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","women","45-54 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","women","55-64 years",..,..,..,..,..
"0 all sectors","149 Education managers not elsewhere classified","women","65-66 years",..,..,..,..,..
"0 all sectors","151 Health care managers","men","18-24 years",..,..,..,..,..
"0 all sectors","151 Health care managers","men","25-34 years",..,..,41900,38100,39600
"0 all sectors","151 Health care managers","men","35-44 years",48200,49100,50300,51300,52400
"0 all sectors","151 Health care managers","men","45-54 years",59100,61100,63100,62900,62300
"0 all sectors","151 Health care managers","men","55-64 years",64400,65600,58500,..,..
"0 all sectors","151 Health care managers","men","65-66 years",..,..,..,..,..
"0 all sectors","151 Health care managers","women","18-24 years",..,..,..,..,..
"0 all sectors","151 Health care managers","women","25-34 years",33400,35200,36600,38700,39800
"0 all sectors","151 Health care managers","women","35-44 years",39800,41300,43200,43600,46700
"0 all sectors","151 Health care managers","women","45-54 years",45300,46400,48500,49900,51200
"0 all sectors","151 Health care managers","women","55-64 years",48000,48700,50500,51900,53200
"0 all sectors","151 Health care managers","women","65-66 years",..,..,..,56600,56100
"0 all sectors","152 Managers in social and curative care","men","18-24 years",..,..,..,..,..
"0 all sectors","152 Managers in social and curative care","men","25-34 years",..,..,..,..,..
"0 all sectors","152 Managers in social and curative care","men","35-44 years",39300,39800,40300,42700,44900
"0 all sectors","152 Managers in social and curative care","men","45-54 years",38400,42100,43700,..,48700
"0 all sectors","152 Managers in social and curative care","men","55-64 years",44300,45000,45000,..,49100
"0 all sectors","152 Managers in social and curative care","men","65-66 years",..,..,..,..,..
"0 all sectors","152 Managers in social and curative care","women","18-24 years",..,..,..,..,..
"0 all sectors","152 Managers in social and curative care","women","25-34 years",33600,34400,36400,38300,39900
"0 all sectors","152 Managers in social and curative care","women","35-44 years",39000,41000,41900,43800,45600
"0 all sectors","152 Managers in social and curative care","women","45-54 years",41700,42400,44100,..,47700
"0 all sectors","152 Managers in social and curative care","women","55-64 years",43200,45700,46100,48800,50200
"0 all sectors","152 Managers in social and curative care","women","65-66 years",..,..,..,..,..
"0 all sectors","153 Elderly care managers","men","18-24 years",..,..,..,..,..
"0 all sectors","153 Elderly care managers","men","25-34 years",33300,35300,36700,36300,40500
"0 all sectors","153 Elderly care managers","men","35-44 years",37100,43100,40100,41000,42100
"0 all sectors","153 Elderly care managers","men","45-54 years",39700,..,42400,43300,44700
"0 all sectors","153 Elderly care managers","men","55-64 years",40700,41700,43500,45000,46200
"0 all sectors","153 Elderly care managers","men","65-66 years",..,..,..,..,..
"0 all sectors","153 Elderly care managers","women","18-24 years",..,..,..,..,..
"0 all sectors","153 Elderly care managers","women","25-34 years",33000,34300,36100,37600,38700
"0 all sectors","153 Elderly care managers","women","35-44 years",36700,38200,39500,40800,42200
"0 all sectors","153 Elderly care managers","women","45-54 years",38600,40000,41300,42700,44100
"0 all sectors","153 Elderly care managers","women","55-64 years",40200,41600,42800,44300,45700
"0 all sectors","153 Elderly care managers","women","65-66 years",..,42300,44400,45900,46500
"0 all sectors","154 Managers and leaders within religious bodies","men","18-24 years",..,..,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","men","25-34 years",..,..,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","men","35-44 years",..,..,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","men","45-54 years",..,53600,49200,..,..
"0 all sectors","154 Managers and leaders within religious bodies","men","55-64 years",52300,54300,56100,..,..
"0 all sectors","154 Managers and leaders within religious bodies","men","65-66 years",..,..,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","women","18-24 years",..,..,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","women","25-34 years",..,..,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","women","35-44 years",..,..,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","women","45-54 years",..,..,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","women","55-64 years",..,54500,..,..,..
"0 all sectors","154 Managers and leaders within religious bodies","women","65-66 years",..,..,..,..,..
"0 all sectors","159 Other social services managers","men","18-24 years",..,..,..,..,..
"0 all sectors","159 Other social services managers","men","25-34 years",37600,38400,39000,41400,42100
"0 all sectors","159 Other social services managers","men","35-44 years",43800,44600,44900,45200,46400
"0 all sectors","159 Other social services managers","men","45-54 years",47600,49200,49500,51400,52800
"0 all sectors","159 Other social services managers","men","55-64 years",48500,49700,50300,53600,54600
"0 all sectors","159 Other social services managers","men","65-66 years",53300,55200,56800,58000,60200
"0 all sectors","159 Other social services managers","women","18-24 years",..,..,..,..,..
"0 all sectors","159 Other social services managers","women","25-34 years",36500,36300,37900,38800,39000
"0 all sectors","159 Other social services managers","women","35-44 years",42300,43100,44800,45000,46200
"0 all sectors","159 Other social services managers","women","45-54 years",45700,46400,47300,49000,50900
"0 all sectors","159 Other social services managers","women","55-64 years",45600,46900,47800,49700,51100
"0 all sectors","159 Other social services managers","women","65-66 years",..,..,..,..,..
"0 all sectors","161 Financial and insurance managers","men","18-24 years",..,..,..,..,..
"0 all sectors","161 Financial and insurance managers","men","25-34 years",56500,..,54500,54100,55500
"0 all sectors","161 Financial and insurance managers","men","35-44 years",82400,87700,83800,93200,94700
"0 all sectors","161 Financial and insurance managers","men","45-54 years",..,87600,102100,116500,119400
"0 all sectors","161 Financial and insurance managers","men","55-64 years",..,..,..,..,124500
"0 all sectors","161 Financial and insurance managers","men","65-66 years",..,..,..,..,..
"0 all sectors","161 Financial and insurance managers","women","18-24 years",..,..,..,..,..
"0 all sectors","161 Financial and insurance managers","women","25-34 years",43400,44400,45600,46700,48800
"0 all sectors","161 Financial and insurance managers","women","35-44 years",62300,63700,66200,69100,72300
"0 all sectors","161 Financial and insurance managers","women","45-54 years",67700,71400,75900,77500,82000
"0 all sectors","161 Financial and insurance managers","women","55-64 years",72500,69500,..,76400,78200
"0 all sectors","161 Financial and insurance managers","women","65-66 years",..,..,..,..,..
"0 all sectors","171 Hotel and conference managers","men","18-24 years",..,..,..,..,..
"0 all sectors","171 Hotel and conference managers","men","25-34 years",..,..,..,..,..
"0 all sectors","171 Hotel and conference managers","men","35-44 years",..,..,..,..,..
