"sector","occupational group (SSYK)","sex","age","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"0 all sectors","111 Legislators and senior government officials","women","55-64 years",52500,57200,58900,..,58000,60600,61500,64700,67700,72200
"0 all sectors","112 Senior officials of special-interest organisations","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","men","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","men","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","men","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","men","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","women","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","women","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","112 Senior officials of special-interest organisations","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","121 Directors and chief executives","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","121 Directors and chief executives","men","25-34 years",42000,..,44500,57200,48400,..,54000,..,..,..
"0 all sectors","121 Directors and chief executives","men","35-44 years",64000,63100,60900,61900,67000,68400,72200,76300,81400,79400
"0 all sectors","121 Directors and chief executives","men","45-54 years",73700,71600,67500,69200,77500,84100,85800,93500,95300,95800
"0 all sectors","121 Directors and chief executives","men","55-64 years",64100,61700,65300,65400,..,76400,85400,86800,85200,89700
"0 all sectors","121 Directors and chief executives","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","121 Directors and chief executives","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","121 Directors and chief executives","women","35-44 years",..,56600,54000,52200,57800,55900,54700,61100,68500,62800
"0 all sectors","121 Directors and chief executives","women","45-54 years",67900,63300,65000,63200,68300,69300,..,..,..,79700
"0 all sectors","121 Directors and chief executives","women","55-64 years",60000,..,53300,63400,60400,64800,55200,59700,53600,67900
"0 all sectors","122 Production and operations managers","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","122 Production and operations managers","men","25-34 years",30200,31000,31800,32400,33800,34400,35700,36000,37100,37500
"0 all sectors","122 Production and operations managers","men","35-44 years",38000,39800,39900,40500,42500,44000,44600,46100,46900,47900
"0 all sectors","122 Production and operations managers","men","45-54 years",39200,41400,42700,44200,46100,47500,48200,50100,50400,51800
"0 all sectors","122 Production and operations managers","men","55-64 years",38300,40200,41400,43400,45100,45900,47900,49000,49900,51100
"0 all sectors","122 Production and operations managers","women","18-24 years",..,..,..,22900,24300,24800,23800,25400,25300,26400
"0 all sectors","122 Production and operations managers","women","25-34 years",26900,27900,27200,28100,30200,30100,31000,31600,32700,32700
"0 all sectors","122 Production and operations managers","women","35-44 years",31300,33700,34400,35200,35600,36400,37400,38700,39700,40600
"0 all sectors","122 Production and operations managers","women","45-54 years",33500,34800,36000,37800,37800,38500,39700,40900,42200,43600
"0 all sectors","122 Production and operations managers","women","55-64 years",33800,35400,36200,38000,37900,39400,40400,41600,42800,44600
"0 all sectors","123 Other specialist managers","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","123 Other specialist managers","men","25-34 years",40800,36600,39000,38900,41200,41800,45500,44700,45500,45300
"0 all sectors","123 Other specialist managers","men","35-44 years",46900,48800,50200,52300,54600,54500,54600,57000,58100,58200
"0 all sectors","123 Other specialist managers","men","45-54 years",48900,51500,53100,56100,58100,59500,60700,62800,64100,65300
"0 all sectors","123 Other specialist managers","men","55-64 years",45000,48000,48900,50400,53500,55000,57100,58900,61600,63400
"0 all sectors","123 Other specialist managers","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","123 Other specialist managers","women","25-34 years",33700,34500,34800,33700,36200,38400,37600,39400,39600,39300
"0 all sectors","123 Other specialist managers","women","35-44 years",40200,41300,42400,43600,46300,47600,48400,51100,52700,53200
"0 all sectors","123 Other specialist managers","women","45-54 years",40800,43500,44300,45700,50100,53600,55000,54300,57200,57100
"0 all sectors","123 Other specialist managers","women","55-64 years",38500,40800,40800,42400,45000,46600,49700,50200,51800,54700
"0 all sectors","124 Foreman","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","men","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","men","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","men","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","men","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","women","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","women","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","124 Foreman","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","131 Managers of small enterprises","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","131 Managers of small enterprises","men","25-34 years",26600,25700,28300,28600,31400,32600,32300,31900,32500,33600
"0 all sectors","131 Managers of small enterprises","men","35-44 years",29700,30600,31700,32100,35800,38700,37600,37800,39300,41300
"0 all sectors","131 Managers of small enterprises","men","45-54 years",31900,31900,33100,33400,37400,38800,37600,40400,42200,45300
"0 all sectors","131 Managers of small enterprises","men","55-64 years",30700,32600,32600,34200,34500,37200,36200,36800,38800,38300
"0 all sectors","131 Managers of small enterprises","women","18-24 years",..,..,..,20100,..,..,..,..,..,..
"0 all sectors","131 Managers of small enterprises","women","25-34 years",22700,23400,25300,24700,28000,29300,28100,30000,32800,29800
"0 all sectors","131 Managers of small enterprises","women","35-44 years",26800,26400,28600,29700,32900,33500,33500,34200,37100,35300
"0 all sectors","131 Managers of small enterprises","women","45-54 years",28900,27800,27600,29400,33000,33100,34500,36100,36000,37500
"0 all sectors","131 Managers of small enterprises","women","55-64 years",26700,25700,29400,28900,31300,34400,35700,37600,39900,40400
"0 all sectors","211 Physicists, chemists and related professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","211 Physicists, chemists and related professionals","men","25-34 years",29000,29200,30200,29600,30100,31100,31500,31900,32700,33600
"0 all sectors","211 Physicists, chemists and related professionals","men","35-44 years",38200,37900,38500,38200,39300,40000,39800,40300,39900,39700
"0 all sectors","211 Physicists, chemists and related professionals","men","45-54 years",40500,42300,43800,44500,45900,46700,46900,46500,48400,47500
"0 all sectors","211 Physicists, chemists and related professionals","men","55-64 years",39100,39500,41200,42700,43700,45200,46200,49700,51600,50600
"0 all sectors","211 Physicists, chemists and related professionals","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","211 Physicists, chemists and related professionals","women","25-34 years",27200,27800,28200,28500,29300,30100,30500,31600,32100,32400
"0 all sectors","211 Physicists, chemists and related professionals","women","35-44 years",33000,33500,34500,34600,35300,37500,37600,38100,38600,38500
"0 all sectors","211 Physicists, chemists and related professionals","women","45-54 years",37100,37500,39400,40200,42500,43100,44200,44700,44700,44500
"0 all sectors","211 Physicists, chemists and related professionals","women","55-64 years",35400,36500,38500,39400,41600,42700,45000,45300,46500,44100
"0 all sectors","212 Mathematicians and statisticians","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","212 Mathematicians and statisticians","men","25-34 years",28600,29600,28400,30000,32000,33800,37200,35300,39900,37900
"0 all sectors","212 Mathematicians and statisticians","men","35-44 years",35200,38800,38800,35600,39100,39500,46200,47800,53600,53600
"0 all sectors","212 Mathematicians and statisticians","men","45-54 years",..,39500,40200,41000,43200,49400,52800,51000,53700,50200
"0 all sectors","212 Mathematicians and statisticians","men","55-64 years",33300,37300,39200,39300,37400,43400,44200,45600,48800,46900
"0 all sectors","212 Mathematicians and statisticians","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","212 Mathematicians and statisticians","women","25-34 years",26300,27100,28900,29700,32200,32100,33800,33300,34900,36800
"0 all sectors","212 Mathematicians and statisticians","women","35-44 years",32900,34600,34200,34800,37400,36900,37100,39200,40200,42000
"0 all sectors","212 Mathematicians and statisticians","women","45-54 years",..,..,..,..,..,..,..,..,44200,42400
"0 all sectors","212 Mathematicians and statisticians","women","55-64 years",31500,33800,34600,37300,..,..,..,..,..,..
"0 all sectors","213 Computing professionals","men","18-24 years",20800,19400,21100,23000,25600,24700,24000,27800,28000,29000
"0 all sectors","213 Computing professionals","men","25-34 years",30500,30300,30700,32100,33600,33700,34500,35000,34800,35300
"0 all sectors","213 Computing professionals","men","35-44 years",36000,35800,36800,38200,41000,40400,40900,41600,42300,42700
"0 all sectors","213 Computing professionals","men","45-54 years",36900,37600,39300,42100,42200,42800,43600,44200,45700,45700
"0 all sectors","213 Computing professionals","men","55-64 years",36200,37300,37800,39600,42900,42400,43900,43800,45000,45600
"0 all sectors","213 Computing professionals","women","18-24 years",..,..,..,..,24000,..,..,27500,24500,25100
"0 all sectors","213 Computing professionals","women","25-34 years",28000,29000,29900,30600,32600,32600,33800,34200,33500,34200
"0 all sectors","213 Computing professionals","women","35-44 years",32100,32500,33600,34900,36900,37300,37800,38400,38900,40700
"0 all sectors","213 Computing professionals","women","45-54 years",32300,33800,34800,36100,38100,39200,39500,40300,41400,41900
"0 all sectors","213 Computing professionals","women","55-64 years",32800,34000,34500,35300,34800,37500,39200,39100,40500,41300
"0 all sectors","214 Architects, engineers and related professionals","men","18-24 years",21600,22300,22900,22700,25000,24800,24900,25600,26300,25600
"0 all sectors","214 Architects, engineers and related professionals","men","25-34 years",29000,30200,30500,31500,32500,32500,33000,33600,34400,34700
"0 all sectors","214 Architects, engineers and related professionals","men","35-44 years",35100,36100,36500,38100,39600,39800,40600,41400,42700,43200
"0 all sectors","214 Architects, engineers and related professionals","men","45-54 years",36200,39200,39500,41300,42400,42900,43000,44900,46100,46600
"0 all sectors","214 Architects, engineers and related professionals","men","55-64 years",36800,39200,37500,38800,41000,40900,43100,43900,45700,46300
"0 all sectors","214 Architects, engineers and related professionals","women","18-24 years",..,..,23400,22000,24100,25500,..,25700,25900,26200
"0 all sectors","214 Architects, engineers and related professionals","women","25-34 years",27700,28500,29100,30100,30700,31100,31600,32100,33200,33900
"0 all sectors","214 Architects, engineers and related professionals","women","35-44 years",32400,34300,34600,35800,37200,37500,37900,39000,40500,40900
"0 all sectors","214 Architects, engineers and related professionals","women","45-54 years",33700,33000,34500,37500,39100,39800,39100,41600,41800,42300
"0 all sectors","214 Architects, engineers and related professionals","women","55-64 years",32200,32900,33600,35300,36000,34600,37800,40000,41300,43800
"0 all sectors","221 Life science professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","221 Life science professionals","men","25-34 years",25400,25400,26700,26700,28400,28900,30700,29400,31300,33300
"0 all sectors","221 Life science professionals","men","35-44 years",29100,31000,31600,32900,32000,35800,36300,35900,35800,40300
"0 all sectors","221 Life science professionals","men","45-54 years",33500,31900,34000,35000,36200,38400,38600,41000,44400,43200
"0 all sectors","221 Life science professionals","men","55-64 years",30400,32800,35100,37500,39000,39000,40000,40700,40400,40600
"0 all sectors","221 Life science professionals","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","221 Life science professionals","women","25-34 years",25600,26900,26200,28000,28300,29800,30000,30700,31700,31400
"0 all sectors","221 Life science professionals","women","35-44 years",29600,31000,32700,31800,33300,37000,36100,36500,39000,38900
"0 all sectors","221 Life science professionals","women","45-54 years",31400,33200,35800,37100,38900,39300,40700,38800,42100,42500
"0 all sectors","221 Life science professionals","women","55-64 years",30800,32500,35300,36200,41300,40500,41000,41000,40200,42900
"0 all sectors","222 Health professionals (except nursing)","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","222 Health professionals (except nursing)","men","25-34 years",33700,35600,37300,36600,38300,37900,38100,38900,42100,41600
"0 all sectors","222 Health professionals (except nursing)","men","35-44 years",45700,45400,48300,49800,52400,51200,53000,54400,55900,57800
"0 all sectors","222 Health professionals (except nursing)","men","45-54 years",55700,54500,57000,56900,64000,62400,63500,67000,69100,69500
"0 all sectors","222 Health professionals (except nursing)","men","55-64 years",54700,55400,57300,58600,61900,60900,64100,67000,69400,73200
"0 all sectors","222 Health professionals (except nursing)","women","18-24 years",..,..,..,..,..,..,..,..,..,31000
"0 all sectors","222 Health professionals (except nursing)","women","25-34 years",30100,30500,31100,31100,34000,34300,34200,35900,36500,37500
"0 all sectors","222 Health professionals (except nursing)","women","35-44 years",38100,39700,40100,41400,43600,44800,45200,47500,49500,50400
"0 all sectors","222 Health professionals (except nursing)","women","45-54 years",44900,45500,48900,48400,51800,52600,52700,55100,57400,58900
"0 all sectors","222 Health professionals (except nursing)","women","55-64 years",47300,48300,50600,50200,57100,56200,54100,58800,62300,64100
"0 all sectors","223 Nursing and midwifery professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","223 Nursing and midwifery professionals","men","25-34 years",24200,24400,24500,26900,27400,28100,28000,29100,30000,30300
"0 all sectors","223 Nursing and midwifery professionals","men","35-44 years",26200,27000,27300,30000,30600,29700,29700,31000,31800,32000
"0 all sectors","223 Nursing and midwifery professionals","men","45-54 years",27600,28300,29200,30000,30500,30800,31300,32400,32900,34700
"0 all sectors","223 Nursing and midwifery professionals","men","55-64 years",27200,27900,28900,29800,30500,31600,32400,33100,32000,34800
"0 all sectors","223 Nursing and midwifery professionals","women","18-24 years",20200,19700,20000,20900,..,..,..,..,..,..
"0 all sectors","223 Nursing and midwifery professionals","women","25-34 years",22900,23700,23900,24300,26800,27200,27600,28400,29100,29800
"0 all sectors","223 Nursing and midwifery professionals","women","35-44 years",25000,25600,26100,27000,28000,28700,29200,30200,30700,31600
"0 all sectors","223 Nursing and midwifery professionals","women","45-54 years",25900,26700,27400,28500,29000,29800,30600,31600,32200,33100
"0 all sectors","223 Nursing and midwifery professionals","women","55-64 years",25600,26300,27100,28700,29200,30000,30600,31700,32500,33600
"0 all sectors","231 College, university and higher education teaching professionals","men","18-24 years",18700,19000,19900,19800,20400,21300,22100,22800,23100,23100
"0 all sectors","231 College, university and higher education teaching professionals","men","25-34 years",21900,22500,23200,23700,24600,25600,26100,26900,27300,27800
"0 all sectors","231 College, university and higher education teaching professionals","men","35-44 years",29400,30500,31300,32100,33400,35200,35500,36700,37500,38400
"0 all sectors","231 College, university and higher education teaching professionals","men","45-54 years",34600,35700,37200,38100,39700,42000,42600,44000,45000,46700
"0 all sectors","231 College, university and higher education teaching professionals","men","55-64 years",36900,38000,39600,40300,42100,44800,46000,47300,48700,50600
"0 all sectors","231 College, university and higher education teaching professionals","women","18-24 years",18000,18800,..,19700,20100,20800,21600,22200,22700,23200
"0 all sectors","231 College, university and higher education teaching professionals","women","25-34 years",20800,21500,22300,22700,23700,24700,25200,25900,26500,27100
"0 all sectors","231 College, university and higher education teaching professionals","women","35-44 years",25500,26500,27500,28300,29700,31100,31800,32800,33800,34900
"0 all sectors","231 College, university and higher education teaching professionals","women","45-54 years",28900,29800,31100,31800,33400,35400,36300,37500,38800,39900
"0 all sectors","231 College, university and higher education teaching professionals","women","55-64 years",31000,32000,33400,34300,35800,38100,38900,40400,41700,43100
"0 all sectors","232 Secondary education teaching professionals","men","18-24 years",18900,18800,18400,19700,21200,20500,20600,21000,21600,21700
"0 all sectors","232 Secondary education teaching professionals","men","25-34 years",21500,22100,22500,23000,24100,24600,24900,25500,25900,27200
"0 all sectors","232 Secondary education teaching professionals","men","35-44 years",23000,23500,23900,24600,25700,26600,27000,27600,27900,29800
"0 all sectors","232 Secondary education teaching professionals","men","45-54 years",24600,25000,25500,26200,27100,28000,28400,28800,29100,30700
"0 all sectors","232 Secondary education teaching professionals","men","55-64 years",26000,26400,26900,27500,28300,29300,29700,30300,30400,32100
"0 all sectors","232 Secondary education teaching professionals","women","18-24 years",19000,18900,18900,19900,21000,21900,21400,21800,21600,22000
"0 all sectors","232 Secondary education teaching professionals","women","25-34 years",21500,21900,22500,22900,23900,24600,24800,25400,25600,26900
"0 all sectors","232 Secondary education teaching professionals","women","35-44 years",22800,23300,24000,24300,25300,26200,26600,27200,27400,28900
"0 all sectors","232 Secondary education teaching professionals","women","45-54 years",24200,24500,25000,25600,26600,27500,27800,28300,28700,30300
"0 all sectors","232 Secondary education teaching professionals","women","55-64 years",26100,26400,26900,27500,28200,29400,29600,30000,30200,31800
"0 all sectors","233 Primary education teaching professionals","men","18-24 years",16600,16800,17200,17300,17800,18000,18500,19100,19300,20000
"0 all sectors","233 Primary education teaching professionals","men","25-34 years",20700,21200,21500,22200,22800,23300,23500,24100,24400,25300
"0 all sectors","233 Primary education teaching professionals","men","35-44 years",21800,22300,22900,23600,24500,25400,26000,26500,26800,28100
"0 all sectors","233 Primary education teaching professionals","men","45-54 years",23500,23900,24300,25000,25800,26300,26800,27100,27400,28800
"0 all sectors","233 Primary education teaching professionals","men","55-64 years",25400,25700,26200,26700,27600,28400,28700,28800,28900,30300
"0 all sectors","233 Primary education teaching professionals","women","18-24 years",17500,17600,17700,17700,18500,18900,19200,19800,20000,20800
"0 all sectors","233 Primary education teaching professionals","women","25-34 years",20700,21100,21500,22000,22800,23500,23800,24200,24500,25700
"0 all sectors","233 Primary education teaching professionals","women","35-44 years",21500,22000,22500,23100,24100,24900,25400,25900,26300,27900
"0 all sectors","233 Primary education teaching professionals","women","45-54 years",23600,23900,24200,24600,25400,26200,26500,26900,27100,28600
"0 all sectors","233 Primary education teaching professionals","women","55-64 years",25300,25800,26300,26800,27700,28500,28800,29100,29200,30600
"0 all sectors","234 Special education teaching professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","234 Special education teaching professionals","men","25-34 years",21200,21400,22800,22300,21200,..,..,..,..,..
"0 all sectors","234 Special education teaching professionals","men","35-44 years",23300,23400,23900,23900,25400,26200,27200,27800,27500,28900
"0 all sectors","234 Special education teaching professionals","men","45-54 years",24300,25000,25500,26000,26100,27500,28000,28600,29400,28700
"0 all sectors","234 Special education teaching professionals","men","55-64 years",26000,26500,27100,27800,28800,29500,29900,30300,31100,32400
"0 all sectors","234 Special education teaching professionals","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","234 Special education teaching professionals","women","25-34 years",21200,21700,22200,23100,23700,24000,24800,25900,25300,26900
"0 all sectors","234 Special education teaching professionals","women","35-44 years",22800,23200,23800,24700,24900,25900,26600,27500,28100,29600
"0 all sectors","234 Special education teaching professionals","women","45-54 years",24700,25200,25700,26300,26800,27600,28000,28800,29200,30900
"0 all sectors","234 Special education teaching professionals","women","55-64 years",26100,26700,27200,27800,28600,29300,30000,30600,30800,32400
"0 all sectors","235 Other teaching professionals","men","18-24 years",18400,18700,..,..,20600,18800,19700,19600,20400,20200
"0 all sectors","235 Other teaching professionals","men","25-34 years",22300,24800,25900,25000,24100,25000,24600,24900,25100,25900
"0 all sectors","235 Other teaching professionals","men","35-44 years",26700,27600,26500,27400,27700,28100,28000,27500,27900,28900
"0 all sectors","235 Other teaching professionals","men","45-54 years",26500,26800,27500,28800,27700,28500,29600,28100,28700,31500
"0 all sectors","235 Other teaching professionals","men","55-64 years",26300,27400,28600,28400,28500,29500,29400,29100,29700,30700
"0 all sectors","235 Other teaching professionals","women","18-24 years",19800,18500,20000,20400,19900,20800,19600,19800,20900,20200
"0 all sectors","235 Other teaching professionals","women","25-34 years",21500,22100,22500,23500,23800,24000,24300,25100,25200,25600
"0 all sectors","235 Other teaching professionals","women","35-44 years",23100,24000,23900,25400,25800,26500,27100,27400,27800,28800
"0 all sectors","235 Other teaching professionals","women","45-54 years",24200,25800,26000,24800,26900,27600,28000,28400,28900,30600
"0 all sectors","235 Other teaching professionals","women","55-64 years",25100,26100,26400,27200,28400,29300,29600,29800,30200,31800
"0 all sectors","241 Business professionals","men","18-24 years",..,22200,22600,23300,24800,24300,26200,25100,25300,25000
"0 all sectors","241 Business professionals","men","25-34 years",33000,34800,34700,35600,36300,36100,36800,37300,38400,38400
"0 all sectors","241 Business professionals","men","35-44 years",39900,41800,40900,44600,46000,47800,48200,48800,49700,50200
"0 all sectors","241 Business professionals","men","45-54 years",39400,40400,41700,45700,47900,47700,49600,50000,50700,51400
"0 all sectors","241 Business professionals","men","55-64 years",37200,37400,38200,39700,41800,43000,43400,45900,43800,46800
"0 all sectors","241 Business professionals","women","18-24 years",19300,21400,21400,22900,23000,22700,23400,24900,23800,25100
"0 all sectors","241 Business professionals","women","25-34 years",27700,28400,28300,29800,30700,31700,32700,32200,32400,33700
"0 all sectors","241 Business professionals","women","35-44 years",30700,31900,32800,33900,35700,36300,37200,38200,38700,40500
"0 all sectors","241 Business professionals","women","45-54 years",30500,31800,32900,34200,36400,36200,37900,39000,40800,40900
"0 all sectors","241 Business professionals","women","55-64 years",28200,29100,30200,32100,32100,33600,35000,36400,36700,38700
"0 all sectors","242 Legal professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","242 Legal professionals","men","25-34 years",33900,..,34800,35100,32100,33500,34900,36300,36700,38400
"0 all sectors","242 Legal professionals","men","35-44 years",43200,40700,42000,43600,48500,46600,48200,49400,53700,55400
"0 all sectors","242 Legal professionals","men","45-54 years",..,45200,50000,50700,51600,51700,55300,53300,56100,59300
"0 all sectors","242 Legal professionals","men","55-64 years",44400,41900,47600,46300,49100,49600,51200,51500,50400,53500
"0 all sectors","242 Legal professionals","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","242 Legal professionals","women","25-34 years",28300,28700,29900,30000,30000,31900,32500,33000,33900,35900
"0 all sectors","242 Legal professionals","women","35-44 years",33400,34500,36300,36800,40100,41200,40600,42100,46300,46800
"0 all sectors","242 Legal professionals","women","45-54 years",33100,34100,36100,38800,39300,43400,43700,46700,47100,48100
"0 all sectors","242 Legal professionals","women","55-64 years",28800,31800,31700,32500,32600,35400,39100,43100,48200,46000
"0 all sectors","243 Archivists, librarians and related information professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","243 Archivists, librarians and related information professionals","men","25-34 years",21200,22000,22300,23200,24000,24600,24800,25500,26100,27000
"0 all sectors","243 Archivists, librarians and related information professionals","men","35-44 years",24000,24400,24200,25100,25500,27200,27300,28300,29200,29100
"0 all sectors","243 Archivists, librarians and related information professionals","men","45-54 years",23800,24700,25400,26300,26700,26100,28300,29100,29700,30600
"0 all sectors","243 Archivists, librarians and related information professionals","men","55-64 years",24600,25000,25400,25800,26400,27300,27500,29300,30300,31500
"0 all sectors","243 Archivists, librarians and related information professionals","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","243 Archivists, librarians and related information professionals","women","25-34 years",21100,21400,22200,22500,23400,24100,24500,24900,25900,26500
"0 all sectors","243 Archivists, librarians and related information professionals","women","35-44 years",22300,22900,23300,24000,24800,26000,26400,26600,27500,28000
"0 all sectors","243 Archivists, librarians and related information professionals","women","45-54 years",22900,23500,24300,24900,25700,26700,27200,27700,28600,29500
"0 all sectors","243 Archivists, librarians and related information professionals","women","55-64 years",23300,24100,24600,25100,25800,27000,27700,28100,28800,29300
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","men","25-34 years",24900,26800,29400,28500,29300,30000,31000,29300,29300,31500
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","men","35-44 years",30200,31500,33800,33000,33800,34200,36900,38000,39300,39800
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","men","45-54 years",32900,33200,37600,37100,36900,37500,38300,39600,40000,40400
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","men","55-64 years",36000,36300,38200,37300,38700,40100,40300,39100,41300,..
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","women","25-34 years",23500,24100,26200,25400,25400,26400,28400,28800,28700,28900
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","women","35-44 years",26300,28400,30800,29700,30500,31600,32100,31500,33000,34700
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","women","45-54 years",27700,29800,30800,29300,31800,32700,33400,33000,35800,36600
"0 all sectors","244 Social science and linguistics professionals (except social work professionals)","women","55-64 years",30500,32200,32200,31100,32800,33100,33100,33500,35900,39900
"0 all sectors","245 Writers and creative or performing artists","men","18-24 years",20100,21800,21700,21200,23500,24500,22800,23500,25300,26500
"0 all sectors","245 Writers and creative or performing artists","men","25-34 years",27200,27200,28300,28300,28800,28900,29700,29900,30800,32000
"0 all sectors","245 Writers and creative or performing artists","men","35-44 years",32000,33300,33700,33000,32900,34200,35000,36400,37300,37400
"0 all sectors","245 Writers and creative or performing artists","men","45-54 years",31300,33000,33900,34100,33800,35500,35200,36400,36500,37700
"0 all sectors","245 Writers and creative or performing artists","men","55-64 years",31700,32800,33100,33100,34100,35600,34500,34600,35400,36500
"0 all sectors","245 Writers and creative or performing artists","women","18-24 years",22000,22400,21400,20800,22500,24600,23700,24400,24900,24800
"0 all sectors","245 Writers and creative or performing artists","women","25-34 years",25500,25400,25700,26300,28100,28700,28900,29700,30100,31100
