"occupational group (SSYK)","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"121 Directors and chief executives","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"121 Directors and chief executives","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"121 Directors and chief executives","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"121 Directors and chief executives","30-34 years","men",41200,43100,44900,44400,42100,..,46700,..,52400,..,..,..,..,..
"121 Directors and chief executives","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"121 Directors and chief executives","35-39 years","men",48500,52200,53300,52800,52900,51900,52300,52900,59300,55900,59800,72200,78800,77400
"121 Directors and chief executives","35-39 years","women",49400,..,39600,43600,..,..,..,..,..,..,..,..,..,..
"121 Directors and chief executives","40-44 years","men",59400,69700,67400,65900,72100,71600,66900,68300,73000,78800,80000,80000,83500,80900
"121 Directors and chief executives","40-44 years","women",..,45900,49500,56800,..,..,..,..,57400,..,..,..,..,..
"121 Directors and chief executives","45-49 years","men",57600,58900,68700,68500,78700,70100,67800,70300,75500,84400,83600,92300,81800,86900
"121 Directors and chief executives","45-49 years","women",..,36500,46100,52800,..,..,..,..,66800,74400,76800,..,..,..
"121 Directors and chief executives","50-54 years","men",54700,58300,63400,64200,68900,73400,67400,67800,80900,85400,90600,97100,..,..
"121 Directors and chief executives","50-54 years","women",43200,49000,44300,47000,..,..,..,..,..,..,..,..,..,..
"121 Directors and chief executives","55-59 years","men",58300,58400,60700,62200,64700,63700,65200,64600,75300,78100,91000,94300,..,90800
"121 Directors and chief executives","55-59 years","women",..,43100,51600,53300,..,..,..,..,..,..,..,..,..,..
"121 Directors and chief executives","60-64 years","men",52300,57600,55700,53900,63400,57900,65800,67300,96700,75300,80500,80300,86900,91200
"121 Directors and chief executives","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"122 Production and operations managers","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"122 Production and operations managers","18-24 years","women",..,..,..,..,..,..,..,..,..,..,23600,25200,25200,26000
"122 Production and operations managers","25-29 years","men",23900,26100,25500,26700,26500,26100,28200,28800,29300,30900,32600,32800,32600,32900
"122 Production and operations managers","25-29 years","women",21800,22300,22200,22600,24200,25700,24500,25700,30100,28100,28700,28300,28900,28500
"122 Production and operations managers","30-34 years","men",28100,29800,29900,30300,31400,32500,33000,33600,35600,35500,36800,37600,39000,39800
"122 Production and operations managers","30-34 years","women",25900,24400,25900,27000,27600,28700,28000,28900,31000,31400,32200,33100,34300,34100
"122 Production and operations managers","35-39 years","men",30700,33500,33900,35100,37400,38900,38500,39000,40900,42500,43200,44500,45300,48000
"122 Production and operations managers","35-39 years","women",26600,28500,28800,30000,30100,32000,32900,34100,36700,36400,37800,38500,38900,39000
"122 Production and operations managers","40-44 years","men",32100,34600,37500,36900,39600,41800,41900,42300,45200,46800,47000,49000,49800,49100
"122 Production and operations managers","40-44 years","women",28000,28400,29500,33100,32200,36500,36800,36500,39000,39300,39400,41800,42500,43100
"122 Production and operations managers","45-49 years","men",32500,35400,37100,37800,40000,42300,44300,45600,46500,50600,49700,51600,50500,52700
"122 Production and operations managers","45-49 years","women",28000,27100,28300,31500,33700,34300,35500,37700,41600,39600,41100,42600,45300,45900
"122 Production and operations managers","50-54 years","men",33400,35800,36300,38300,40200,42700,43300,45000,48600,47300,49000,51500,52500,52600
"122 Production and operations managers","50-54 years","women",28500,29800,29900,32700,33600,36200,37000,39700,41900,41200,42600,43200,43000,44300
"122 Production and operations managers","55-59 years","men",33000,35000,36300,36900,38900,41600,42100,44100,47000,47700,50700,52400,52700,52900
"122 Production and operations managers","55-59 years","women",26500,27000,30500,30300,32400,35900,35500,36900,39000,41000,42400,42600,44000,45500
"122 Production and operations managers","60-64 years","men",31600,33500,34500,34200,36700,38400,40700,43700,45500,45800,47900,47200,48800,49800
"122 Production and operations managers","60-64 years","women",..,..,..,28800,31600,31400,33000,36200,38300,39100,41300,42800,43200,45200
"123 Other specialist managers","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"123 Other specialist managers","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"123 Other specialist managers","25-29 years","men",28000,31700,32500,29900,31700,29300,33900,33100,33300,34500,34900,34600,37600,35200
"123 Other specialist managers","25-29 years","women",25000,26600,26600,27200,27800,29800,30400,26300,31300,32400,33800,31800,32500,32200
"123 Other specialist managers","30-34 years","men",36100,36300,37900,37700,42900,38400,40400,40800,43000,43600,..,47400,47500,48000
"123 Other specialist managers","30-34 years","women",31000,32300,33400,33500,35600,36000,36700,37200,37900,40400,38500,41400,41900,42300
"123 Other specialist managers","35-39 years","men",40200,42100,44000,42900,44800,47500,47500,50000,51100,51600,51800,52800,54200,55300
"123 Other specialist managers","35-39 years","women",34700,39600,37600,36900,38000,39700,41300,41100,44500,45200,46000,48700,50300,50200
"123 Other specialist managers","40-44 years","men",42300,45300,45600,48000,49500,50500,53200,54900,57400,57100,57000,60300,61100,60200
"123 Other specialist managers","40-44 years","women",37000,38800,40200,40400,43500,43600,44000,46400,47700,49400,50400,52900,54600,55400
"123 Other specialist managers","45-49 years","men",42200,44400,46000,47000,51100,53100,54800,58900,59900,60300,60400,62000,63200,65900
"123 Other specialist managers","45-49 years","women",34900,38700,38800,41100,42700,45400,47100,47700,52400,55200,56500,53300,57400,58000
"123 Other specialist managers","50-54 years","men",41800,43400,46700,47500,48400,51900,53500,55000,57100,59500,61900,64800,66200,65200
"123 Other specialist managers","50-54 years","women",33700,34500,36000,39100,41000,44500,43800,45800,48000,52400,54100,56900,57900,56200
"123 Other specialist managers","55-59 years","men",41200,43700,45800,45800,46600,49600,51000,52800,54600,55400,59700,62400,64000,64900
"123 Other specialist managers","55-59 years","women",34200,36700,37900,36800,39700,43400,42800,43200,45500,46600,49900,50500,53400,54100
"123 Other specialist managers","60-64 years","men",38600,41000,40900,43400,44300,48900,48700,49900,52800,55400,54600,55700,59600,62500
"123 Other specialist managers","60-64 years","women",33700,33200,31800,33900,37600,38100,38900,42600,43400,45700,49500,49200,49600,56000
"124 Foreman","18-24 years","men",18800,19300,20200,20300,..,..,..,..,..,..,..,..,..,..
"124 Foreman","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"124 Foreman","25-29 years","men",20800,22300,23200,23800,..,..,..,..,..,..,..,..,..,..
"124 Foreman","25-29 years","women",20300,21600,22600,22900,..,..,..,..,..,..,..,..,..,..
"124 Foreman","30-34 years","men",23200,24000,25200,25900,..,..,..,..,..,..,..,..,..,..
"124 Foreman","30-34 years","women",22300,23200,24600,25200,..,..,..,..,..,..,..,..,..,..
"124 Foreman","35-39 years","men",24200,25100,26500,27300,..,..,..,..,..,..,..,..,..,..
"124 Foreman","35-39 years","women",23300,23400,25500,26400,..,..,..,..,..,..,..,..,..,..
"124 Foreman","40-44 years","men",24400,25100,26700,27800,..,..,..,..,..,..,..,..,..,..
"124 Foreman","40-44 years","women",23600,24000,25900,26900,..,..,..,..,..,..,..,..,..,..
"124 Foreman","45-49 years","men",24700,25800,27100,27700,..,..,..,..,..,..,..,..,..,..
"124 Foreman","45-49 years","women",23300,26000,25600,26000,..,..,..,..,..,..,..,..,..,..
"124 Foreman","50-54 years","men",24100,25400,26700,27800,..,..,..,..,..,..,..,..,..,..
"124 Foreman","50-54 years","women",22900,24500,25800,25700,..,..,..,..,..,..,..,..,..,..
"124 Foreman","55-59 years","men",24000,25000,26100,27000,..,..,..,..,..,..,..,..,..,..
"124 Foreman","55-59 years","women",21400,23100,25100,26100,..,..,..,..,..,..,..,..,..,..
"124 Foreman","60-64 years","men",23300,23900,25600,26500,..,..,..,..,..,..,..,..,..,..
"124 Foreman","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"131 Managers of small enterprises","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"131 Managers of small enterprises","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"131 Managers of small enterprises","25-29 years","men",21700,20500,22000,23000,22700,24200,26100,29000,29600,28000,29800,31100,31000,30100
"131 Managers of small enterprises","25-29 years","women",23700,25200,20600,21000,21000,22000,22600,22000,24500,26500,25500,28300,29700,..
"131 Managers of small enterprises","30-34 years","men",23100,27400,25300,26600,28200,26400,29100,28600,32000,34200,33400,32200,33600,35200
"131 Managers of small enterprises","30-34 years","women",20800,22000,21500,22900,24300,23900,27300,25800,29800,30600,29400,30400,33900,32500
"131 Managers of small enterprises","35-39 years","men",28200,24000,28000,27300,29200,32400,32500,31800,36100,40800,36500,37500,36700,39400
"131 Managers of small enterprises","35-39 years","women",20400,21100,23000,22000,26600,27100,29100,31400,31400,33700,32300,35100,36600,35600
"131 Managers of small enterprises","40-44 years","men",26800,27200,27100,30600,30500,29700,31400,32600,35700,37900,38700,38200,42500,42900
"131 Managers of small enterprises","40-44 years","women",19400,21200,25900,23500,28400,26500,29700,30000,34900,33800,35100,33700,38700,34900
"131 Managers of small enterprises","45-49 years","men",24100,27600,28700,32500,32800,32100,34100,33200,34800,37600,36400,40700,42400,45600
"131 Managers of small enterprises","45-49 years","women",22700,27900,28600,26700,28300,28800,27200,29800,31700,34600,34300,37000,36800,39300
"131 Managers of small enterprises","50-54 years","men",25600,26600,27400,27900,31700,32400,32600,34000,41300,40600,39500,40400,42200,45600
"131 Managers of small enterprises","50-54 years","women",23700,26900,31300,24800,32800,27600,27400,29500,36200,..,35500,35800,35500,35900
"131 Managers of small enterprises","55-59 years","men",26300,27100,27700,29200,30400,31900,31700,35500,33800,37900,36900,35900,38200,40100
"131 Managers of small enterprises","55-59 years","women",21300,24000,23000,21000,25800,23700,28800,27500,28500,35200,33200,38800,42200,42300
"131 Managers of small enterprises","60-64 years","men",27300,29600,30800,29700,31900,34600,34200,33000,34800,36600,35200,38300,39900,35600
"131 Managers of small enterprises","60-64 years","women",..,..,..,..,30200,26700,31200,28600,30400,31900,..,36400,38700,39200
"211 Physicists, chemists and related professionals","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"211 Physicists, chemists and related professionals","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"211 Physicists, chemists and related professionals","25-29 years","men",22800,24800,21200,27500,..,..,..,..,28700,..,..,..,..,..
"211 Physicists, chemists and related professionals","25-29 years","women",22100,23200,23200,24800,25100,25200,26800,27100,27500,27200,..,..,..,..
"211 Physicists, chemists and related professionals","30-34 years","men",29200,30500,30800,29800,32100,32000,33700,33200,32600,33500,34100,34100,34200,36400
"211 Physicists, chemists and related professionals","30-34 years","women",26600,27100,31900,29200,30100,30600,30900,30900,32000,32100,32400,33300,34400,34700
"211 Physicists, chemists and related professionals","35-39 years","men",32500,33600,28300,35900,40700,38100,39800,38200,38800,39200,39700,40500,40200,39600
"211 Physicists, chemists and related professionals","35-39 years","women",29300,30400,31000,33000,32700,32600,35400,35600,32900,37400,37600,38500,37600,38200
"211 Physicists, chemists and related professionals","40-44 years","men",33600,34800,37500,39400,41400,42800,42700,43000,44000,44500,44200,45200,42200,43900
"211 Physicists, chemists and related professionals","40-44 years","women",31100,31300,33500,34600,36600,37900,37000,36600,40600,41000,40900,41000,42400,42500
"211 Physicists, chemists and related professionals","45-49 years","men",35900,36300,38200,39200,45100,47300,48100,48400,49100,49000,48900,46600,48800,46800
"211 Physicists, chemists and related professionals","45-49 years","women",32500,32800,34100,36400,38700,38600,41000,41400,44800,43400,45000,44600,44000,44400
"211 Physicists, chemists and related professionals","50-54 years","men",37200,37800,40200,40800,44600,48100,50200,49400,50000,50800,51600,51900,53900,56500
"211 Physicists, chemists and related professionals","50-54 years","women",31900,34800,34800,35800,40800,41900,42800,43900,45000,48700,48400,49800,50900,49600
"211 Physicists, chemists and related professionals","55-59 years","men",36700,37800,38700,41000,44100,44600,46500,47900,47600,51500,51900,57100,58900,57000
"211 Physicists, chemists and related professionals","55-59 years","women",32400,33000,33600,..,38100,41000,42700,44300,46400,46400,48200,47700,50600,..
"211 Physicists, chemists and related professionals","60-64 years","men",34700,35200,38400,34700,..,41700,46700,47300,47000,45500,46500,52500,56000,..
"211 Physicists, chemists and related professionals","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","30-34 years","men",..,32800,31300,32100,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","35-39 years","men",..,33300,34100,37500,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","35-39 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","40-44 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","45-49 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","50-54 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"212 Mathematicians and statisticians","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"213 Computing professionals","18-24 years","men",21800,20700,22800,21100,20800,19400,21100,23000,25700,24800,24000,27800,28100,29100
"213 Computing professionals","18-24 years","women",20900,20700,24300,..,..,..,..,..,24000,..,..,27700,24500,25100
"213 Computing professionals","25-29 years","men",25800,26500,27400,27100,27700,27400,27500,28300,30300,30000,31200,31300,32000,31400
"213 Computing professionals","25-29 years","women",25000,25700,26300,26000,26700,26600,27000,27600,30100,29600,31900,31500,30500,31100
"213 Computing professionals","30-34 years","men",30100,30400,31700,32100,32800,32300,33300,35000,36000,36100,37000,37700,36900,37800
"213 Computing professionals","30-34 years","women",27800,28700,30100,30300,29700,31000,31500,32400,34300,34600,35600,36100,35700,37000
"213 Computing professionals","35-39 years","men",33200,35300,36200,36000,36400,35300,36800,38600,41100,40200,40400,41500,41700,41600
"213 Computing professionals","35-39 years","women",30400,31100,32000,32100,32800,32600,34200,35000,36700,37200,38500,39100,39400,40700
"213 Computing professionals","40-44 years","men",35000,37400,38200,37200,37500,38200,38500,39400,42600,42400,42900,43400,44600,45300
"213 Computing professionals","40-44 years","women",33300,33100,32800,33400,33900,34500,35400,37100,39700,39700,39200,39600,40000,42600
"213 Computing professionals","45-49 years","men",35500,36700,37900,37600,37800,38100,40600,43600,43700,43700,44400,45400,46200,46800
"213 Computing professionals","45-49 years","women",30200,31700,32200,33500,34100,36600,37600,38500,40100,41200,41400,42000,42900,43900
"213 Computing professionals","50-54 years","men",36200,36200,37900,38300,38700,39900,40600,43600,43200,44400,45700,45600,48300,46900
"213 Computing professionals","50-54 years","women",32400,32400,34100,34100,35100,35900,36700,38700,40700,41900,42300,43900,44800,43000
"213 Computing professionals","55-59 years","men",35100,36100,38900,39000,37900,39100,39400,41600,44900,44200,45600,44500,45700,47100
"213 Computing professionals","55-59 years","women",30900,32000,33500,35400,35400,36200,37400,37300,39000,39400,41900,41700,44500,44300
"213 Computing professionals","60-64 years","men",36500,36100,35200,36400,36400,37300,38000,39600,44000,43200,45600,47000,48000,47500
"213 Computing professionals","60-64 years","women",..,..,31900,32800,34500,38200,36200,39600,33200,41100,42300,42400,42600,43300
"214 Architects, engineers and related professionals","18-24 years","men",19600,21900,24200,21200,21600,22400,23000,22700,25100,24800,25000,25600,26400,25500
"214 Architects, engineers and related professionals","18-24 years","women",19300,21000,..,..,..,..,23500,22000,24300,..,..,25700,25900,26300
"214 Architects, engineers and related professionals","25-29 years","men",24300,25800,26300,26400,26400,26700,26500,28000,29500,29500,30100,30600,31100,31400
"214 Architects, engineers and related professionals","25-29 years","women",22200,24800,24400,24700,26100,26500,26800,28100,28500,28800,29200,30000,30300,31000
"214 Architects, engineers and related professionals","30-34 years","men",28500,29500,31300,30700,30500,32100,32800,34000,34500,34300,34800,35800,36600,37000
"214 Architects, engineers and related professionals","30-34 years","women",26300,28000,28900,29200,29000,30300,31400,32300,32900,33000,33100,33500,35300,36100
"214 Architects, engineers and related professionals","35-39 years","men",31200,33500,34300,34400,34400,34800,35600,37400,38800,38700,39800,40200,41400,41900
"214 Architects, engineers and related professionals","35-39 years","women",27400,29800,31300,31500,32800,33400,33800,34900,36800,37000,37300,38900,40100,40100
"214 Architects, engineers and related professionals","40-44 years","men",33000,34500,36300,36200,36700,38500,38000,39300,40800,41200,41700,43000,44600,44900
"214 Architects, engineers and related professionals","40-44 years","women",29600,31200,29400,30700,32900,37000,36600,38400,38600,38900,39300,39800,41900,42800
"214 Architects, engineers and related professionals","45-49 years","men",33900,34600,36600,37600,36300,40300,39700,42200,43100,42800,42900,44000,45400,46300
"214 Architects, engineers and related professionals","45-49 years","women",29000,32200,33000,32900,34700,33000,34800,38900,39900,40600,38600,41700,41500,43300
"214 Architects, engineers and related professionals","50-54 years","men",32600,35200,36500,35300,37100,39000,40300,41400,42400,43700,43500,46700,47700,47600
"214 Architects, engineers and related professionals","50-54 years","women",26900,33100,30800,31800,36100,35500,36400,38400,40000,40400,41000,43100,43900,41400
"214 Architects, engineers and related professionals","55-59 years","men",33400,35200,35900,36100,37400,38200,38600,39900,42600,40900,43800,44600,46300,46600
"214 Architects, engineers and related professionals","55-59 years","women",28200,30000,30300,27100,35600,36200,36400,38900,40400,40200,38600,41200,42000,45900
"214 Architects, engineers and related professionals","60-64 years","men",33300,35600,35400,36200,38000,42600,37200,38400,40300,41600,43300,43800,45700,46600
"214 Architects, engineers and related professionals","60-64 years","women",..,..,..,..,..,35100,33400,35100,34700,30800,40000,42400,44500,44300
"221 Life science professionals","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"221 Life science professionals","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"221 Life science professionals","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"221 Life science professionals","25-29 years","women",..,..,..,..,..,..,..,..,28200,28400,..,..,..,..
"221 Life science professionals","30-34 years","men",..,..,..,..,..,..,..,..,33700,31100,34800,..,..,..
"221 Life science professionals","30-34 years","women",..,..,..,..,30200,32700,30500,35300,30200,33200,33200,33300,34700,34000
"221 Life science professionals","35-39 years","men",..,..,..,32800,..,..,..,..,35600,35700,36500,38800,37900,..
"221 Life science professionals","35-39 years","women",..,..,..,..,..,31200,37000,34800,32100,37300,37200,39100,42200,39100
"221 Life science professionals","40-44 years","men",..,..,..,..,34600,..,..,..,32300,42800,41800,..,..,46300
"221 Life science professionals","40-44 years","women",..,..,..,..,34800,36100,..,..,39600,42400,39300,40200,45100,..
"221 Life science professionals","45-49 years","men",..,..,32100,31700,..,..,..,..,..,..,..,..,..,..
"221 Life science professionals","45-49 years","women",..,..,..,..,..,..,..,41600,41900,42100,38400,..,..,..
"221 Life science professionals","50-54 years","men",..,..,..,..,..,..,..,..,39900,43700,..,..,..,..
"221 Life science professionals","50-54 years","women",..,..,..,..,..,..,..,..,45500,44300,..,..,..,..
"221 Life science professionals","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"221 Life science professionals","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"221 Life science professionals","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"221 Life science professionals","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"222 Health professionals (except nursing)","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"222 Health professionals (except nursing)","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"222 Health professionals (except nursing)","25-29 years","men",23900,39100,26600,26800,..,..,..,..,..,..,30900,33600,..,37000
"222 Health professionals (except nursing)","25-29 years","women",22700,29900,24300,26000,27600,27900,29200,28000,..,31300,29800,32800,32700,33000
"222 Health professionals (except nursing)","30-34 years","men",26600,42400,29000,30900,40700,44000,54500,57000,..,38700,39600,38000,..,..
"222 Health professionals (except nursing)","30-34 years","women",26500,34200,27000,30300,35100,31200,34400,32600,..,35000,33200,38300,38700,39600
"222 Health professionals (except nursing)","35-39 years","men",31600,52400,32200,35400,47100,41700,54800,59200,..,44100,49400,..,53100,..
"222 Health professionals (except nursing)","35-39 years","women",28600,35800,30200,33600,36400,38300,36000,43700,..,39800,39300,44100,46200,47400
"222 Health professionals (except nursing)","40-44 years","men",35700,50700,37700,41600,47100,43200,53400,55900,..,48900,55400,54000,..,71800
"222 Health professionals (except nursing)","40-44 years","women",31000,38500,34200,35400,41200,44600,44600,39600,..,46800,43900,50900,53200,52000
"222 Health professionals (except nursing)","45-49 years","men",38000,45300,41400,46400,58300,48100,58200,54300,..,..,..,72800,74200,74000
"222 Health professionals (except nursing)","45-49 years","women",29700,38100,34100,34700,40100,40300,50600,43000,..,48300,47500,50700,55700,55900
"222 Health professionals (except nursing)","50-54 years","men",43800,50500,46900,50700,59700,53200,58400,52400,..,59500,62500,66200,75200,76300
"222 Health professionals (except nursing)","50-54 years","women",32400,42300,33300,39500,45200,41200,50800,48900,..,50300,48800,50800,55400,59000
"222 Health professionals (except nursing)","55-59 years","men",46200,52100,43300,45200,57000,53000,54800,51900,..,54400,60100,65800,67700,74100
"222 Health professionals (except nursing)","55-59 years","women",37700,35200,38100,39600,47000,47000,53500,49000,..,56000,47500,54200,58900,61300
"222 Health professionals (except nursing)","60-64 years","men",47000,47400,39300,44500,46700,49400,52300,55600,..,46300,56400,61300,..,76600
"222 Health professionals (except nursing)","60-64 years","women",34600,47800,38500,37700,46200,47000,48200,40100,..,53800,44000,57900,66100,67200
"223 Nursing and midwifery professionals","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"223 Nursing and midwifery professionals","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"223 Nursing and midwifery professionals","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"223 Nursing and midwifery professionals","25-29 years","women",..,..,23100,..,..,..,..,..,..,..,26600,27500,29900,28700
"223 Nursing and midwifery professionals","30-34 years","men",..,..,..,..,..,..,..,..,..,..,28300,30100,31400,31300
"223 Nursing and midwifery professionals","30-34 years","women",23500,25600,24400,27200,25600,28100,26600,26700,29400,29000,28400,28900,29900,31200
"223 Nursing and midwifery professionals","35-39 years","men",..,..,..,..,..,..,..,..,..,..,29200,31900,31800,32000
"223 Nursing and midwifery professionals","35-39 years","women",24100,26100,24300,26000,25700,27900,27500,30000,29500,29600,28400,30900,31400,32100
"223 Nursing and midwifery professionals","40-44 years","men",..,..,..,..,..,..,..,..,..,..,30000,31400,33800,31900
"223 Nursing and midwifery professionals","40-44 years","women",23200,26900,25600,28400,27000,28400,29200,30100,30200,31400,30300,31900,31100,32600
"223 Nursing and midwifery professionals","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
