"region","sector","occupational group (SSYK)","sex","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE12 East-Central Sweden","0 all sectors","521 Fashion and other models","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","521 Fashion and other models","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","522 Shop and stall salespersons and demonstrators","men",19000,20000,21300,21200,21500,23500,23100,24500,24700,26200,28400
"SE12 East-Central Sweden","0 all sectors","522 Shop and stall salespersons and demonstrators","women",18000,18800,19600,20400,21100,21300,23500,23900,25000,25700,25700
"SE12 East-Central Sweden","0 all sectors","611 Market gardeners and crop growers","men",18900,17700,18500,18500,18900,20100,20100,21200,22700,22100,22300
"SE12 East-Central Sweden","0 all sectors","611 Market gardeners and crop growers","women",17100,17200,17500,18700,18200,19500,20000,21100,21700,22000,22700
"SE12 East-Central Sweden","0 all sectors","612 Animal producers and related workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","612 Animal producers and related workers","women",..,17000,16900,17400,18100,19300,20000,19500,21500,21000,21800
"SE12 East-Central Sweden","0 all sectors","613 Crop and animal producers","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","613 Crop and animal producers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","614 Forestry and related workers","men",20000,20900,20000,20500,21600,22500,22100,22800,25100,24000,..
"SE12 East-Central Sweden","0 all sectors","614 Forestry and related workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","615 Fishery workers, hunters and trappers","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","615 Fishery workers, hunters and trappers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","711 Miners, shot firers, stonecutters and carvers","men",22100,25000,22200,24600,25000,26700,27900,29800,32800,32400,33300
"SE12 East-Central Sweden","0 all sectors","711 Miners, shot firers, stonecutters and carvers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","712 Building frame and related trades workers","men",22400,23000,23200,23700,24600,26200,27700,27700,26200,29000,28000
"SE12 East-Central Sweden","0 all sectors","712 Building frame and related trades workers","women",..,..,..,..,..,..,23600,22200,24500,..,..
"SE12 East-Central Sweden","0 all sectors","713 Building finishers and related trades workers","men",20200,21200,21700,22200,22900,24100,25100,26400,25500,26400,25600
"SE12 East-Central Sweden","0 all sectors","713 Building finishers and related trades workers","women",17100,17700,18500,18600,19000,20100,20800,22400,21600,23100,23500
"SE12 East-Central Sweden","0 all sectors","714 Painters, building structure cleaners and related trades workers","men",22000,22000,21600,23100,23600,24700,25600,24600,25700,26800,27900
"SE12 East-Central Sweden","0 all sectors","714 Painters, building structure cleaners and related trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","men",19900,20300,20800,21400,22700,23800,25100,25100,25100,26000,27900
"SE12 East-Central Sweden","0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","722 Blacksmiths, tool-makers and related trades workers","men",21000,21800,22600,23400,24000,23800,24900,23900,26200,28000,28900
"SE12 East-Central Sweden","0 all sectors","722 Blacksmiths, tool-makers and related trades workers","women",20400,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","723 Machinery mechanics and fitters","men",20000,21000,21500,21800,23000,23800,24100,24500,25200,27100,27000
"SE12 East-Central Sweden","0 all sectors","723 Machinery mechanics and fitters","women",..,..,..,..,..,..,..,21500,23300,23600,..
"SE12 East-Central Sweden","0 all sectors","724 Electrical and electronic equipment mechanics and fitters","men",20800,21500,21900,22800,23400,24100,25300,25300,27700,28000,29100
"SE12 East-Central Sweden","0 all sectors","724 Electrical and electronic equipment mechanics and fitters","women",18500,19000,19400,19700,21100,21800,22800,25100,26300,26600,24300
"SE12 East-Central Sweden","0 all sectors","731 Precision workers in metal and related materials","men",19200,20000,20600,21800,22400,22000,24900,26100,27200,26800,26100
"SE12 East-Central Sweden","0 all sectors","731 Precision workers in metal and related materials","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","732 Potters, glass-makers and related trades workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","732 Potters, glass-makers and related trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","733 Handicraft workers in wood, textile, leather and related materials","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","733 Handicraft workers in wood, textile, leather and related materials","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","734 Craft printing and related trades workers","men",20800,21800,20400,22000,23500,24100,25900,26800,..,..,26100
"SE12 East-Central Sweden","0 all sectors","734 Craft printing and related trades workers","women",18700,19900,..,21400,20800,21600,23000,23100,23400,23800,23800
"SE12 East-Central Sweden","0 all sectors","741 Food processing and related trades workers","men",17600,20300,21600,20700,23400,25300,24500,24000,23000,24500,..
"SE12 East-Central Sweden","0 all sectors","741 Food processing and related trades workers","women",19400,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","742 Wood treaters, cabinet-makers and related trades workers","men",..,..,..,..,21500,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","742 Wood treaters, cabinet-makers and related trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","743 Garment and related trades workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","743 Garment and related trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","744 Pelt, leather and shoemaking trades workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","744 Pelt, leather and shoemaking trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","811 Mineral-processing-plant operators","men",..,..,..,..,24800,..,..,27200,..,..,29300
"SE12 East-Central Sweden","0 all sectors","811 Mineral-processing-plant operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","812 Metal-processing-plant operators","men",22100,23100,23800,24700,25100,26400,26200,26600,27700,29200,29700
"SE12 East-Central Sweden","0 all sectors","812 Metal-processing-plant operators","women",21400,22600,23500,24600,24900,25400,25700,26700,27800,29600,29700
"SE12 East-Central Sweden","0 all sectors","813 Glass, ceramics and related plant operators","men",..,..,..,21800,..,23000,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","813 Glass, ceramics and related plant operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","814 Wood-processing- and papermaking-plant operators","men",22800,24200,24600,25400,26300,26700,27800,28100,28900,30200,31000
"SE12 East-Central Sweden","0 all sectors","814 Wood-processing- and papermaking-plant operators","women",21200,22000,22600,23500,24100,25000,25300,25900,27000,29600,29900
"SE12 East-Central Sweden","0 all sectors","815 Chemical-processing-plant operators","men",22900,23900,24400,25900,26700,25700,28500,27800,28600,29100,30400
"SE12 East-Central Sweden","0 all sectors","815 Chemical-processing-plant operators","women",20100,..,22300,22100,23600,23600,25300,25500,25800,28300,29500
"SE12 East-Central Sweden","0 all sectors","816 Power-production and related plant operators","men",23300,22900,23400,23700,24000,24600,26000,27100,27500,28700,29100
"SE12 East-Central Sweden","0 all sectors","816 Power-production and related plant operators","women",..,..,..,..,..,23300,23800,24600,25600,27700,28800
"SE12 East-Central Sweden","0 all sectors","817 Industrial-robot operators","men",..,..,..,..,..,..,..,..,23300,..,..
"SE12 East-Central Sweden","0 all sectors","817 Industrial-robot operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","821 Metal- and mineral-products machine operators","men",20700,21500,22200,23100,23700,24700,25300,25800,26300,26700,26800
"SE12 East-Central Sweden","0 all sectors","821 Metal- and mineral-products machine operators","women",20200,21200,21900,22300,23200,24000,25300,24700,26300,26400,27100
"SE12 East-Central Sweden","0 all sectors","822 Chemical-products machine operators","men",19900,21100,21800,22400,23100,24400,24800,25300,26900,28400,29000
"SE12 East-Central Sweden","0 all sectors","822 Chemical-products machine operators","women",20600,21600,22200,22700,23000,23600,24200,25000,24800,27100,27500
"SE12 East-Central Sweden","0 all sectors","823 Rubber- and plastic-products machine operators","men",19600,20400,21300,22900,23300,22600,23300,23700,23900,24800,26600
"SE12 East-Central Sweden","0 all sectors","823 Rubber- and plastic-products machine operators","women",19100,19200,20000,21800,22300,19500,20200,22500,22600,23000,24200
"SE12 East-Central Sweden","0 all sectors","824 Wood-products machine operators","men",18700,18100,18300,19500,20200,21000,23000,22600,23800,..,..
"SE12 East-Central Sweden","0 all sectors","824 Wood-products machine operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","825 Printing-, binding- and paper-products machine operators","men",21300,23100,23200,23800,24400,25700,26100,26400,27500,27300,28800
"SE12 East-Central Sweden","0 all sectors","825 Printing-, binding- and paper-products machine operators","women",18300,19500,19200,19800,21800,22100,23400,22600,24600,26400,25800
"SE12 East-Central Sweden","0 all sectors","826 Textile-, fur- and leather-products machine operators","men",18500,20000,19300,20200,20500,22000,22900,23500,24000,25100,24400
"SE12 East-Central Sweden","0 all sectors","826 Textile-, fur- and leather-products machine operators","women",17700,17900,17900,18600,18900,20100,20800,21600,21500,22800,21900
"SE12 East-Central Sweden","0 all sectors","827 Food and related products machine operators","men",19400,20000,19800,21300,22000,23900,23800,23100,26100,25400,25600
"SE12 East-Central Sweden","0 all sectors","827 Food and related products machine operators","women",17200,18700,19200,20700,20800,22000,23100,22200,23800,24500,25400
"SE12 East-Central Sweden","0 all sectors","828 Assemblers","men",19300,20000,20500,20900,21700,22900,23400,23800,25100,25400,25700
"SE12 East-Central Sweden","0 all sectors","828 Assemblers","women",17900,18900,19400,19500,20300,21300,22000,22300,22900,23400,24000
"SE12 East-Central Sweden","0 all sectors","829 Other machine operators and assemblers","men",20300,21100,21600,21400,22500,23600,23700,24700,24900,26200,26600
"SE12 East-Central Sweden","0 all sectors","829 Other machine operators and assemblers","women",19700,20000,20700,21000,22700,23300,23100,24200,24000,25700,26500
"SE12 East-Central Sweden","0 all sectors","831 Locomotive-engine drivers and related worker","men",22600,25100,24900,26100,26100,28500,29300,29000,29300,31200,32100
"SE12 East-Central Sweden","0 all sectors","831 Locomotive-engine drivers and related worker","women",..,..,..,..,..,..,..,27600,..,..,..
"SE12 East-Central Sweden","0 all sectors","832 Motor-vehicle drivers","men",18900,19800,20200,21300,21900,22200,23000,22800,25000,25800,26000
"SE12 East-Central Sweden","0 all sectors","832 Motor-vehicle drivers","women",17800,18900,19500,20900,20200,21200,21900,22600,23600,24800,23600
"SE12 East-Central Sweden","0 all sectors","833 Agricultural and other mobile-plant operators","men",19700,20700,20900,21400,22100,21900,22900,23700,23700,25800,26000
"SE12 East-Central Sweden","0 all sectors","833 Agricultural and other mobile-plant operators","women",..,..,19400,20600,22300,23100,..,23500,24700,24700,25600
"SE12 East-Central Sweden","0 all sectors","834 Ships´ deck crews and related workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","834 Ships´ deck crews and related workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","911 Street vendors and market salespersons","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","911 Street vendors and market salespersons","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","912 Helpers and cleaners","men",17300,17100,17200,19100,18600,19700,20100,20500,20800,21200,21400
"SE12 East-Central Sweden","0 all sectors","912 Helpers and cleaners","women",15900,16000,16500,17100,17600,18300,19000,19600,20100,20600,21000
"SE12 East-Central Sweden","0 all sectors","913 Helpers in restaurants","men",16800,15400,16300,16700,17200,18400,18800,18800,20300,20100,21000
"SE12 East-Central Sweden","0 all sectors","913 Helpers in restaurants","women",15700,16000,16200,16700,17200,18500,19000,19500,20000,20300,20700
"SE12 East-Central Sweden","0 all sectors","914 Doorkeepers, newspaper and package deliverers and related workers","men",17500,18100,18500,19900,19500,..,22000,23400,22600,24500,25200
"SE12 East-Central Sweden","0 all sectors","914 Doorkeepers, newspaper and package deliverers and related workers","women",17100,17700,17800,18000,19000,..,20900,23200,22400,24700,24900
"SE12 East-Central Sweden","0 all sectors","915 Garbage collectors and related labourers","men",19200,19800,19500,20800,19800,22100,22600,21900,22100,22800,24500
"SE12 East-Central Sweden","0 all sectors","915 Garbage collectors and related labourers","women",..,..,..,..,17200,..,..,21700,22700,23100,21400
"SE12 East-Central Sweden","0 all sectors","919 Other sales and services elementary occupations","men",17500,18500,17900,19000,19600,20100,20500,21600,21600,21800,21900
"SE12 East-Central Sweden","0 all sectors","919 Other sales and services elementary occupations","women",17200,17300,17200,17600,18100,18800,18900,20100,20200,20500,20200
"SE12 East-Central Sweden","0 all sectors","921 Agricultural, fishery and related labourers","men",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","921 Agricultural, fishery and related labourers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","931 Mining and construction labourers","men",..,..,..,..,20300,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","931 Mining and construction labourers","women",..,..,..,..,..,..,..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","932 Manufacturing labourers","men",18500,19300,20100,20900,22100,22800,22900,22900,23500,24300,25400
"SE12 East-Central Sweden","0 all sectors","932 Manufacturing labourers","women",17500,18400,18800,19600,20700,21400,21500,21500,21500,22400,24800
"SE12 East-Central Sweden","0 all sectors","933 Transport labourers and freight handlers","men",21200,21400,21800,22100,23100,23900,25400,25700,25500,27400,24900
"SE12 East-Central Sweden","0 all sectors","933 Transport labourers and freight handlers","women",..,..,20400,21400,21800,22700,22600,23500,23900,24200,..
"SE21 Småland and islands","0 all sectors","011 Armed forces","men",24500,25000,26200,26900,27300,28300,28500,29600,27800,27900,28400
"SE21 Småland and islands","0 all sectors","011 Armed forces","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","111 Legislators and senior government officials","men",..,..,..,..,..,52400,54200,56300,58900,61500,64700
"SE21 Småland and islands","0 all sectors","111 Legislators and senior government officials","women",..,..,..,..,..,..,..,54600,58000,61000,63900
"SE21 Småland and islands","0 all sectors","112 Senior officials of special-interest organisations","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","112 Senior officials of special-interest organisations","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","121 Directors and chief executives","men",41300,49700,47500,54000,56400,62500,62900,63300,64400,64900,..
"SE21 Småland and islands","0 all sectors","121 Directors and chief executives","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","122 Production and operations managers","men",32500,34700,35600,37000,38500,40800,40800,42400,44400,44100,45100
"SE21 Småland and islands","0 all sectors","122 Production and operations managers","women",28700,30300,31100,31300,33900,34100,35100,36300,37300,39200,39800
"SE21 Småland and islands","0 all sectors","123 Other specialist managers","men",36900,37500,38900,40600,44000,46900,47900,48100,48500,51100,54900
"SE21 Småland and islands","0 all sectors","123 Other specialist managers","women",31400,31700,33700,33500,34900,38400,43000,42800,45800,47200,50200
"SE21 Småland and islands","0 all sectors","124 Foreman","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","124 Foreman","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","131 Managers of small enterprises","men",24300,27900,29600,29900,30900,29000,33100,35200,33100,35000,33100
"SE21 Småland and islands","0 all sectors","131 Managers of small enterprises","women",22000,24000,24900,26100,26400,..,29200,30200,32600,33300,32300
"SE21 Småland and islands","0 all sectors","211 Physicists, chemists and related professionals","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","211 Physicists, chemists and related professionals","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","212 Mathematicians and statisticians","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","212 Mathematicians and statisticians","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","213 Computing professionals","men",27700,28400,28700,28600,31200,35200,34100,34800,37100,36100,36600
"SE21 Småland and islands","0 all sectors","213 Computing professionals","women",25300,26500,25800,28000,29700,31300,31300,31800,33100,33100,35100
"SE21 Småland and islands","0 all sectors","214 Architects, engineers and related professionals","men",30000,30300,30200,30300,31600,33500,34900,35500,37600,38300,39500
"SE21 Småland and islands","0 all sectors","214 Architects, engineers and related professionals","women",26800,26900,28600,28500,30600,30000,31100,31800,33700,35000,35200
"SE21 Småland and islands","0 all sectors","221 Life science professionals","men",..,24700,26600,27800,27900,29800,30500,31900,32500,32600,33200
"SE21 Småland and islands","0 all sectors","221 Life science professionals","women",..,..,23800,24200,25000,27100,27500,28800,30100,30600,31500
"SE21 Småland and islands","0 all sectors","222 Health professionals (except nursing)","men",50300,52600,53900,53100,53000,57400,57700,57700,58500,62800,63800
"SE21 Småland and islands","0 all sectors","222 Health professionals (except nursing)","women",40000,40300,41600,40900,40400,46900,47200,46900,48200,52000,53400
"SE21 Småland and islands","0 all sectors","223 Nursing and midwifery professionals","men",26400,26900,27300,27700,28500,29700,29900,30400,31200,31700,32500
"SE21 Småland and islands","0 all sectors","223 Nursing and midwifery professionals","women",24600,25100,25700,26000,27900,27700,28500,29200,30100,31000,31600
"SE21 Småland and islands","0 all sectors","231 College, university and higher education teaching professionals","men",29200,29400,30800,31800,33000,34800,37500,37400,36300,36500,39200
"SE21 Småland and islands","0 all sectors","231 College, university and higher education teaching professionals","women",25800,25800,26700,27700,28400,29800,31700,32300,32100,32900,35000
"SE21 Småland and islands","0 all sectors","232 Secondary education teaching professionals","men",23200,23700,24400,24800,25500,26200,27400,27700,28300,28400,29700
"SE21 Småland and islands","0 all sectors","232 Secondary education teaching professionals","women",22600,23300,23900,24200,24900,25700,26700,26800,27500,27700,29300
"SE21 Småland and islands","0 all sectors","233 Primary education teaching professionals","men",21800,22500,23000,23500,24200,24400,25500,25400,25800,25500,27000
"SE21 Småland and islands","0 all sectors","233 Primary education teaching professionals","women",21700,22300,22700,23100,23700,24200,25200,25400,25700,25600,27000
"SE21 Småland and islands","0 all sectors","234 Special education teaching professionals","men",23800,24500,25300,25600,26500,27200,28000,28100,28500,28700,28600
"SE21 Småland and islands","0 all sectors","234 Special education teaching professionals","women",23700,24400,25100,25800,26400,26800,27800,28400,28500,29200,30200
"SE21 Småland and islands","0 all sectors","235 Other teaching professionals","men",22500,23000,25300,25100,25700,25500,26800,26000,26500,26700,26100
"SE21 Småland and islands","0 all sectors","235 Other teaching professionals","women",21400,21900,23000,23500,23900,25700,26600,27000,27500,27700,26800
"SE21 Småland and islands","0 all sectors","241 Business professionals","men",30400,31600,30900,31500,34700,35500,37100,38800,38900,37900,39100
"SE21 Småland and islands","0 all sectors","241 Business professionals","women",25400,25400,26600,26500,29100,29600,30400,32300,33900,35000,35100
"SE21 Småland and islands","0 all sectors","242 Legal professionals","men",36100,37000,36800,37900,39600,36500,39600,40700,41500,42800,45700
"SE21 Småland and islands","0 all sectors","242 Legal professionals","women",28400,27500,28300,28500,28100,29500,30900,32100,35100,36600,37700
"SE21 Småland and islands","0 all sectors","243 Archivists, librarians and related information professionals","men",21500,22800,..,23100,24700,27300,27400,27800,28000,29000,29800
"SE21 Småland and islands","0 all sectors","243 Archivists, librarians and related information professionals","women",20400,21400,22100,21900,23400,24300,25700,25700,26200,26900,27300
"SE21 Småland and islands","0 all sectors","244 Social science and linguistics professionals (except social work professionals)","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","244 Social science and linguistics professionals (except social work professionals)","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","245 Writers and creative or performing artists","men",24700,28700,29400,27900,29100,29500,30800,30000,31500,31900,32100
"SE21 Småland and islands","0 all sectors","245 Writers and creative or performing artists","women",22800,23700,24700,25900,26400,27500,28100,28800,30300,31600,32600
"SE21 Småland and islands","0 all sectors","246 Religious professionals","men",28500,29600,30100,31600,32400,33800,35200,35400,36800,38600,39600
"SE21 Småland and islands","0 all sectors","246 Religious professionals","women",..,..,28200,..,30000,..,33600,34000,34400,35300,36500
"SE21 Småland and islands","0 all sectors","247 Public service administrative professionals","men",25600,26300,27100,27900,29000,31100,31700,32200,32800,33600,34500
"SE21 Småland and islands","0 all sectors","247 Public service administrative professionals","women",23400,23600,24200,24700,25900,27500,28600,29400,30100,30800,31500
"SE21 Småland and islands","0 all sectors","248 Administrative professionals of special-interest organisations","men",..,..,29300,29700,32300,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","248 Administrative professionals of special-interest organisations","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","249 Psychologists, social work and related professionals","men",24300,25200,25900,27100,27600,27700,28400,29100,30300,30800,31400
"SE21 Småland and islands","0 all sectors","249 Psychologists, social work and related professionals","women",23400,23800,24300,25300,25900,26700,27100,28000,28800,29200,30000
"SE21 Småland and islands","0 all sectors","311 Physical and engineering science technicians","men",24400,25200,26500,27400,28400,29800,30300,31300,32400,33300,33900
"SE21 Småland and islands","0 all sectors","311 Physical and engineering science technicians","women",21500,22600,23600,24200,24700,25600,27100,27700,29200,30600,30500
"SE21 Småland and islands","0 all sectors","312 Computer associate professionals","men",23500,23100,24800,24900,28900,29000,27200,29200,30300,30300,29800
"SE21 Småland and islands","0 all sectors","312 Computer associate professionals","women",22200,20500,20700,21200,25600,24000,24200,27300,27400,27700,26800
"SE21 Småland and islands","0 all sectors","313 Optical and electronic equipment operators","men",22400,22300,24100,25000,24600,25500,27200,28000,27400,28600,26800
"SE21 Småland and islands","0 all sectors","313 Optical and electronic equipment operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","314 Ship and aircraft controllers and technicians","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","314 Ship and aircraft controllers and technicians","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","315 Safety and quality inspectors","men",24300,23700,25000,23800,24500,26800,28000,28700,30700,31400,31700
"SE21 Småland and islands","0 all sectors","315 Safety and quality inspectors","women",..,..,..,..,..,..,..,..,..,29600,29700
"SE21 Småland and islands","0 all sectors","321 Agronomy and forestry technicians","men",22900,24300,25800,25800,27100,28800,30300,32200,32500,32300,32800
"SE21 Småland and islands","0 all sectors","321 Agronomy and forestry technicians","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","322 Health associate professionals (except nursing)","men",22400,23200,23700,24900,25600,26600,26600,27500,27900,28800,28900
"SE21 Småland and islands","0 all sectors","322 Health associate professionals (except nursing)","women",22500,23400,23100,23700,24700,25100,25700,26300,26900,27500,27300
"SE21 Småland and islands","0 all sectors","323 Nursing associate professionals","men",23900,24200,24700,25300,26400,30200,30100,28700,29300,30000,30500
"SE21 Småland and islands","0 all sectors","323 Nursing associate professionals","women",23100,23500,23800,24400,25300,26700,27400,27600,28300,28900,29600
"SE21 Småland and islands","0 all sectors","324 Life science technicians","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","324 Life science technicians","women",21300,21700,22100,22700,23600,25200,25900,26200,26900,27700,28400
"SE21 Småland and islands","0 all sectors","331 Pre-primary education teaching associate professionals","men",18300,19200,19900,20700,21300,22100,22700,22500,23000,23400,24700
"SE21 Småland and islands","0 all sectors","331 Pre-primary education teaching associate professionals","women",18900,19600,20200,20800,21400,22200,23000,23200,23700,24100,25400
"SE21 Småland and islands","0 all sectors","332 Other teaching associate professionals","men",24600,..,..,..,..,23900,24700,24800,24000,23500,26600
"SE21 Småland and islands","0 all sectors","332 Other teaching associate professionals","women",21300,..,..,..,..,..,..,..,..,..,24600
"SE21 Småland and islands","0 all sectors","341 Finance and sales associate professionals","men",26500,27600,28800,29900,31000,33000,31800,33500,35100,36100,36600
"SE21 Småland and islands","0 all sectors","341 Finance and sales associate professionals","women",21200,22700,23500,24200,24400,26200,26400,27200,28100,28500,29800
"SE21 Småland and islands","0 all sectors","342 Business services agents and trade brokers","men",22900,22900,23600,24200,..,27400,28100,28200,27700,29000,28900
"SE21 Småland and islands","0 all sectors","342 Business services agents and trade brokers","women",21400,21700,22400,24700,23500,23900,25700,25900,27200,27000,27900
"SE21 Småland and islands","0 all sectors","343 Administrative associate professionals","men",24800,23700,25700,25500,25700,28600,31100,31400,29400,30500,32600
"SE21 Småland and islands","0 all sectors","343 Administrative associate professionals","women",20700,20700,22200,23200,23600,24100,25500,25500,26900,31400,31900
"SE21 Småland and islands","0 all sectors","344 Customs, tax and related government associate professionals","men",23500,24400,21900,23400,25600,24800,26100,27000,27800,28100,28700
"SE21 Småland and islands","0 all sectors","344 Customs, tax and related government associate professionals","women",19500,20000,19500,21300,22100,22100,23600,24100,24600,25100,25700
"SE21 Småland and islands","0 all sectors","345 Police officers and detectives","men",25400,25300,24400,25200,26500,27200,27400,27500,27600,29100,30100
"SE21 Småland and islands","0 all sectors","345 Police officers and detectives","women",23900,23700,22500,23300,24600,25400,26000,25500,25700,27200,27800
"SE21 Småland and islands","0 all sectors","346 Social work associate professionals","men",18900,19600,20300,21700,22000,21500,23400,23500,24200,25000,25300
"SE21 Småland and islands","0 all sectors","346 Social work associate professionals","women",19700,19400,20000,20900,21300,21900,24000,23300,24600,26900,26400
"SE21 Småland and islands","0 all sectors","347 Artistic, entertainment and sports associate professionals","men",..,..,27200,..,..,27000,26800,28900,..,..,..
"SE21 Småland and islands","0 all sectors","347 Artistic, entertainment and sports associate professionals","women",18800,19200,21200,20300,22300,25900,24300,23000,25000,31100,27800
"SE21 Småland and islands","0 all sectors","348 Religious associate professionals","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","348 Religious associate professionals","women",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","411 Office secretaries and data entry operators","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","411 Office secretaries and data entry operators","women",18600,18900,19800,20000,23200,22400,23300,23000,23200,23300,22400
"SE21 Småland and islands","0 all sectors","412 Numerical clerks","men",19100,21000,22700,23800,24800,27000,27700,26000,23900,26700,27800
"SE21 Småland and islands","0 all sectors","412 Numerical clerks","women",19000,20200,20400,21300,22400,23200,23000,23900,24300,25700,26800
"SE21 Småland and islands","0 all sectors","413 Stores and transport clerks","men",19600,20300,20900,21000,21900,23500,23700,24300,24500,25500,25800
"SE21 Småland and islands","0 all sectors","413 Stores and transport clerks","women",18400,18800,19600,20000,20400,21300,22700,22700,23100,24200,24700
"SE21 Småland and islands","0 all sectors","414 Library and filing clerks","men",..,..,..,..,..,..,..,..,..,..,..
"SE21 Småland and islands","0 all sectors","414 Library and filing clerks","women",16900,17400,17700,18600,19200,20100,20700,21100,21300,22200,22600
"SE21 Småland and islands","0 all sectors","415 Mail carriers and sorting clerks","men",18300,..,..,..,..,..,21200,21900,22700,23300,23300
