"occuptional  (SSYK 2012)","age","sex","2014","2015","2016","2017","2018"
"112 Managing directors and chief executives","45-49 years","women",..,70900,75000,..,..
"112 Managing directors and chief executives","50-54 years","men",..,..,..,71900,79700
"112 Managing directors and chief executives","50-54 years","women",78300,..,89400,..,..
"112 Managing directors and chief executives","55-59 years","men",74900,81900,79000,79600,86700
"112 Managing directors and chief executives","55-59 years","women",..,..,72900,..,..
"112 Managing directors and chief executives","60-64 years","men",73400,..,72700,78800,..
"112 Managing directors and chief executives","60-64 years","women",..,..,..,..,..
"112 Managing directors and chief executives","65-66 years","men",..,..,..,..,..
"112 Managing directors and chief executives","65-66 years","women",..,..,..,..,..
"121 Finance managers","18-24 years","men",..,..,..,..,..
"121 Finance managers","18-24 years","women",..,..,..,..,..
"121 Finance managers","25-29 years","men",..,..,..,..,..
"121 Finance managers","25-29 years","women",..,..,..,..,..
"121 Finance managers","30-34 years","men",51800,56600,64700,51800,60500
"121 Finance managers","30-34 years","women",43800,44900,..,..,..
"121 Finance managers","35-39 years","men",64300,65500,60900,73900,65900
"121 Finance managers","35-39 years","women",45000,..,51800,47900,52500
"121 Finance managers","40-44 years","men",69700,80200,81100,72400,86500
"121 Finance managers","40-44 years","women",49700,59800,65600,60500,57600
"121 Finance managers","45-49 years","men",86700,81300,87200,85600,84600
"121 Finance managers","45-49 years","women",56100,56500,57700,60500,66400
"121 Finance managers","50-54 years","men",92800,..,78700,81600,..
"121 Finance managers","50-54 years","women",51200,57100,58800,62000,61300
"121 Finance managers","55-59 years","men",73700,76400,79900,..,84800
"121 Finance managers","55-59 years","women",44200,54800,50000,55900,61400
"121 Finance managers","60-64 years","men",58400,70300,69000,72700,..
"121 Finance managers","60-64 years","women",43500,44900,45600,45600,52400
"121 Finance managers","65-66 years","men",..,..,..,..,..
"121 Finance managers","65-66 years","women",..,..,..,..,..
"122 Human resource managers","18-24 years","men",..,..,..,..,..
"122 Human resource managers","18-24 years","women",..,..,..,..,..
"122 Human resource managers","25-29 years","men",..,..,..,..,..
"122 Human resource managers","25-29 years","women",..,..,..,..,..
"122 Human resource managers","30-34 years","men",..,..,..,..,..
"122 Human resource managers","30-34 years","women",38900,42100,49100,44100,43900
"122 Human resource managers","35-39 years","men",47300,..,..,..,..
"122 Human resource managers","35-39 years","women",50800,46700,47200,56400,54600
"122 Human resource managers","40-44 years","men",51200,67100,64500,64800,..
"122 Human resource managers","40-44 years","women",56000,56300,62300,67700,63100
"122 Human resource managers","45-49 years","men",54800,58900,66000,70700,70100
"122 Human resource managers","45-49 years","women",56400,57600,63500,65900,60300
"122 Human resource managers","50-54 years","men",62500,62900,70000,69500,78000
"122 Human resource managers","50-54 years","women",65200,57600,64100,74800,77700
"122 Human resource managers","55-59 years","men",..,69100,67500,79000,..
"122 Human resource managers","55-59 years","women",65400,66500,59600,65500,67900
"122 Human resource managers","60-64 years","men",73100,68600,..,..,..
"122 Human resource managers","60-64 years","women",..,..,..,..,70800
"122 Human resource managers","65-66 years","men",..,..,..,..,..
"122 Human resource managers","65-66 years","women",..,..,..,..,..
"123 Administration and planning managers","18-24 years","men",..,..,..,..,..
"123 Administration and planning managers","18-24 years","women",..,..,..,..,..
"123 Administration and planning managers","25-29 years","men",..,..,..,..,..
"123 Administration and planning managers","25-29 years","women",..,..,..,..,..
"123 Administration and planning managers","30-34 years","men",47100,47900,49600,..,..
"123 Administration and planning managers","30-34 years","women",..,..,..,..,..
"123 Administration and planning managers","35-39 years","men",55600,55600,56600,67500,66000
"123 Administration and planning managers","35-39 years","women",..,50600,49400,..,..
"123 Administration and planning managers","40-44 years","men",63900,64600,67000,71800,73400
"123 Administration and planning managers","40-44 years","women",53400,58600,63400,61000,58700
"123 Administration and planning managers","45-49 years","men",68700,67800,71400,73300,68400
"123 Administration and planning managers","45-49 years","women",64700,53600,55300,65500,60500
"123 Administration and planning managers","50-54 years","men",68700,70300,80400,84100,74900
"123 Administration and planning managers","50-54 years","women",59100,60400,..,71100,70100
"123 Administration and planning managers","55-59 years","men",..,76900,79300,76900,81700
"123 Administration and planning managers","55-59 years","women",..,..,..,..,..
"123 Administration and planning managers","60-64 years","men",63300,63200,68300,79600,81100
"123 Administration and planning managers","60-64 years","women",..,..,..,..,..
"123 Administration and planning managers","65-66 years","men",..,..,..,..,..
"123 Administration and planning managers","65-66 years","women",..,..,..,..,..
"124 Information, communication and public relations managers","18-24 years","men",..,..,..,..,..
"124 Information, communication and public relations managers","18-24 years","women",..,..,..,..,..
"124 Information, communication and public relations managers","25-29 years","men",..,..,..,..,..
"124 Information, communication and public relations managers","25-29 years","women",..,..,..,..,..
"124 Information, communication and public relations managers","30-34 years","men",..,..,..,..,..
"124 Information, communication and public relations managers","30-34 years","women",..,..,..,..,..
"124 Information, communication and public relations managers","35-39 years","men",..,..,..,..,..
"124 Information, communication and public relations managers","35-39 years","women",51100,..,..,..,..
"124 Information, communication and public relations managers","40-44 years","men",..,78600,..,..,..
"124 Information, communication and public relations managers","40-44 years","women",61200,60800,63900,66700,56600
"124 Information, communication and public relations managers","45-49 years","men",..,..,..,..,78800
"124 Information, communication and public relations managers","45-49 years","women",59400,62600,66500,66100,70000
"124 Information, communication and public relations managers","50-54 years","men",..,..,..,..,..
"124 Information, communication and public relations managers","50-54 years","women",..,68000,72600,64000,..
"124 Information, communication and public relations managers","55-59 years","men",..,..,..,..,..
"124 Information, communication and public relations managers","55-59 years","women",..,..,..,..,..
"124 Information, communication and public relations managers","60-64 years","men",..,..,..,..,..
"124 Information, communication and public relations managers","60-64 years","women",..,..,..,..,..
"124 Information, communication and public relations managers","65-66 years","men",..,..,..,..,..
"124 Information, communication and public relations managers","65-66 years","women",..,..,..,..,..
"125 Sales and marketing managers","18-24 years","men",25300,27500,..,..,..
"125 Sales and marketing managers","18-24 years","women",24100,24900,..,..,..
"125 Sales and marketing managers","25-29 years","men",35900,34200,45300,43800,35100
"125 Sales and marketing managers","25-29 years","women",31000,29600,36600,36100,37700
"125 Sales and marketing managers","30-34 years","men",49300,52100,55200,53000,48900
"125 Sales and marketing managers","30-34 years","women",45000,43600,46400,45800,49300
"125 Sales and marketing managers","35-39 years","men",56400,59500,64900,55500,63900
"125 Sales and marketing managers","35-39 years","women",50600,52800,52900,55300,52400
"125 Sales and marketing managers","40-44 years","men",64900,64400,65300,69900,67400
"125 Sales and marketing managers","40-44 years","women",57000,58600,56100,58000,62600
"125 Sales and marketing managers","45-49 years","men",60200,64000,70000,69600,67600
"125 Sales and marketing managers","45-49 years","women",..,66800,65600,63500,61900
"125 Sales and marketing managers","50-54 years","men",64900,67300,65300,55900,69000
"125 Sales and marketing managers","50-54 years","women",..,58300,69400,..,57700
"125 Sales and marketing managers","55-59 years","men",65100,67800,70400,69700,78300
"125 Sales and marketing managers","55-59 years","women",57300,..,..,..,59200
"125 Sales and marketing managers","60-64 years","men",65300,64800,62100,63200,71500
"125 Sales and marketing managers","60-64 years","women",..,52400,63600,..,..
"125 Sales and marketing managers","65-66 years","men",..,..,..,..,..
"125 Sales and marketing managers","65-66 years","women",..,..,..,..,..
"129 Administration and service managers not elsewhere classified","18-24 years","men",..,..,..,..,..
"129 Administration and service managers not elsewhere classified","18-24 years","women",..,..,..,..,..
"129 Administration and service managers not elsewhere classified","25-29 years","men",30400,34000,34300,36700,..
"129 Administration and service managers not elsewhere classified","25-29 years","women",29700,30900,32900,34000,32500
"129 Administration and service managers not elsewhere classified","30-34 years","men",42800,45500,44500,45000,46200
"129 Administration and service managers not elsewhere classified","30-34 years","women",40000,..,28400,41000,39600
"129 Administration and service managers not elsewhere classified","35-39 years","men",49200,53300,51300,55200,57300
"129 Administration and service managers not elsewhere classified","35-39 years","women",46000,47400,48500,45300,45700
"129 Administration and service managers not elsewhere classified","40-44 years","men",55500,57000,61600,61300,60000
"129 Administration and service managers not elsewhere classified","40-44 years","women",48800,48100,52200,49800,55600
"129 Administration and service managers not elsewhere classified","45-49 years","men",57400,59200,61300,60800,63300
"129 Administration and service managers not elsewhere classified","45-49 years","women",50500,50200,56900,56800,56800
"129 Administration and service managers not elsewhere classified","50-54 years","men",57900,58600,64400,..,65200
"129 Administration and service managers not elsewhere classified","50-54 years","women",..,51500,51600,54100,53000
"129 Administration and service managers not elsewhere classified","55-59 years","men",56600,53100,59200,63100,65100
"129 Administration and service managers not elsewhere classified","55-59 years","women",49000,48800,50000,50700,51000
"129 Administration and service managers not elsewhere classified","60-64 years","men",62900,54900,58100,56900,56500
"129 Administration and service managers not elsewhere classified","60-64 years","women",54000,43300,52300,57500,51300
"129 Administration and service managers not elsewhere classified","65-66 years","men",..,..,..,..,..
"129 Administration and service managers not elsewhere classified","65-66 years","women",..,..,..,..,..
"131 Information and communications technology service managers","18-24 years","men",..,..,..,..,..
"131 Information and communications technology service managers","18-24 years","women",..,..,..,..,..
"131 Information and communications technology service managers","25-29 years","men",33600,38300,..,..,..
"131 Information and communications technology service managers","25-29 years","women",..,..,..,..,..
"131 Information and communications technology service managers","30-34 years","men",43700,43200,47700,51000,44100
"131 Information and communications technology service managers","30-34 years","women",..,..,..,..,..
"131 Information and communications technology service managers","35-39 years","men",50000,53000,53600,54300,59000
"131 Information and communications technology service managers","35-39 years","women",50400,50900,55100,59700,63100
"131 Information and communications technology service managers","40-44 years","men",58300,60900,64200,58900,65800
"131 Information and communications technology service managers","40-44 years","women",57500,53000,61800,64800,67500
"131 Information and communications technology service managers","45-49 years","men",..,..,69900,66400,58400
"131 Information and communications technology service managers","45-49 years","women",56500,59000,62300,67500,68900
"131 Information and communications technology service managers","50-54 years","men",51800,52400,60800,61800,..
"131 Information and communications technology service managers","50-54 years","women",56100,57200,67100,68600,69400
"131 Information and communications technology service managers","55-59 years","men",57800,61900,69300,55900,66300
"131 Information and communications technology service managers","55-59 years","women",47700,52400,62000,64500,75400
"131 Information and communications technology service managers","60-64 years","men",59200,56900,64700,62800,69700
"131 Information and communications technology service managers","60-64 years","women",..,..,..,..,..
"131 Information and communications technology service managers","65-66 years","men",..,..,..,..,..
"131 Information and communications technology service managers","65-66 years","women",..,..,..,..,..
"132 Supply, logistics and transport managers","18-24 years","men",..,..,..,..,..
"132 Supply, logistics and transport managers","18-24 years","women",..,..,..,..,..
"132 Supply, logistics and transport managers","25-29 years","men",..,32400,..,..,..
"132 Supply, logistics and transport managers","25-29 years","women",..,..,..,..,..
"132 Supply, logistics and transport managers","30-34 years","men",42800,44800,42100,39300,41500
"132 Supply, logistics and transport managers","30-34 years","women",..,..,..,..,..
"132 Supply, logistics and transport managers","35-39 years","men",51800,51700,49400,53100,53600
"132 Supply, logistics and transport managers","35-39 years","women",48200,48400,52100,52200,52100
"132 Supply, logistics and transport managers","40-44 years","men",52300,..,57700,55200,61300
"132 Supply, logistics and transport managers","40-44 years","women",53100,52100,47300,47700,56400
"132 Supply, logistics and transport managers","45-49 years","men",..,54100,54100,60300,54600
"132 Supply, logistics and transport managers","45-49 years","women",54700,57000,50100,51100,58500
"132 Supply, logistics and transport managers","50-54 years","men",62300,..,56600,54800,56900
"132 Supply, logistics and transport managers","50-54 years","women",56300,56500,..,63400,..
"132 Supply, logistics and transport managers","55-59 years","men",..,53300,50600,55100,62600
"132 Supply, logistics and transport managers","55-59 years","women",..,..,..,..,..
"132 Supply, logistics and transport managers","60-64 years","men",51000,..,55600,51500,55200
"132 Supply, logistics and transport managers","60-64 years","women",..,..,..,..,..
"132 Supply, logistics and transport managers","65-66 years","men",..,..,..,..,..
"132 Supply, logistics and transport managers","65-66 years","women",..,..,..,..,..
"133 Research and development managers","18-24 years","men",..,..,..,..,..
"133 Research and development managers","18-24 years","women",..,..,..,..,..
"133 Research and development managers","25-29 years","men",..,..,..,..,..
"133 Research and development managers","25-29 years","women",..,..,..,..,..
"133 Research and development managers","30-34 years","men",52200,49700,..,52400,..
"133 Research and development managers","30-34 years","women",..,..,..,..,..
"133 Research and development managers","35-39 years","men",55300,58600,57800,56300,59800
"133 Research and development managers","35-39 years","women",50600,53400,52500,56800,62100
"133 Research and development managers","40-44 years","men",56700,63800,66500,64300,64000
"133 Research and development managers","40-44 years","women",61100,63500,61200,60700,58800
"133 Research and development managers","45-49 years","men",67700,66900,69100,67800,72300
"133 Research and development managers","45-49 years","women",63100,62700,70100,69300,69700
"133 Research and development managers","50-54 years","men",77300,76600,74400,70900,73100
"133 Research and development managers","50-54 years","women",71300,74200,71400,66800,68100
"133 Research and development managers","55-59 years","men",79000,73800,77100,..,80400
"133 Research and development managers","55-59 years","women",..,..,75000,88800,79400
"133 Research and development managers","60-64 years","men",..,76600,79500,84800,88100
"133 Research and development managers","60-64 years","women",..,..,..,..,..
"133 Research and development managers","65-66 years","men",..,..,..,..,..
"133 Research and development managers","65-66 years","women",..,..,..,..,..
"134 Architectural and engineering managers","18-24 years","men",..,..,..,..,..
"134 Architectural and engineering managers","18-24 years","women",..,..,..,..,..
"134 Architectural and engineering managers","25-29 years","men",..,..,..,..,..
"134 Architectural and engineering managers","25-29 years","women",..,..,..,..,..
"134 Architectural and engineering managers","30-34 years","men",50600,45200,46800,47700,48800
"134 Architectural and engineering managers","30-34 years","women",..,..,..,..,..
"134 Architectural and engineering managers","35-39 years","men",50500,53500,54600,55900,56600
"134 Architectural and engineering managers","35-39 years","women",49600,50800,48900,52700,57000
"134 Architectural and engineering managers","40-44 years","men",55400,57600,58900,60700,62800
"134 Architectural and engineering managers","40-44 years","women",57000,55600,53900,58000,58900
"134 Architectural and engineering managers","45-49 years","men",64700,62300,63200,65100,66300
"134 Architectural and engineering managers","45-49 years","women",55800,57400,57800,60900,60300
"134 Architectural and engineering managers","50-54 years","men",60300,57600,65900,59000,69800
"134 Architectural and engineering managers","50-54 years","women",48400,58600,60900,..,65200
"134 Architectural and engineering managers","55-59 years","men",61400,61800,58600,56200,70600
"134 Architectural and engineering managers","55-59 years","women",..,..,..,..,..
"134 Architectural and engineering managers","60-64 years","men",59900,63800,66100,67000,72100
"134 Architectural and engineering managers","60-64 years","women",..,..,..,..,..
"134 Architectural and engineering managers","65-66 years","men",..,..,..,..,..
"134 Architectural and engineering managers","65-66 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","18-24 years","men",..,..,..,..,..
"135 Real estate and head of administration manager","18-24 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","25-29 years","men",..,..,..,..,..
"135 Real estate and head of administration manager","25-29 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","30-34 years","men",..,..,..,..,..
"135 Real estate and head of administration manager","30-34 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","35-39 years","men",..,..,..,..,..
"135 Real estate and head of administration manager","35-39 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","40-44 years","men",58000,..,..,..,58000
"135 Real estate and head of administration manager","40-44 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","45-49 years","men",..,48300,47700,55400,48900
"135 Real estate and head of administration manager","45-49 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","50-54 years","men",..,..,..,53100,..
"135 Real estate and head of administration manager","50-54 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","55-59 years","men",48400,57000,48900,..,54700
"135 Real estate and head of administration manager","55-59 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","60-64 years","men",..,52900,..,..,..
"135 Real estate and head of administration manager","60-64 years","women",..,..,..,..,..
"135 Real estate and head of administration manager","65-66 years","men",..,..,..,..,..
"135 Real estate and head of administration manager","65-66 years","women",..,..,..,..,..
"136 Production managers in construction and mining","18-24 years","men",..,..,..,..,..
"136 Production managers in construction and mining","18-24 years","women",..,..,..,..,..
"136 Production managers in construction and mining","25-29 years","men",38500,40600,33200,41500,44300
"136 Production managers in construction and mining","25-29 years","women",..,..,..,..,..
"136 Production managers in construction and mining","30-34 years","men",43700,43200,46300,42200,41700
"136 Production managers in construction and mining","30-34 years","women",..,..,..,43900,48300
"136 Production managers in construction and mining","35-39 years","men",..,49500,49700,46300,54800
"136 Production managers in construction and mining","35-39 years","women",..,..,49400,49500,55900
"136 Production managers in construction and mining","40-44 years","men",48300,51500,..,60000,53100
"136 Production managers in construction and mining","40-44 years","women",56500,52100,59000,60600,62300
"136 Production managers in construction and mining","45-49 years","men",50900,54100,47600,50000,56800
"136 Production managers in construction and mining","45-49 years","women",53500,57000,60200,64000,67100
"136 Production managers in construction and mining","50-54 years","men",48500,51000,58600,60300,59600
"136 Production managers in construction and mining","50-54 years","women",..,..,..,60500,55500
"136 Production managers in construction and mining","55-59 years","men",49600,47800,46900,53700,62200
"136 Production managers in construction and mining","55-59 years","women",..,..,..,..,..
"136 Production managers in construction and mining","60-64 years","men",44900,44300,..,..,60900
"136 Production managers in construction and mining","60-64 years","women",..,..,..,..,..
"136 Production managers in construction and mining","65-66 years","men",..,55600,..,..,..
"136 Production managers in construction and mining","65-66 years","women",..,..,..,..,..
"137 Production managers in manufacturing","18-24 years","men",..,..,..,..,..
"137 Production managers in manufacturing","18-24 years","women",..,..,..,..,..
"137 Production managers in manufacturing","25-29 years","men",..,..,..,36400,37200
"137 Production managers in manufacturing","25-29 years","women",..,..,..,..,..
"137 Production managers in manufacturing","30-34 years","men",40200,43100,40700,39700,43700
"137 Production managers in manufacturing","30-34 years","women",..,..,..,..,..
"137 Production managers in manufacturing","35-39 years","men",45200,43700,43400,46600,46400
"137 Production managers in manufacturing","35-39 years","women",47000,50900,46800,48000,47000
"137 Production managers in manufacturing","40-44 years","men",48400,48500,46000,49300,53200
"137 Production managers in manufacturing","40-44 years","women",42400,43600,49700,49400,51700
"137 Production managers in manufacturing","45-49 years","men",50600,49400,50600,49000,56300
"137 Production managers in manufacturing","45-49 years","women",50900,49700,46600,49300,54100
"137 Production managers in manufacturing","50-54 years","men",47300,49300,46400,50400,52500
"137 Production managers in manufacturing","50-54 years","women",..,41800,50600,52800,..
"137 Production managers in manufacturing","55-59 years","men",47100,47100,48600,53900,53000
"137 Production managers in manufacturing","55-59 years","women",..,..,..,..,..
"137 Production managers in manufacturing","60-64 years","men",40700,46300,47300,49400,53500
"137 Production managers in manufacturing","60-64 years","women",..,..,..,..,..
"137 Production managers in manufacturing","65-66 years","men",..,..,..,..,..
"137 Production managers in manufacturing","65-66 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","18-24 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","18-24 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","25-29 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","25-29 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","30-34 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","30-34 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","35-39 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","35-39 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","40-44 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","40-44 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","45-49 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","45-49 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","50-54 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","50-54 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","55-59 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","55-59 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","60-64 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","60-64 years","women",..,..,..,..,..
"138 Forestry and agricultural production managers","65-66 years","men",..,..,..,..,..
"138 Forestry and agricultural production managers","65-66 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","18-24 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","18-24 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","25-29 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","25-29 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","30-34 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","30-34 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","35-39 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","35-39 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","40-44 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","40-44 years","women",..,..,..,..,47100
"141 Primary and secondary schools and adult education managers","45-49 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","45-49 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","50-54 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","50-54 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","55-59 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","55-59 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","60-64 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","60-64 years","women",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","65-66 years","men",..,..,..,..,..
"141 Primary and secondary schools and adult education managers","65-66 years","women",..,..,..,..,..
"142 Preschool managers","18-24 years","men",..,..,..,..,..
"142 Preschool managers","18-24 years","women",..,..,..,..,..
"142 Preschool managers","25-29 years","men",..,..,..,..,..
"142 Preschool managers","25-29 years","women",..,..,..,..,..
"142 Preschool managers","30-34 years","men",..,..,..,..,..
"142 Preschool managers","30-34 years","women",..,..,..,..,..
"142 Preschool managers","35-39 years","men",..,..,..,..,..
"142 Preschool managers","35-39 years","women",..,..,..,..,..
"142 Preschool managers","40-44 years","men",..,..,..,..,..
"142 Preschool managers","40-44 years","women",..,..,..,..,..
"142 Preschool managers","45-49 years","men",..,..,..,..,..
