"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","0 all sectors","136 Production managers in construction and mining","men",3500,4000,4200,4100,4300
"SE11 Stockholm","0 all sectors","136 Production managers in construction and mining","women",290,430,410,440,480
"SE11 Stockholm","0 all sectors","137 Production managers in manufacturing","men",..,1700,1400,1200,1300
"SE11 Stockholm","0 all sectors","137 Production managers in manufacturing","women",..,..,..,440,430
"SE11 Stockholm","0 all sectors","138 Forestry and agricultural production managers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","138 Forestry and agricultural production managers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","141 Primary and secondary schools and adult education managers","men",700,620,600,580,680
"SE11 Stockholm","0 all sectors","141 Primary and secondary schools and adult education managers","women",1400,1400,1400,1400,1400
"SE11 Stockholm","0 all sectors","142 Preschool managers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","142 Preschool managers","women",1300,940,970,1100,1000
"SE11 Stockholm","0 all sectors","149 Education managers not elsewhere classified","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","149 Education managers not elsewhere classified","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","151 Health care managers","men",600,650,700,700,890
"SE11 Stockholm","0 all sectors","151 Health care managers","women",2300,2300,2400,2400,2700
"SE11 Stockholm","0 all sectors","152 Managers in social and curative care","men",170,150,200,210,..
"SE11 Stockholm","0 all sectors","152 Managers in social and curative care","women",660,780,670,770,850
"SE11 Stockholm","0 all sectors","153 Elderly care managers","men",140,..,180,..,160
"SE11 Stockholm","0 all sectors","153 Elderly care managers","women",1100,1100,1200,1100,1000
"SE11 Stockholm","0 all sectors","154 Managers and leaders within religious bodies","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","154 Managers and leaders within religious bodies","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","159 Other social services managers","men",2200,2300,2500,2400,2400
"SE11 Stockholm","0 all sectors","159 Other social services managers","women",2000,2100,2300,2400,2300
"SE11 Stockholm","0 all sectors","161 Financial and insurance managers","men",1800,1600,1600,1300,1400
"SE11 Stockholm","0 all sectors","161 Financial and insurance managers","women",960,950,1100,1100,1100
"SE11 Stockholm","0 all sectors","171 Hotel and conference managers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","171 Hotel and conference managers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","172 Restaurant managers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","172 Restaurant managers","women",..,..,..,560,..
"SE11 Stockholm","0 all sectors","173 Retail and wholesale trade managers","men",..,700,1000,920,680
"SE11 Stockholm","0 all sectors","173 Retail and wholesale trade managers","women",550,560,..,..,510
"SE11 Stockholm","0 all sectors","174 Sports, leisure and wellness managers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","174 Sports, leisure and wellness managers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","179 Other services managers not elsewhere classified","men",660,760,780,800,760
"SE11 Stockholm","0 all sectors","179 Other services managers not elsewhere classified","women",310,540,650,630,670
"SE11 Stockholm","0 all sectors","211 Physicists and chemists","men",970,890,950,940,870
"SE11 Stockholm","0 all sectors","211 Physicists and chemists","women",530,550,590,640,530
"SE11 Stockholm","0 all sectors","212 Mathematicians, actuaries and statisticians","men",670,740,870,890,970
"SE11 Stockholm","0 all sectors","212 Mathematicians, actuaries and statisticians","women",450,490,580,630,640
"SE11 Stockholm","0 all sectors","213 Biologists, pharmacologists and specialists in agriculture and forestry","men",..,..,530,..,630
"SE11 Stockholm","0 all sectors","213 Biologists, pharmacologists and specialists in agriculture and forestry","women",680,1000,..,500,700
"SE11 Stockholm","0 all sectors","214 Engineering professionals","men",21400,21000,21300,21400,20800
"SE11 Stockholm","0 all sectors","214 Engineering professionals","women",6800,6600,7100,8100,7400
"SE11 Stockholm","0 all sectors","216 Architects and surveyors","men",..,..,..,2700,..
"SE11 Stockholm","0 all sectors","216 Architects and surveyors","women",1400,..,..,3300,..
"SE11 Stockholm","0 all sectors","217 Designers","men",2600,..,3100,3000,3400
"SE11 Stockholm","0 all sectors","217 Designers","women",2500,3000,..,3200,2600
"SE11 Stockholm","0 all sectors","218 Specialists within environmental and health protection","men",600,610,460,600,550
"SE11 Stockholm","0 all sectors","218 Specialists within environmental and health protection","women",850,790,830,1100,1000
"SE11 Stockholm","0 all sectors","221 Medical doctors","men",4600,3700,3900,3800,4300
"SE11 Stockholm","0 all sectors","221 Medical doctors","women",5600,4900,4700,4700,5400
"SE11 Stockholm","0 all sectors","222 Nursing professionals","men",2200,2000,1800,1900,2600
"SE11 Stockholm","0 all sectors","222 Nursing professionals","women",16300,16700,15800,16300,17100
"SE11 Stockholm","0 all sectors","223 Nursing professionals (cont.)","men",250,260,280,220,260
"SE11 Stockholm","0 all sectors","223 Nursing professionals (cont.)","women",3100,3600,4000,3400,3500
"SE11 Stockholm","0 all sectors","224 Psychologists and psychotherapists","men",520,520,600,570,820
"SE11 Stockholm","0 all sectors","224 Psychologists and psychotherapists","women",1600,1400,..,1700,2500
"SE11 Stockholm","0 all sectors","225 Veterinarians","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","225 Veterinarians","women",170,180,220,180,230
"SE11 Stockholm","0 all sectors","226 Dentists","men",..,..,240,250,180
"SE11 Stockholm","0 all sectors","226 Dentists","women",550,..,..,720,470
"SE11 Stockholm","0 all sectors","227 Naprapaths, physiotherapists, occupational therapists","men",440,..,410,460,..
"SE11 Stockholm","0 all sectors","227 Naprapaths, physiotherapists, occupational therapists","women",3700,2800,3000,2500,2600
"SE11 Stockholm","0 all sectors","228 Specialists in health care not elsewhere classified","men",..,..,320,370,510
"SE11 Stockholm","0 all sectors","228 Specialists in health care not elsewhere classified","women",..,..,2900,2600,2600
"SE11 Stockholm","0 all sectors","231 University and higher education teachers","men",4600,4700,4600,4500,4500
"SE11 Stockholm","0 all sectors","231 University and higher education teachers","women",3700,4000,4100,4000,4100
"SE11 Stockholm","0 all sectors","232 Vocational education teachers","men",690,..,660,640,540
"SE11 Stockholm","0 all sectors","232 Vocational education teachers","women",690,760,790,880,530
"SE11 Stockholm","0 all sectors","233 Secondary education teachers","men",2100,1900,2000,1900,1800
"SE11 Stockholm","0 all sectors","233 Secondary education teachers","women",2600,2400,2600,2500,2500
"SE11 Stockholm","0 all sectors","234 Primary- and pre-school teachers ","men",6600,7400,6900,6900,6800
"SE11 Stockholm","0 all sectors","234 Primary- and pre-school teachers ","women",29100,27900,26700,27000,27000
"SE11 Stockholm","0 all sectors","235 Teaching professionals not elsewhere classified","men",1600,2300,1900,1900,1600
"SE11 Stockholm","0 all sectors","235 Teaching professionals not elsewhere classified","women",4500,5100,4400,4800,4500
"SE11 Stockholm","0 all sectors","241 Accountants, financial analysts and fund managers","men",10000,10100,9600,11300,11200
"SE11 Stockholm","0 all sectors","241 Accountants, financial analysts and fund managers","women",9700,9500,9700,10700,12400
"SE11 Stockholm","0 all sectors","242 Organisation analysts, policy administrators and human resource specialists","men",14600,15100,16400,17600,19300
"SE11 Stockholm","0 all sectors","242 Organisation analysts, policy administrators and human resource specialists","women",19400,20600,22700,24500,27100
"SE11 Stockholm","0 all sectors","243 Marketing and public relations professionals","men",7000,6400,6800,6400,7200
"SE11 Stockholm","0 all sectors","243 Marketing and public relations professionals","women",9600,10600,11400,9600,12700
"SE11 Stockholm","0 all sectors","251 ICT architects, systems analysts and test managers","men",39300,41400,39700,44900,45000
"SE11 Stockholm","0 all sectors","251 ICT architects, systems analysts and test managers","women",11300,11100,11600,12500,15000
"SE11 Stockholm","0 all sectors","261 Legal professionals","men",3700,3700,4700,4600,4600
"SE11 Stockholm","0 all sectors","261 Legal professionals","women",5200,5200,5700,5500,6000
"SE11 Stockholm","0 all sectors","262 Museum curators and librarians and related professionals","men",860,920,910,900,1000
"SE11 Stockholm","0 all sectors","262 Museum curators and librarians and related professionals","women",1800,1900,1900,2000,2300
"SE11 Stockholm","0 all sectors","264 Authors, journalists and linguists","men",3100,3000,..,3500,2800
"SE11 Stockholm","0 all sectors","264 Authors, journalists and linguists","women",3400,3300,4000,4100,4400
"SE11 Stockholm","0 all sectors","265 Creative and performing artists","men",..,1500,..,..,2800
"SE11 Stockholm","0 all sectors","265 Creative and performing artists","women",1500,..,1600,2100,2200
"SE11 Stockholm","0 all sectors","266 Social work and counselling professionals","men",900,1100,1200,1200,1400
"SE11 Stockholm","0 all sectors","266 Social work and counselling professionals","women",5700,6000,6500,6900,7500
"SE11 Stockholm","0 all sectors","267 Religious professionals and deacons","men",170,170,170,..,..
"SE11 Stockholm","0 all sectors","267 Religious professionals and deacons","women",410,390,400,..,..
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","men",17700,18700,18200,16600,19900
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","women",3900,4900,4600,6000,7100
"SE11 Stockholm","0 all sectors","312 Construction and manufacturing supervisors","men",3500,3500,5200,3800,6100
"SE11 Stockholm","0 all sectors","312 Construction and manufacturing supervisors","women",..,510,500,570,820
"SE11 Stockholm","0 all sectors","315 Ship and aircraft controllers and technicians","men",1500,1200,1500,1600,1400
"SE11 Stockholm","0 all sectors","315 Ship and aircraft controllers and technicians","women",190,160,200,220,200
"SE11 Stockholm","0 all sectors","321 Medical and pharmaceutical technicians","men",..,2000,..,..,2300
"SE11 Stockholm","0 all sectors","321 Medical and pharmaceutical technicians","women",4000,4300,4800,4600,4600
"SE11 Stockholm","0 all sectors","323 Complementary medicine therapists and associate professionals","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","323 Complementary medicine therapists and associate professionals","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","324 Veterinary assistants","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","324 Veterinary assistants","women",..,..,..,350,380
"SE11 Stockholm","0 all sectors","325 Dental hygienists","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","325 Dental hygienists","women",370,390,400,440,320
"SE11 Stockholm","0 all sectors","331 Financial and accounting associate professionals","men",6700,6900,6700,7100,7700
"SE11 Stockholm","0 all sectors","331 Financial and accounting associate professionals","women",13000,13000,13400,12800,13900
"SE11 Stockholm","0 all sectors","332 Insurance advisers, sales and purchasing agents","men",26100,24800,26800,27200,27000
"SE11 Stockholm","0 all sectors","332 Insurance advisers, sales and purchasing agents","women",13800,14600,15300,16200,16700
"SE11 Stockholm","0 all sectors","333 Business services agents","men",4600,3900,4700,4400,4700
"SE11 Stockholm","0 all sectors","333 Business services agents","women",4400,3900,4100,4600,4800
"SE11 Stockholm","0 all sectors","334 Administrative and specialized secretaries","men",..,980,1300,1100,1600
"SE11 Stockholm","0 all sectors","334 Administrative and specialized secretaries","women",4000,3600,3700,4400,5100
"SE11 Stockholm","0 all sectors","335 Tax and related government associate professionals","men",3100,3400,3400,3300,3500
"SE11 Stockholm","0 all sectors","335 Tax and related government associate professionals","women",6200,6300,6000,6200,5700
"SE11 Stockholm","0 all sectors","336 Police officers ","men",3000,3200,3200,3100,3100
"SE11 Stockholm","0 all sectors","336 Police officers ","women",1500,1700,1600,1500,1500
"SE11 Stockholm","0 all sectors","341 Social work and religious associate professionals","men",..,1300,1200,1200,1000
"SE11 Stockholm","0 all sectors","341 Social work and religious associate professionals","women",1300,2100,1600,1500,1200
"SE11 Stockholm","0 all sectors","342 Athletes, fitness instructors and recreational workers","men",4900,3900,3200,4000,3800
"SE11 Stockholm","0 all sectors","342 Athletes, fitness instructors and recreational workers","women",3700,4200,4000,4700,5400
"SE11 Stockholm","0 all sectors","343 Photographers, interior decorators and entertainers","men",..,910,1100,..,..
"SE11 Stockholm","0 all sectors","343 Photographers, interior decorators and entertainers","women",1300,1600,1100,..,..
"SE11 Stockholm","0 all sectors","344 Driving instructors and other instructors","men",250,..,..,320,..
"SE11 Stockholm","0 all sectors","344 Driving instructors and other instructors","women",310,..,..,..,..
"SE11 Stockholm","0 all sectors","345 Culinary associate professionals","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","345 Culinary associate professionals","women",..,250,210,..,330
"SE11 Stockholm","0 all sectors","351 ICT operations and user support technicians","men",..,14600,11800,13800,13100
"SE11 Stockholm","0 all sectors","351 ICT operations and user support technicians","women",3200,3500,3400,3600,3200
"SE11 Stockholm","0 all sectors","352 Broadcasting and audio-visual technicians","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","352 Broadcasting and audio-visual technicians","women",310,280,290,290,330
"SE11 Stockholm","0 all sectors","411 Office assistants and other secretaries","men",8300,8400,9900,8800,8200
"SE11 Stockholm","0 all sectors","411 Office assistants and other secretaries","women",36900,37000,35400,37300,38000
"SE11 Stockholm","0 all sectors","421 Croupiers, debt collectors and related workers","men",..,..,..,..,240
"SE11 Stockholm","0 all sectors","421 Croupiers, debt collectors and related workers","women",..,..,..,..,320
"SE11 Stockholm","0 all sectors","422 Client information clerks","men",4400,5000,6400,6800,6200
"SE11 Stockholm","0 all sectors","422 Client information clerks","women",10700,12800,16800,15700,14100
"SE11 Stockholm","0 all sectors","432 Stores and transport clerks","men",13300,12900,12400,11300,15000
"SE11 Stockholm","0 all sectors","432 Stores and transport clerks","women",..,3300,2800,2800,3300
"SE11 Stockholm","0 all sectors","441 Library and filing clerks","men",230,240,210,240,310
"SE11 Stockholm","0 all sectors","441 Library and filing clerks","women",480,460,430,440,490
"SE11 Stockholm","0 all sectors","442 Postmen and postal facility workers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","442 Postmen and postal facility workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","443 Elected representatives","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","443 Elected representatives","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","511 Cabin crew, guides and related workers","men",2000,1900,2100,2000,2400
"SE11 Stockholm","0 all sectors","511 Cabin crew, guides and related workers","women",2000,1700,2000,2100,2400
"SE11 Stockholm","0 all sectors","512 Cooks and cold-buffet managers","men",6500,6700,3100,4600,..
"SE11 Stockholm","0 all sectors","512 Cooks and cold-buffet managers","women",3000,..,3100,2900,3700
"SE11 Stockholm","0 all sectors","513 Waiters and bartenders","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","513 Waiters and bartenders","women",..,..,..,4600,..
"SE11 Stockholm","0 all sectors","514 Hairdressers, beauty and body therapists","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","514 Hairdressers, beauty and body therapists","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","515 Building caretakers and related workers","men",4900,5500,5000,5400,5400
"SE11 Stockholm","0 all sectors","515 Building caretakers and related workers","women",930,1100,..,1500,1600
"SE11 Stockholm","0 all sectors","516 Other service related workers","men",450,530,340,..,360
"SE11 Stockholm","0 all sectors","516 Other service related workers","women",..,860,..,..,440
"SE11 Stockholm","0 all sectors","522 Shop staff","men",18300,17400,18400,19700,20200
"SE11 Stockholm","0 all sectors","522 Shop staff","women",31700,28400,32500,31100,32800
"SE11 Stockholm","0 all sectors","523 Cashiers and related clerks","men",..,..,..,..,530
"SE11 Stockholm","0 all sectors","523 Cashiers and related clerks","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","524 Event seller and telemarketers","men",..,..,..,1800,1000
"SE11 Stockholm","0 all sectors","524 Event seller and telemarketers","women",2000,2300,..,..,..
"SE11 Stockholm","0 all sectors","531 Child care workers and teachers aides","men",..,5000,5700,5900,6000
"SE11 Stockholm","0 all sectors","531 Child care workers and teachers aides","women",29500,24600,25400,26800,26600
"SE11 Stockholm","0 all sectors","532 Personal care workers in health services","men",3400,3300,3900,3800,3900
"SE11 Stockholm","0 all sectors","532 Personal care workers in health services","women",23400,22800,25500,25100,25600
"SE11 Stockholm","0 all sectors","533 Health care assistants","men",4000,3600,3700,3200,3600
"SE11 Stockholm","0 all sectors","533 Health care assistants","women",14000,12500,11900,11000,10500
"SE11 Stockholm","0 all sectors","534 Attendants, personal assistants and related workers","men",9700,10600,12700,12700,13200
"SE11 Stockholm","0 all sectors","534 Attendants, personal assistants and related workers","women",22900,23900,27200,27300,28500
"SE11 Stockholm","0 all sectors","535 Dental nurses","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","535 Dental nurses","women",1300,1400,1600,..,..
"SE11 Stockholm","0 all sectors","541 Other surveillance and security workers","men",6900,7500,7900,9100,8800
"SE11 Stockholm","0 all sectors","541 Other surveillance and security workers","women",2800,2900,2900,3200,3200
"SE11 Stockholm","0 all sectors","611 Market gardeners and crop growers","men",..,1000,..,..,..
"SE11 Stockholm","0 all sectors","611 Market gardeners and crop growers","women",..,350,..,490,..
"SE11 Stockholm","0 all sectors","612 Animal breeders and keepers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","612 Animal breeders and keepers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","613 Mixed crop and animal breeders","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","613 Mixed crop and animal breeders","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","621 Forestry and related workers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","621 Forestry and related workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","622 Aquaculture and fishery workers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","622 Aquaculture and fishery workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","711 Carpenters, bricklayers and construction workers","men",..,21300,..,..,24700
"SE11 Stockholm","0 all sectors","711 Carpenters, bricklayers and construction workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","712 Roofers, floor layers, plumbers and pipefitters","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","712 Roofers, floor layers, plumbers and pipefitters","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","713 Painters, Lacquerers, Chimney-sweepers and related trades workers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","713 Painters, Lacquerers, Chimney-sweepers and related trades workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","721 Sheet and structural metal workers, moulders and welders, and related workers","men",..,..,..,..,790
"SE11 Stockholm","0 all sectors","721 Sheet and structural metal workers, moulders and welders, and related workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","722 Blacksmiths, toolmakers and related trades workers","men",..,5300,5500,..,..
"SE11 Stockholm","0 all sectors","722 Blacksmiths, toolmakers and related trades workers","women",400,390,490,150,..
"SE11 Stockholm","0 all sectors","723 Machinery mechanics and fitters","men",8300,8500,..,..,..
"SE11 Stockholm","0 all sectors","723 Machinery mechanics and fitters","women",140,170,150,170,630
"SE11 Stockholm","0 all sectors","731 Precision-instrument makers and handicraft workers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","731 Precision-instrument makers and handicraft workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","732 Printing trades workers","men",1100,1300,1200,1000,..
"SE11 Stockholm","0 all sectors","732 Printing trades workers","women",..,320,420,320,..
"SE11 Stockholm","0 all sectors","741 Electrical equipment installers and repairers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","741 Electrical equipment installers and repairers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","742 Electronics and telecommunications installers and repairers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","742 Electronics and telecommunications installers and repairers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","752 Wood treaters, cabinet-makers and related trades workers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","752 Wood treaters, cabinet-makers and related trades workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","753 Tailors, upholsterers and leather craftsmen","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","753 Tailors, upholsterers and leather craftsmen","women",..,..,270,..,..
"SE11 Stockholm","0 all sectors","761 Butchers, bakers and food processors","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","761 Butchers, bakers and food processors","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","811 Mining and mineral processing plant operators","men",..,..,1100,..,..
"SE11 Stockholm","0 all sectors","811 Mining and mineral processing plant operators","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","812 Metal processing and finishing plant operators","men",..,..,360,390,180
"SE11 Stockholm","0 all sectors","812 Metal processing and finishing plant operators","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","813 Machine operators, chemical and pharmaceutical products","men",920,980,..,1000,980
"SE11 Stockholm","0 all sectors","813 Machine operators, chemical and pharmaceutical products","women",770,880,..,900,830
"SE11 Stockholm","0 all sectors","814 Machine operators, rubber, plastic and paper products","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","814 Machine operators, rubber, plastic and paper products","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","815 Machine operators, textile, fur and leather products","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","815 Machine operators, textile, fur and leather products","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","816 Machine operators, food and related products","men",670,..,930,..,..
"SE11 Stockholm","0 all sectors","816 Machine operators, food and related products","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","817 Wood processing and papermaking plant operators","men",130,..,..,..,350
"SE11 Stockholm","0 all sectors","817 Wood processing and papermaking plant operators","women",..,..,..,..,110
"SE11 Stockholm","0 all sectors","818 Other stationary plant and machine operators","men",1300,1300,1300,1200,..
"SE11 Stockholm","0 all sectors","818 Other stationary plant and machine operators","women",290,..,380,370,200
"SE11 Stockholm","0 all sectors","819 Process control technicians","men",..,..,1200,1400,1200
"SE11 Stockholm","0 all sectors","819 Process control technicians","women",240,220,190,210,160
"SE11 Stockholm","0 all sectors","821 Assemblers","men",2500,..,..,5000,..
"SE11 Stockholm","0 all sectors","821 Assemblers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","831 Train operators and related workers","men",1200,..,..,1200,1200
"SE11 Stockholm","0 all sectors","831 Train operators and related workers","women",320,470,450,350,350
"SE11 Stockholm","0 all sectors","832 Car, van and motorcycle drivers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","832 Car, van and motorcycle drivers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","833 Heavy truck and bus drivers","men",13200,14900,..,..,..
"SE11 Stockholm","0 all sectors","833 Heavy truck and bus drivers","women",1200,1300,1100,..,910
"SE11 Stockholm","0 all sectors","834 Mobile plant operators","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","834 Mobile plant operators","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","835 Ships deck crews and related workers","men",..,..,160,..,..
"SE11 Stockholm","0 all sectors","835 Ships deck crews and related workers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","911 Cleaners and helpers","men",6800,7300,8100,7900,8200
"SE11 Stockholm","0 all sectors","911 Cleaners and helpers","women",12400,13200,11900,19000,20000
"SE11 Stockholm","0 all sectors","912 Washers, window cleaners and other cleaning workers","men",..,700,640,..,920
"SE11 Stockholm","0 all sectors","912 Washers, window cleaners and other cleaning workers","women",..,..,190,170,..
"SE11 Stockholm","0 all sectors","921 Berry pickers and planters","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","921 Berry pickers and planters","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","931 Construction labourers","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","931 Construction labourers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","932 Manufacturing labourers","men",1600,..,..,1000,1400
"SE11 Stockholm","0 all sectors","932 Manufacturing labourers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","933 Dockers and ground personnel","men",1300,..,..,..,..
"SE11 Stockholm","0 all sectors","933 Dockers and ground personnel","women",..,..,..,..,410
"SE11 Stockholm","0 all sectors","941 Fast-food workers, food preparation assistants","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","941 Fast-food workers, food preparation assistants","women",12300,13800,14200,13100,..
"SE11 Stockholm","0 all sectors","952 Street and market vendors","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","952 Street and market vendors","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","961 Recycling collectors","men",1400,1300,1400,1800,..
"SE11 Stockholm","0 all sectors","961 Recycling collectors","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","962 Newspaper distributors, janitors and other service workers","men",4100,5100,5400,4500,5800
"SE11 Stockholm","0 all sectors","962 Newspaper distributors, janitors and other service workers","women",1900,2000,1900,1800,2100
"SE11 Stockholm","0 all sectors","0001 Other professions","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","0001 Other professions","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","0002 occupations unidentifiable","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","0002 occupations unidentifiable","women",..,..,..,..,..
"SE12 East-Central Sweden","0 all sectors","011 Commissioned armed forces officers","men",130,200,..,..,..
